SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
87,1.08333333,0.98484848,0.92307692,0,11,2,FALSE,neur,1.09090909,11,0,0,0.97222222,FALSE,0,neur,130,0.09090909
90,1,0.91818182,1,0.05454545,11,1,FALSE,Borr,1.54545455,11,0,0,1,FALSE,0,Borr,104,0.22727273
73,1.64285714,0.45054945,0.60869565,0,9,4,FALSE,sec23,2.11111111,9,0,0,0.87142857,FALSE,0,sec23,236,0.55555556
102,1.78571429,0.31868132,0.56,0,8,4,FALSE,cos,2.25,8,0,0,0.84285714,FALSE,0,cos,188,0.625
114,1,1,1,0,5,1,FALSE,betaTub56D,1,5,0,0,1,FALSE,0,betaTub56D,20,0
81,1.63636364,0.02727273,0.61111111,0.5,4,2,FALSE,CG16719,4.25,4,0,0,0.68181818,FALSE,0,CG16719,6,0.38636364
84,2.21428571,0.27472527,0.4516129,0,4,3,FALSE,Pde8,2.75,4,0,0,0.75714286,FALSE,0,Pde8,174,0.58333333
99,1,1,1,0,4,1,FALSE,140up,1,4,0,0,1,FALSE,0,140up,12,0
83,1.85714286,0.10832025,0.53846154,0,3,3,FALSE,osa,7,3,0,0,0.82857143,FALSE,0,osa,90,0.6
105,1.85714286,0.10832025,0.53846154,0,3,3,FALSE,alph,7,3,0,0,0.82857143,FALSE,0,alph,90,0.6
108,1,1,1,0,3,1,FALSE,G-ialpha65A,1,3,0,0,1,FALSE,0,G-ialpha65A,6,0
117,1,1,1,0,3,1,FALSE,CG2678,1,3,0,0,1,FALSE,0,CG2678,6,0
148,1,1,1,0,3,1,FALSE,cas,1,3,0,0,1,FALSE,0,cas,6,0
158,1,1,1,0,3,1,FALSE,Arp66B,1,3,0,0,1,FALSE,0,Arp66B,6,0
174,1.85714286,0.10832025,0.53846154,0,3,3,FALSE,mbo,7,3,0,0,0.82857143,FALSE,0,mbo,90,0.6
72,2.28571429,0.00941915,0.4375,0,2,5,FALSE,cnk,8.5,2,0,0,0.74285714,FALSE,0,cnk,12,0.83333333
76,1,1,1,0,2,1,FALSE,nej,1,2,0,0,1,FALSE,0,nej,2,0
78,2.28571429,0.00941915,0.4375,0,2,5,FALSE,Su(H),8.5,2,0,0,0.74285714,FALSE,0,Su(H),12,0.83333333
80,1.81818182,0,0.55,1,2,2,FALSE,thr,7.5,2,0,0,0.59090909,FALSE,0,thr,0,0.68181818
96,1.83333333,0.16666667,0.54545455,0,2,2,FALSE,Tm1,6,2,0,0,0.72222222,FALSE,0,Tm1,22,0.5
101,2.28571429,0.00941915,0.4375,0,2,5,FALSE,wee,8.5,2,0,0,0.74285714,FALSE,0,wee,12,0.83333333
123,1.81818182,0,0.55,1,2,2,FALSE,asf1,7.5,2,0,0,0.59090909,FALSE,0,asf1,0,0.68181818
129,1.81818182,0,0.55,1,2,2,FALSE,dmt,7.5,2,0,0,0.59090909,FALSE,0,dmt,0,0.68181818
134,2.28571429,0.00941915,0.4375,0,2,5,FALSE,pot,8.5,2,0,0,0.74285714,FALSE,0,pot,12,0.83333333
170,0,0,0,0,2,0,TRUE,CG17739,0,1,0,0,9.22E+10,FALSE,1,CG17739,0,0
178,3,0.14285714,0.33333333,0,2,4,FALSE,dome,2.5,2,0,0,0.6,FALSE,0,dome,86,0.5
190,0,0,0,0,2,0,TRUE,Yp1,0,1,0,0,9.22E+10,FALSE,1,Yp1,0,0
208,1,1,1,0,2,1,FALSE,phyl,1,2,0,0,1,FALSE,0,phyl,2,0
224,1,1,1,0,2,1,FALSE,B4,1,2,0,0,1,FALSE,0,B4,2,0
75,1.5,0,0.66666667,0,1,2,FALSE,Abl,2,1,0,0,0.75,FALSE,0,Abl,0,0
86,2,0,0.5,0,1,3,FALSE,dpld,11,1,0,0,0.66666667,FALSE,0,dpld,0,0
89,1.90909091,0,0.52380952,0,1,2,FALSE,Eip63F-1,11,1,0,0,0.54545455,FALSE,0,Eip63F-1,0,0
92,1.90909091,0,0.52380952,0,1,2,FALSE,hpo,11,1,0,0,0.54545455,FALSE,0,hpo,0,0
94,2,0,0.5,0,1,3,FALSE,l(3)mbt,11,1,0,0,0.66666667,FALSE,0,l(3)mbt,0,0
98,1.75,0,0.57142857,0,1,2,FALSE,Moe,4,1,0,0,0.625,FALSE,0,Moe,0,0
107,1.66666667,0,0.6,0,1,2,FALSE,Krn,3,1,0,0,0.66666667,FALSE,0,Krn,0,0
111,1.90909091,0,0.52380952,0,1,2,FALSE,cin,11,1,0,0,0.54545455,FALSE,0,cin,0,0
113,1.8,0,0.55555556,0,1,2,FALSE,chinmo,5,1,0,0,0.6,FALSE,0,chinmo,0,0
116,1.66666667,0,0.6,0,1,2,FALSE,blow,3,1,0,0,0.66666667,FALSE,0,blow,0,0
119,1.66666667,0,0.6,0,1,2,FALSE,cbx,3,1,0,0,0.66666667,FALSE,0,cbx,0,0
121,1.90909091,0,0.52380952,0,1,2,FALSE,Caf1,11,1,0,0,0.54545455,FALSE,0,Caf1,0,0
125,2,0,0.5,0,1,3,FALSE,Rpd3,11,1,0,0,0.66666667,FALSE,0,Rpd3,0,0
127,2,0,0.5,0,1,3,FALSE,Btk29A,11,1,0,0,0.66666667,FALSE,0,Btk29A,0,0
132,2,0,0.5,0,1,3,FALSE,sina,11,1,0,0,0.66666667,FALSE,0,sina,0,0
137,1.8,0,0.55555556,0,1,2,FALSE,Pgant35A,5,1,0,0,0.6,FALSE,0,Pgant35A,0,0
139,1.5,0,0.66666667,0,1,2,FALSE,th,2,1,0,0,0.75,FALSE,0,th,0,0
141,1,0,1,0,1,1,FALSE,morgue,1,1,0,0,1,FALSE,0,morgue,0,0
142,1,0,1,0,1,1,FALSE,tup,1,1,0,0,1,FALSE,0,tup,0,0
144,2,0,0.5,0,1,3,FALSE,tld,11,1,0,0,0.66666667,FALSE,0,tld,0,0
147,1.66666667,0,0.6,0,1,2,FALSE,robo,3,1,0,0,0.66666667,FALSE,0,robo,0,0
150,1.66666667,0,0.6,0,1,2,FALSE,Lcp65Ag1,3,1,0,0,0.66666667,FALSE,0,Lcp65Ag1,0,0
152,2,0,0.5,0,1,3,FALSE,dom,11,1,0,0,0.66666667,FALSE,0,dom,0,0
155,2.57142857,0,0.38888889,0,1,5,FALSE,tum,9,1,0,0,0.68571429,FALSE,0,tum,0,0
157,1.66666667,0,0.6,0,1,2,FALSE,CG8149,3,1,0,0,0.66666667,FALSE,0,CG8149,0,0
160,2,0,0.5,0,1,3,FALSE,Pcaf,11,1,0,0,0.66666667,FALSE,0,Pcaf,0,0
162,1.8,0,0.55555556,0,1,2,FALSE,Stat92E,5,1,0,0,0.6,FALSE,0,Stat92E,0,0
164,1.66666667,0,0.6,0,1,2,FALSE,run,3,1,0,0,0.66666667,FALSE,0,run,0,0
166,1.66666667,0,0.6,0,1,2,FALSE,cbt,3,1,0,0,0.66666667,FALSE,0,cbt,0,0
168,2,0,0.5,0,1,3,FALSE,l(2)efl,11,1,0,0,0.66666667,FALSE,0,l(2)efl,0,0
172,1.75,0,0.57142857,0,1,2,FALSE,MED4,4,1,0,0,0.625,FALSE,0,MED4,0,0
177,3.92857143,0,0.25454545,0,1,5,FALSE,sqd,2,1,0,0,0.41428571,FALSE,0,sqd,0,0
181,2.71428571,0,0.36842105,0,1,5,FALSE,emp,8,1,0,0,0.65714286,FALSE,0,emp,0,0
183,1,0,1,0,1,1,FALSE,Akt1,1,1,0,0,1,FALSE,0,Akt1,0,0
184,1,0,1,0,1,1,FALSE,Abi,1,1,0,0,1,FALSE,0,Abi,0,0
188,2.57142857,0,0.38888889,0,1,5,FALSE,tok,9,1,0,0,0.68571429,FALSE,0,tok,0,0
193,1.90909091,0,0.52380952,0,1,2,FALSE,Dl,11,1,0,0,0.54545455,FALSE,0,Dl,0,0
195,1.90909091,0,0.52380952,0,1,2,FALSE,E(z),11,1,0,0,0.54545455,FALSE,0,E(z),0,0
197,1.75,0,0.57142857,0,1,2,FALSE,dsf,4,1,0,0,0.625,FALSE,0,dsf,0,0
199,1.75,0,0.57142857,0,1,2,FALSE,ena,4,1,0,0,0.625,FALSE,0,ena,0,0
202,1.8,0,0.55555556,0,1,2,FALSE,CG8247,5,1,0,0,0.6,FALSE,0,CG8247,0,0
205,1.90909091,0,0.52380952,0,1,2,FALSE,pbl,11,1,0,0,0.54545455,FALSE,0,pbl,0,0
207,1.5,0,0.66666667,0,1,2,FALSE,stil,2,1,0,0,0.75,FALSE,0,stil,0,0
210,1.5,0,0.66666667,0,1,2,FALSE,Axn,2,1,0,0,0.75,FALSE,0,Axn,0,0
212,2.75,0,0.36363636,0,1,3,FALSE,Sry-delta,2,1,0,0,0.41666667,FALSE,0,Sry-delta,0,0
214,1.66666667,0,0.6,0,1,2,FALSE,Traf6,3,1,0,0,0.66666667,FALSE,0,Traf6,0,0
216,1.66666667,0,0.6,0,1,2,FALSE,spn-A,3,1,0,0,0.66666667,FALSE,0,spn-A,0,0
218,1.8,0,0.55555556,0,1,2,FALSE,ird5,5,1,0,0,0.6,FALSE,0,ird5,0,0
220,2,0,0.5,0,1,3,FALSE,kuk,11,1,0,0,0.66666667,FALSE,0,kuk,0,0
