Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nucleus (GO:0005634)	148/1776	0.000000000000000000000000000000000000000000014127574752993478522674488345966007557681551268472227746774720974719927422026666170114992853381653972403914486135993733295634910973603837192058563232421875	0.00000000000000000000000000000000000000000261360132930379351922716201057034134959821012013121304444502077785778601335359330372363507703314585547399039218430250031133255106396973133087158203125	0.00000000093015055251063451194096392041742171752360945902182720601558685302734375	0.000000172077852214467372301369136981807894670737368869595229625701904296875	-1.1787363403305213	119.01488731322803	tub;lmd;jumu;tud;rad50;Fmr1;jing;lola;rib;peb;p53;bap;fal;gkt;Eip74EF;Set2;dnc;wupA;brk;brm;apt;ftz-f1;Es2;Atpalpha;stg;Rca1;fru;eya;sle;odd;ap;Su(var)2-10;elav;pnr;pnt;flfl;Rbp9;bcd;lwr;twi;scra;toe;N;d4;ash2;bs;par-6;fd59A;EcR;ken;ash1;bigmax;caup;mam;cnc;fs(1)K10;tow;Mef2;Dif;dpn;cg;enok;snf;chif;pdm2;lilli;ct;hyd;CycB;sno;mbl;esg;Ddx1;Alh;da;CkIIalpha;Su(z)12;acj6;msk;Chi;dj;hyx;Sxl;rdx;ecd;ben;Optix;Trl;MED11;nmo;rux;Antp;tin;sgl;opa;crol;prd;trc;pav;Bap60;chn;Hr78;Psn;Dp;foxo;MED24;chico;ey;fl(2)d;shn;emc;emb;cic;qkr58E-3;Iswi;hkb;CtBP;Sry-delta;dsx;tsh;disco;zfh1;bowl;zfh2;dco;abd-A;kis;crc;eve;Cka;kay;grp;Sin3A;sktl;gl;ttk;aft;PhKgamma;srp;sbb;spen;Cyp1;Pen;Jra;Abd-B;cher;Taf4;dup
SWI/SNF superfamily-type complex (GO:0070603)	6/14	0.00000043878832024963423570843436098687373458915317314676940441131591796875	0.00002029395981154558410296424864061037851570290513336658477783203125	0.0003799552204944856427341892679550028333324007689952850341796875	0.035145857895739922305278213343626703135669231414794921875	-2.665320537830464	39.018290288828844	Su(z)12;Bap60;tou;brm;Iswi;CtBP
cell projection cytoplasm (GO:0032838)	3/7	0.0004312383346134463467380637524684061645530164241790771484375	0.003799004376356550881366214156287242076359689235687255859375	0.01252189932295414039054026744679504190571606159210205078125	0.19043361067174335854446098892367444932460784912109375	-4.867694597328654	37.71903352890084	Dhc64C;Fmr1;Khc
smooth septate junction (GO:0005920)	3/8	0.00067784958658605718763434655471655787550844252109527587890625	0.005225090563267524579327272249429370276629924774169921875	0.0165684878207333248500976452532995608635246753692626953125	0.2043446831223776627428634355965186841785907745361328125	-4.206869843772886	30.695784001992333	Fas3;dlg1;l(2)gl
fusome (GO:0045169)	8/34	0.000000991046006014635605385620920060318894684314727783203125	0.0000305572518521179289073021190237255950705730356276035308837890625	0.00117379937359415897381309523694881136179901659488677978515625	0.043430576822983880946882351281601586379110813140869140625	-2.0742325560398074	28.67523809294692	shrb;Cp1;Dhc64C;scrib;alpha-Spec;par-1;shot;tral
septate junction (GO:0005918)	8/34	0.000000991046006014635605385620920060318894684314727783203125	0.0000305572518521179289073021190237255950705730356276035308837890625	0.00117379937359415897381309523694881136179901659488677978515625	0.043430576822983880946882351281601586379110813140869140625	-1.8505185038707657	25.582502087041654	Nrx-IV;Patj;Atpalpha;scrib;Fas3;dlg1;l(2)gl;Lac
cell cortex part (GO:0044448)	5/19	0.000064665532070406971337610257943850911033223383128643035888671875	0.00092024026407886848517858613405451251310296356678009033203125	0.00673948486672284498288920673303437069989740848541259765625	0.1558505875429657960840046371231437660753726959228515625	-2.616954313110751	25.243879895200894	Khc;pnut;alpha-Spec;brat;l(2)gl
cytosol (GO:0005829)	42/573	0.00000000009932663889272297176906213192891406497941897413284095819108188152313232421875	0.0000000091877140975768744556608953201991274450932678519166074693202972412109375	0.033965763464426305950905060626610065810382366180419921875	0.29244099624698216555174212771817110478878021240234375	-1.0914869693925355	25.139790754431406	tub;CG12896;msk;Sxl;ry;Pop2;poe;CSN4;Mlc1;l(2)gl;car;Src64B;dnc;sgl;Ptpmeg;Fas3;dock;mask;tral;Dif;d;grp;Mkp3;Jafrac2;sav;eya;brat;foxo;Pkn;Spred;chico;t;Cyp1;BicD;Jra;Ald;sty;Dcp-1;bun;cher;Cyt-c-d;CkIIalpha
cytoneme (GO:0035230)	3/8	0.00067784958658605718763434655471655787550844252109527587890625	0.005225090563267524579327272249429370276629924774169921875	0.0165684878207333248500976452532995608635246753692626953125	0.2043446831223776627428634355965186841785907745361328125	-3.38141039374784	24.672748842518992	dpp;btl;caps
perinuclear region of cytoplasm (GO:0048471)	12/70	0.0000000836597463139834547341306303543106981379651188035495579242706298828125	0.0000051590176893623134433963794975852579227648675441741943359375	0.000926890989739679086421852982624614014639519155025482177734375	0.043430576822983880946882351281601586379110813140869140625	-1.5083585407367448	24.58097688009981	klar;NetB;msk;mbl;hdc;ninaE;ben;Psn;cher;dlg1;svr;Chc
multivesicular body (GO:0005771)	5/14	0.000012281185054625558855287935366984441998283728025853633880615234375	0.00022720192351057284644612332957791522858315147459506988525390625	0.002279670656565237207846763567431480623781681060791015625	0.070289845244094817378055495282751508057117462158203125	-2.1148944341412994	23.914046440088896	wg;shrb;boss;ninaE;wls
striated muscle thin filament (GO:0005865)	2/6	0.00789264687053023959728559333370867534540593624114990234375	0.036503491776202358354286303665503510273993015289306640625	0.06070431052344528455311234438340761698782444000244140625	0.387251636097840634676003901404328644275665283203125	-4.695965410057114	22.737036752190043	bt;up
ISWI-type complex (GO:0031010)	4/13	0.0001879104077421764567960849046102111969958059489727020263671875	0.002044907378370743912532336850063074962235987186431884765625	0.0097623525635971881986296949662573751993477344512939453125	0.18060352242654797993992588089895434677600860595703125	-2.6371984296316424	22.62596329528993	E(bx);tou;Iswi;CtBP
cytoplasmic microtubule (GO:0005881)	4/20	0.00111627859102545975468478989256482236669398844242095947265625	0.007648575531100372353054961394036581623367965221405029296875	0.03283134935264224452122761022110353223979473114013671875	0.29244099624698216555174212771817110478878021240234375	-2.5784617912007306	17.52775105034551	klar;Apc2;Apc;Lis-1
actin cytoskeleton (GO:0015629)	10/68	0.0000043202416743533151533766638319189468120384844951331615447998046875	0.00010620324120325024355206144921481836718157865107059478759765625	0.006469982537204083290760525670748393167741596698760986328125	0.1558505875429657960840046371231437660753726959228515625	-1.3098208571657652	16.17916816254148	Apc2;bt;twf;Lis-1;up;Pak;sn;cher;qua;l(2)gl
zonula adherens (GO:0005915)	3/11	0.001893967960730055279106043286674321279861032962799072265625	0.011679469091168674654834802595360088162124156951904296875	0.032592061386518260401867763675909372977912425994873046875	0.29244099624698216555174212771817110478878021240234375	-2.580241410648596	16.17574292038945	shg;ex;baz
Rb-E2F complex (GO:0035189)	2/6	0.00789264687053023959728559333370867534540593624114990234375	0.036503491776202358354286303665503510273993015289306640625	0.06070431052344528455311234438340761698782444000244140625	0.387251636097840634676003901404328644275665283203125	-3.2886439269793404	15.923034201328674	E2f2;Dp
cytoplasmic vesicle (GO:0031410)	9/60	0.0000110578236768254481621476248420776755665428936481475830078125	0.00022720192351057284644612332957791522858315147459506988525390625	0.00858760821430895084083179114031736389733850955963134765625	0.1765230577385728805150932885226211510598659515380859375	-1.2957723852410121	14.787836948318809	Rab5;wus;RhoL;ninaE;bib;jar;N;Rho1;Chc
RSC complex (GO:0016586)	3/11	0.001893967960730055279106043286674321279861032962799072265625	0.011679469091168674654834802595360088162124156951904296875	0.032592061386518260401867763675909372977912425994873046875	0.29244099624698216555174212771817110478878021240234375	-2.357519938778063	14.779483928126055	Su(z)12;Bap60;brm
NURF complex (GO:0016589)	2/6	0.00789264687053023959728559333370867534540593624114990234375	0.036503491776202358354286303665503510273993015289306640625	0.06070431052344528455311234438340761698782444000244140625	0.387251636097840634676003901404328644275665283203125	-3.0373578401831485	14.706351263553469	E(bx);Iswi
cytoplasmic ribonucleoprotein granule (GO:0036464)	9/78	0.0000936233102830357909358849344272357484442181885242462158203125	0.00115468749349077466452573315081053806352429091930389404296875	0.034776767121262742998855088671916746534407138824462890625	0.29244099624698216555174212771817110478878021240234375	-1.5093972746062752	14.001518037560883	Atx2;tud;exu;Pop2;Fmr1;poe;pcm;Not1;tral
polytene chromosome (GO:0005700)	17/196	0.000004592572592572983459168443898246181333888671360909938812255859375	0.00010620324120325024355206144921481836718157865107059478759765625	0.04819983644950033563336688757772208191454410552978515625	0.371540405964898401425244856000063009560108184814453125	-1.1290856166007799	13.877670590372498	jumu;Sin3A;sktl;Sry-delta;Mhc;ttk;peb;Trl;ash2;Su(var)2-10;EcR;ash1;mam;cnc;tou;Iswi;CtBP
cytoskeleton (GO:0005856)	9/65	0.00002153427371458143386290760845636071962871938012540340423583984375	0.0003319867197664637587829761233848557822057045996189117431640625	0.01338182129044683012220051665508435689844191074371337890625	0.19043361067174335854446098892367444932460784912109375	-1.2527767614214955	13.462169660024374	Mtl;RhoL;pnut;Pak;sn;cher;l(2)gl;shot;Dys
inaD signaling complex (GO:0016027)	2/10	0.022237919117251946088398284473441890440881252288818359375	0.0721757023980984235844715612984145991504192352294921875	0.1250552066124635819388544177854782901704311370849609375	0.60882140061330947133910740376450121402740478515625	-3.527984147828162	13.427353771904698	inaC;ninaE
