Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA binding (GO:0003677)	56/448	0.000000000000000000000001094145024311380493353512752785802094261293497517532097419920352897489135290953754520160146057605743408203125	0.0000000000000000000003129254769530548170583428163451260903161980935885446623604343695246310375068787834607064723968505859375	0.000000000054233532039329678485232058293504420372344032585942841251380741596221923828125	0.00000001551079016324828764611075946656948421065180809819139540195465087890625	-1.0618267040492106	58.58317615348118	Su(z)12;rad50;Mitf;peb;Optix;Trl;bap;gkt;her;Antp;tin;brk;prd;Bap60;apt;ftz-f1;chn;Dp;odd;foxo;Su(var)2-10;ey;pnr;pnt;cic;hkb;Sry-delta;twi;tsh;disco;zfh1;zfh2;ash2;bs;abd-A;EcR;ken;eve;fs(1)K10;Mef2;Dif;kay;dpn;cg;gl;ttk;pdm2;lilli;srp;ct;tll;mbl;esg;Taf4;da;dup
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0003705)	20/63	0.0000000000000000110663078022224099964102745194153357356606205585849815598020740026186103932559490203857421875	0.000000000000001054988010478536410413315771125529912130951702177450446384909810149110853672027587890625	0.000000000311349782905747112170571971463922493483789111223813961260020732879638671875	0.0000000445230189555218338867657065609229061209362043882720172405242919921875	-1.4819766233663862	57.86025980957196	Mef2;opa;lmd;bcd;prd;gl;twi;chn;zfh1;Optix;bap;abd-A;ey;tll;eve;Antp;caup;tin;shn;toy
SH3/SH2 adaptor activity (GO:0005070)	4/6	0.0000045000984078863938875510186665707124120672233402729034423828125	0.0000515825626636688870326787059727990936153219081461429595947265625	0.000654046649808603768050385696142257074825465679168701171875	0.00890749246882193736196686728590066195465624332427978515625	-4.595899023980497	56.582003145357525	dos;drk;dock;Crk
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	34/200	0.000000000000000000136589860441222237771157432073627841186705717992433471545676848535322278621606528759002685546875	0.000000000000000019532350043094780145720258615571470268897263366787535321389412956705200485885143280029296875	0.000000000560729713300555010382195496982347948655700520248501561582088470458984375	0.000000053456232667986242944468283123937712986162296147085726261138916015625	-1.2551008107899757	54.518195765882034	lmd;bcd;Sry-delta;dsx;zfh1;zfh2;bs;abd-A;EcR;crc;eve;Antp;tin;brk;toy;Dif;opa;kay;prd;dpn;apt;Hr78;ttk;ap;foxo;srp;ct;ey;pnr;esg;Jra;Abd-B;cic;da
enhancer sequence-specific DNA binding (GO:0001158)	13/39	0.00000000000292920424127322122133071061337707759360260428849187519517727196216583251953125	0.0000000000837752413004141169134180934082649187810698521161612006835639476776123046875	0.00000027359656655486375388260339262813669591878351639024913311004638671875	0.0000086942908927434479318847870832343005531583912670612335205078125	-1.8440728080918867	48.971732862529514	Mef2;opa;apt;disco;ttk;abd-A;ey;crc;eve;Antp;tin;brk;Abd-B
imaginal disc growth factor receptor binding (GO:0008084)	4/7	0.000010303085430706987444030540979067467333152308128774166107177734375	0.00010523865832793566073115332226706186702358536422252655029296875	0.0009919716037512936630815563177065996569581329822540283203125	0.01233495124664652116408536386416017194278538227081298828125	-4.128013690657227	47.4022584109205	Idgf1;Idgf5;Idgf4;Idgf2
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	10/28	0.000000000455473696410018947055955545119023362976573565674698329530656337738037109375	0.0000000093046769409475306200552185693745943506627327224123291671276092529296875	0.00000408404860145151070069911847237875690552755258977413177490234375	0.000097336491667927675652816077445095288567245006561279296875	-2.0106149780565987	43.24769110966732	opa;abd-A;ey;crc;eve;Antp;tin;ttk;brk;Abd-B
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	25/134	0.000000000000001022584176288685916660027591225988479698645106964749462719055372872389853000640869140625	0.00000000000005849181488371283388075094456341827725055250442043330849628546275198459625244140625	0.00000002510994609619448830216390292600914246889942660345695912837982177734375	0.00000143628891670232471764888544651928015127850812859833240509033203125	-1.2291911749646058	42.42730769879211	Sry-delta;dsx;tsh;bs;abd-A;Eip74EF;EcR;Antp;Mef2;Dif;kay;dpn;Bap60;ftz-f1;chn;ttk;pdm2;knrl;foxo;srp;pnr;pnt;esg;E2f2;da
transcription regulatory region sequence-specific DNA binding (GO:0000976)	31/204	0.00000000000000015707751982998665338904554351724121957556963113770975848382249751011840999126434326171875	0.000000000000011231042667844046185702918836458506662867064263000571600059629417955875396728515625	0.000000036141769450607488489872541441438880127634547534398734569549560546875	0.000001722757677145623750366155817193014598842637497000396251678466796875	-1.137665374826366	41.399406621205024	lmd;jumu;Sry-delta;dsx;disco;zfh1;p53;zfh2;Optix;bs;abd-A;EcR;crc;brk;toy;Mef2;Dif;opa;prd;dpn;apt;ftz-f1;Hr78;ap;foxo;ct;ey;esg;Abd-B;cic;da
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	21/93	0.0000000000000036538278867890064093577372428544639245401987569239476982829728513024747371673583984375	0.00000000000017416579593694262806495310388890143977612574854862970141766709275543689727783203125	0.00000002027171583958457919545683421393145184907780276262201368808746337890625	0.00000143628891670232471764888544651928015127850812859833240509033203125	-1.1809268595314555	39.2575528204529	Mef2;Dif;opa;kay;Bap60;apt;ftz-f1;Sry-delta;dsx;pdm2;Optix;foxo;srp;bs;abd-A;Eip74EF;EcR;pnr;Antp;pnt;da
