Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
microtubule cytoskeleton (GO:0015630)	2/112	0.00109056345227038294261323603251412350800819694995880126953125	0.0174490152363261270818117765202259761281311511993408203125	0.004637632439112614364529196819830758613534271717071533203125	0.053875463595703908248335523012428893707692623138427734375	-2.082590987510432	14.205479721546283	cos;tum
BAF-type complex (GO:0090544)	1/13	0.0058359773052654995151300454381271265447139739990234375	0.02334390922106199806052018175250850617885589599609375	0.0135054942811352329812280004261992871761322021484375	0.053875463595703908248335523012428893707692623138427734375	-2.629385654481639	13.524806585154222	osa
cell cortex part (GO:0044448)	1/19	0.00851927944423767902204502888707793317735195159912109375	0.0239089867468996360166944015190892969258129596710205078125	0.019248703465244008936618769212145707570016384124755859375	0.053875463595703908248335523012428893707692623138427734375	-2.7939848771635667	13.314521231367504	tum
cytoplasmic microtubule (GO:0005881)	1/20	0.008965870030087363939941269563860259950160980224609375	0.0239089867468996360166944015190892969258129596710205078125	0.02020329884838896472576408314125728793442249298095703125	0.053875463595703908248335523012428893707692623138427734375	-2.8119677535760608	13.256544303071705	tum
brahma complex (GO:0035060)	1/13	0.0058359773052654995151300454381271265447139739990234375	0.02334390922106199806052018175250850617885589599609375	0.0135054942811352329812280004261992871761322021484375	0.053875463595703908248335523012428893707692623138427734375	-2.5105938019278526	12.913775325078813	osa
kinesin complex (GO:0005871)	1/34	0.01519939112385223188572691555009441799484193325042724609375	0.0303987822477044637714538311001888359896838665008544921875	0.033489768900549922447940076608574599958956241607666015625	0.07654804320125696559529160367674194276332855224609375	-2.2646006695542567	9.480750498309064	cos
nucleoplasm (GO:0005654)	2/170	0.0024863385672990582532515535518768956535495817661285400390625	0.0198907085383924660260124284150151652283966541290283203125	0.0103497321801213106040595590684461058117449283599853515625	0.053875463595703908248335523012428893707692623138427734375	-1.2118986393629587	7.267688401894539	mbo;osa
nuclear lumen (GO:0031981)	2/358	0.01058477712436475294544013792119585559703409671783447265625	0.0241937762842622909598144786968987318687140941619873046875	0.042198873581642926122725612003705464303493499755859375	0.08439774716328585224545122400741092860698699951171875	-1.2970778932408675	5.899549229070787	mbo;osa
perinuclear region of cytoplasm (GO:0048471)	1/70	0.0310687101240235928611976845559183857403695583343505859375	0.051636826279749463430857048251709784381091594696044921875	0.06699416674058829290760996855169651098549365997314453125	0.1191007408721569682530372347173397429287433624267578125	-1.4431322254616423	5.009911553154951	tum
polymeric cytoskeletal fiber (GO:0099513)	1/90	0.03978641820631693970522491099472972564399242401123046875	0.051636826279749463430857048251709784381091594696044921875	0.08520215263638609981544647098417044617235660552978515625	0.11961256757542369777436164213213487528264522552490234375	-1.516957396564535	4.891019055274634	cos
microtubule (GO:0005874)	1/85	0.037613553189924313346903517185637610964477062225341796875	0.051636826279749463430857048251709784381091594696044921875	0.08067704315708405793383661830375785939395427703857421875	0.11961256757542369777436164213213487528264522552490234375	-1.3535003812157063	4.440010247545075	cos
spindle (GO:0005819)	1/95	0.041954921352296441205975696675523067824542522430419921875	0.051636826279749463430857048251709784381091594696044921875	0.08970942568156776986132427964548696763813495635986328125	0.11961256757542369777436164213213487528264522552490234375	-1.2281217678395544	3.8945700581980685	tum
nucleus (GO:0005634)	3/1776	0.039063546076090673031533384573776856996119022369384765625	0.051636826279749463430857048251709784381091594696044921875	0.22731640246949991190916762207052670419216156005859375	0.22731640246949991190916762207052670419216156005859375	-1.0007735804104607	3.2450739575025236	Su(H);osa;tum
chromosome (GO:0005694)	1/196	0.08483677730197071442663769857972511090338230133056640625	0.09049256245543542409581760921355453319847583770751953125	0.177020044930382314252170772306271828711032867431640625	0.2023086227775797996120132893338450230658054351806640625	-1.0918231467291475	2.693556238438086	Su(H)
polytene chromosome (GO:0005700)	1/196	0.08483677730197071442663769857972511090338230133056640625	0.09049256245543542409581760921355453319847583770751953125	0.177020044930382314252170772306271828711032867431640625	0.2023086227775797996120132893338450230658054351806640625	-1.0448793592365624	2.5777446877896435	Su(H)
chromatin (GO:0000785)	1/218	0.0939478410366756666594056923713651485741138458251953125	0.0939478410366756666594056923713651485741138458251953125	0.1951176581187615555190717486766516231000423431396484375	0.2081255019933456462677412446282687596976757049560546875	-0.9553836560907488	2.259497186920348	mbo
