Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	1/9	0.00404352496647435166732265088285203091800212860107421875	0.0595340459604261351689302728118491359055042266845703125	0.01005101120177859762294669820903436630032956600189208984375	0.136807558707709497891613636966212652623653411865234375	-3.3896743356946466	18.679269730566283	Pde8
frizzled binding (GO:0005109)	1/14	0.006283642097526875337776264274225468398071825504302978515625	0.0595340459604261351689302728118491359055042266845703125	0.01504485864293130491231575973642975441180169582366943359375	0.136807558707709497891613636966212652623653411865234375	-2.955722352121557	14.984937480925504	cos
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	1/28	0.012532162629386445207302358539891429245471954345703125	0.0595340459604261351689302728118491359055042266845703125	0.0289160800020156170953011809388044639490544795989990234375	0.136807558707709497891613636966212652623653411865234375	-2.07282110045808	9.077830730661255	Su(H)
RNA polymerase II transcription factor binding (GO:0001085)	1/29	0.01297714613356692157919436425572712323628365993499755859375	0.0595340459604261351689302728118491359055042266845703125	0.029900619291980477798542636946876882575452327728271484375	0.136807558707709497891613636966212652623653411865234375	-1.9921878987761066	8.655190731512924	Su(H)
enhancer sequence-specific DNA binding (GO:0001158)	1/39	0.017417187622456468953924257903054240159690380096435546875	0.0595340459604261351689302728118491359055042266845703125	0.039700347216929395000040159402487915940582752227783203125	0.136807558707709497891613636966212652623653411865234375	-1.8563111463457482	7.5186128888881285	Su(H)
microtubule motor activity (GO:0003777)	1/33	0.01475529825588725064966499900265262112952768802642822265625	0.0595340459604261351689302728118491359055042266845703125	0.03383046249522066173387457865828764624893665313720703125	0.136807558707709497891613636966212652623653411865234375	-1.7333378744339074	7.308017777944736	cos
phosphoric ester hydrolase activity (GO:0042578)	1/39	0.017417187622456468953924257903054240159690380096435546875	0.0595340459604261351689302728118491359055042266845703125	0.039700347216929395000040159402487915940582752227783203125	0.136807558707709497891613636966212652623653411865234375	-1.7560021540653203	7.112331601553481	alph
motor activity (GO:0003774)	1/40	0.01786021378812784055067908184355474077165126800537109375	0.0595340459604261351689302728118491359055042266845703125	0.04067576585843031555800308751713600941002368927001953125	0.136807558707709497891613636966212652623653411865234375	-1.683897681755916	6.777990821698745	cos
protein serine/threonine phosphatase activity (GO:0004722)	1/53	0.0236034181343366122884930291547789238393306732177734375	0.061632064537737375753412294443478458561003208160400390625	0.05328126498873335392669758903139154426753520965576171875	0.136807558707709497891613636966212652623653411865234375	-1.7250823353608982	6.462785911845582	alph
tubulin binding (GO:0015631)	1/120	0.0527322769043842842773273105194675736129283905029296875	0.0719076503241603826044325842303805984556674957275390625	0.11608096590699233663368516999980784021317958831787109375	0.15829222623680772041865338906063698232173919677734375	-1.7877829985793552	5.260600719476028	cos
