Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TfIIB	Jun-44	0.000383844	0.019576035	0.002367012	0.120717589	-1.701771852	13.38490327	Su(H);cos;mbo;osa;tum;alph
BEAF-32	Aug-74	0.001214307	0.023200904	0.010121123	0.192904419	-1.64141972	11.01980563	Su(H);Pde8;pot;cos;mbo;osa;tum;alph
dl	Aug-57	0.001828204	0.023200904	0.015613114	0.192904419	-1.604460713	10.11519646	Su(H);Pde8;pot;cos;mbo;osa;tum;alph
Med	Jul-30	0.001579975	0.023200904	0.011728633	0.192904419	-1.540410623	9.936181558	Su(H);Pde8;cos;mbo;osa;tum;alph
Cp190	Aug-71	0.002274598	0.023200904	0.019697031	0.192904419	-1.538692799	9.364410128	Su(H);Pde8;pot;cos;mbo;osa;tum;alph
twi	Jun-61	0.006164653	0.045920243	0.035405409	0.192904419	-1.447796145	7.367723679	Su(H);Pde8;cos;osa;tum;alph
h	May-79	0.006302778	0.045920243	0.028394696	0.192904419	-1.369496285	6.938915456	Su(H);Pde8;cos;osa;alph
sens	Jul-75	0.008332606	0.053120364	0.061016282	0.192904419	-1.33752386	6.403501162	Su(H);pot;cos;mbo;osa;tum;alph
bcd	2/408	0.013592599	0.066331722	0.02751106	0.192904419	-1.318741765	5.668255234	Su(H);tum
z	3/1195	0.013615684	0.066331722	0.036142449	0.192904419	-1.261645609	5.420701852	Su(H);osa;alph
phol	May-42	0.01648641	0.066331722	0.070278116	0.192904419	-1.150542632	4.72322934	Su(H);cos;osa;tum;alph
D	Jun-60	0.017221569	0.066331722	0.0937403	0.239037765	-1.157719307	4.702184237	Su(H);Pde8;cos;osa;tum;alph
chinmo	Apr-41	0.014509821	0.066331722	0.049130452	0.192904419	-1.054866905	4.465177292	cos;mbo;tum;alph
Myb	Jun-72	0.020809952	0.066331722	0.111788752	0.249379536	-1.02618216	3.973709743	Su(H);cos;mbo;osa;tum;alph
bab1	3/1380	0.02009398	0.066331722	0.052378511	0.192904419	-0.999001823	3.903434791	Su(H);cos;alph
mod(mdg4)	Apr-35	0.019132129	0.066331722	0.063680787	0.192904419	-0.941098645	3.723349709	Pde8;pot;cos;alph
disco	3/1533	0.026586556	0.074183413	0.06826676	0.192904419	-1.021332484	3.704729974	cos;osa;alph
Dsp1	3/1507	0.025409516	0.074183413	0.065411921	0.192904419	-0.946258587	3.475259115	Su(H);osa;alph
E(z)	3/1565	0.028076952	0.074183413	0.071866352	0.192904419	-0.813181771	2.905340923	Pde8;pot;cos
Nelf-E	2/611	0.029091535	0.074183413	0.057552485	0.192904419	-0.816575582	2.888479383	Pde8;alph
da	Apr-24	0.031107305	0.075546312	0.099935681	0.24270094	-0.762518833	2.646178717	Su(H);Pde8;osa;alph
run	2/672	0.034695766	0.080431093	0.068194577	0.192904419	-0.770286818	2.589040006	Su(H);osa
pho	Apr-71	0.0366432	0.081252313	0.116108772	0.249379536	-0.659517703	2.180713365	Su(H);cos;osa;alph
trx	Jun-55	0.048462152	0.102982074	0.240435429	0.350348769	-0.683883817	2.070097268	Su(H);pot;cos;osa;tum;alph
mip120	May-20	0.053709453	0.109567285	0.205237083	0.327096602	-0.677143523	1.98008024	Su(H);cos;osa;tum;alph
prd	2/919	0.061259407	0.120162683	0.117355076	0.249379536	-0.645937794	1.803870337	Pde8;osa
lin-52	Mar-44	0.070582495	0.128560972	0.168755717	0.311338	-0.541981078	1.436777268	Su(H);osa;tum
jumu	2/962	0.066455066	0.125526235	0.126748993	0.258567945	-0.451990257	1.225449212	cos;alph
E2f2	Mar-40	0.078234764	0.131820319	0.185216326	0.311338	-0.379268228	0.966391064	Su(H);osa;tum
Ubx	Mar-63	0.080126076	0.131820319	0.189244667	0.311338	-0.340141804	0.85857027	Su(H);cos;osa
Chro	Jun-19	0.074866398	0.131661596	0.349523432	0.43477305	-0.322228571	0.835232604	Su(H);cos;mbo;osa;tum;alph
hb	2/1223	0.101040377	0.151560565	0.187663141	0.311338	-0.269737424	0.618301582	Su(H);alph
Trl	May-25	0.088396598	0.140882079	0.314595489	0.422220262	-0.175982739	0.426920361	Su(H);pot;cos;osa;alph
CBP	2/1348	0.119204137	0.172511568	0.218613927	0.337857887	-0.190253715	0.404654017	Su(H);alph
ph-p	2/1158	0.091975937	0.142144631	0.17195771	0.311338	-0.121354154	0.289578715	osa;alph
mip130	Mar-56	0.1257683	0.172511568	0.282090055	0.388826833	-0.108412652	0.224773463	Su(H);osa;tum
cnc	1/451	0.185609088	0.242719577	0.260427755	0.368939319	-0.061087601	0.102878393	Su(H)
Snr1	1/291	0.123605186	0.172511568	0.176002056	0.311338	-0.010143751	0.021207162	Pde8
gsb-n	1/618	0.246137033	0.29930575	0.340378051	0.434562127	0.005347209	-0.007496075	Pde8
CtBP	2/1410	0.128538031	0.172511568	0.234257987	0.350348769	0.004675678	-0.009592296	Pde8;cos
slp1	1/685	0.269273732	0.312112735	0.370261935	0.449603778	0.195769317	-0.256854595	Su(H)
inv	1/957	0.356854776	0.387225396	0.479767795	0.543736834	0.294657748	-0.303623114	cos
hkb	1/1274	0.447054904	0.465302043	0.586056507	0.622685039	0.399975346	-0.322009698	alph
bin	1/619	0.246487088	0.29930575	0.340833041	0.434562127	0.249982197	-0.350086485	Pde8
su(Hw)	1/1617	0.531824437	0.542460926	0.679188053	0.692771814	0.559112343	-0.353046932	pot
Mef2	1/1751	0.561664495	0.561664495	0.710245253	0.710245253	0.654042857	-0.377285009	osa
CTCF	Apr-85	0.268592836	0.312112735	0.615160199	0.640268779	0.322333549	-0.42372636	Su(H);cos;osa;alph
NELF-B	1/885	0.33463101	0.371003945	0.452541173	0.536734879	0.391123308	-0.428173174	Pde8
cad	Apr-70	0.233513011	0.297729089	0.556590033	0.603959398	0.309292111	-0.449870783	Su(H);mbo;tum;alph
gro	1/1074	0.391563602	0.416036327	0.521488293	0.578171803	0.495334828	-0.464429561	Su(H)
insv	Feb-52	0.286641302	0.324860143	0.475050433	0.543736834	0.435286105	-0.543900288	Su(H);alph
