Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of cell cycle G1/S phase transition (GO:1902808)	Mar-13	1.15739E-06	4.64007E-05	2.40601E-05	0.001135741	-2.96404685	40.51658317	Su(H);CycA;CycE
peripheral nervous system development (GO:0007422)	Aug-79	5.27875E-13	2.32793E-10	5.50631E-10	2.42828E-07	-1.404954638	39.71795154	bon;glu;CycA;Dl;CycE;dmt;pbl;thr
positive regulation of histone methylation (GO:0031062)	02-Oct	0.000117828	0.001623811	0.000837991	0.014213625	-3.763421726	34.04499776	E(z);esc
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	02-Oct	0.000117828	0.001623811	0.000837991	0.014213625	-3.421273387	30.94982526	Su(H);CycE
imaginal disc-derived wing vein morphogenesis (GO:0008586)	May-49	1.61294E-08	1.77827E-06	1.28938E-06	0.000142154	-1.711138189	30.702301	Su(H);cnk;tok;Dl;osa
imaginal disc-derived wing morphogenesis (GO:0007476)	10/240	3.73002E-12	7.00739E-10	9.84771E-09	1.8184E-06	-1.149224738	30.2413974	Su(H);cnk;tok;Btk29A;cos;Dl;CycE;Stat92E;osa;alph
positive regulation of histone modification (GO:0031058)	02-Oct	0.000117828	0.001623811	0.000837991	0.014213625	-3.259884267	29.48985276	E(z);esc
nervous system development (GO:0007399)	10/246	4.76693E-12	7.00739E-10	1.237E-08	1.8184E-06	-1.094894363	28.54314981	bon;glu;E(z);CycA;Dl;CycE;dmt;Stat92E;pbl;thr
regulation of exit from mitosis (GO:0007096)	02-Nov	0.000143863	0.00192253	0.000988103	0.015562619	-3.00348671	26.57079802	CycA;CycE
R8 cell fate commitment (GO:0007460)	Feb-14	0.000237291	0.002552325	0.001509821	0.019583269	-3.131958825	26.14002836	hpo;Dl
respiratory system development (GO:0060541)	6/112	2.63823E-08	2.32692E-06	3.48952E-06	0.000307776	-1.43362312	25.01754149	Btk29A;Dl;dmt;Stat92E;mbo;thr
"dorsal/ventral lineage restriction, imaginal disc (GO:0007451)"	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-5.457577327	24.37282647	Dl
retinal cell programmed cell death (GO:0046666)	Feb-13	0.000203602	0.002290681	0.001324101	0.017694805	-2.76913846	23.53585277	hpo;Dl
cellular response to X-ray (GO:0071481)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-5.084805374	23.48783698	Stat92E
positive regulation of hh target transcription factor activity (GO:0007228)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-5.05315	23.34161383	cos
negative regulation of cell fate specification (GO:0009996)	Feb-17	0.000353536	0.003464649	0.002136874	0.023642741	-2.926223238	23.25623621	Su(H);Dl
negative regulation of antimicrobial humoral response (GO:0008348)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-5.079519111	22.68446793	Stat92E
defasciculation of motor neuron axon (GO:0007415)	02-Sep	9.43595E-05	0.001565612	0.000699917	0.013420152	-2.423287978	22.45999866	tok;pbl
positive regulation of cell cycle (GO:0045787)	Mar-34	2.36507E-05	0.000548945	0.000316983	0.008222902	-2.027429928	21.59642443	CycA;Dl;CycE
negative regulation of humoral immune response (GO:0002921)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.708942645	21.02952191	Stat92E
negative regulation of glial cell proliferation (GO:0060253)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.66607503	20.83808075	hpo
regulation of cyclin-dependent protein kinase activity (GO:1904029)	Feb-16	0.000312265	0.003202537	0.00191629	0.022840102	-2.578076262	20.80934687	CycA;CycE
regulation of cell cycle G1/S phase transition (GO:1902806)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-4.495053927	20.76364504	CycA
sister chromatid segregation (GO:0000819)	Mar-34	2.36507E-05	0.000548945	0.000316983	0.008222902	-1.945096258	20.7193964	glu;CycA;thr
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-4.463255548	20.61676131	hpo
signal transduction downstream of smoothened (GO:0007227)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-4.434380577	20.48338145	cos
regulation of ERK1 and ERK2 cascade (GO:0070372)	Mar-33	2.15881E-05	0.000548945	0.000292	0.008222902	-1.884291241	20.24363329	cnk;Pde8;alph
syncytial blastoderm mitotic cell cycle (GO:0035186)	Feb-18	0.000397317	0.003728018	0.002368915	0.023742994	-2.545874561	19.93617298	E(z);CycA
positive regulation of mitotic cell cycle phase transition (GO:1901992)	Feb-25	0.000773445	0.006090877	0.004307259	0.035175946	-2.754171001	19.73268883	Su(H);CycE
regulation of double-strand break repair via homologous recombination (GO:0010569)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.335606856	19.36225311	spn-A
negative regulation of canonical Wnt signaling pathway (GO:0090090)	Mar-35	2.58389E-05	0.000569747	0.000343305	0.008410983	-1.815595255	19.17927868	hpo;pbl;tum
response to ionizing radiation (GO:0010212)	Feb-22	0.000597399	0.005165745	0.003410043	0.031329767	-2.571507684	19.0881093	hpo;spn-A
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.214032502	18.81931795	hpo
open tracheal system development (GO:0007424)	6/155	1.83198E-07	1.00988E-05	2.09208E-05	0.001135741	-1.203976251	18.67692105	cnk;Btk29A;Dl;Stat92E;mbo;thr
"negative regulation of terminal cell fate specification, open tracheal system (GO:0035155)"	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.17181628	18.63078582	Dl
negative regulation of gliogenesis (GO:0014014)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.168183733	18.61456334	hpo
negative regulation of multicellular organismal process (GO:0051241)	Mar-51	8.07489E-05	0.001539475	0.000970399	0.015562619	-1.964066388	18.50968734	Su(H);hpo;Dl
negative regulation of Wnt signaling pathway (GO:0030178)	Mar-40	3.87863E-05	0.000814513	0.000496071	0.010938278	-1.812661872	18.41200832	hpo;pbl;tum
response to lipopolysaccharide (GO:0032496)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-4.102866938	18.32286708	Stat92E
cell cycle comprising mitosis without cytokinesis (GO:0033301)	Feb-21	0.000543651	0.004795001	0.003132977	0.029396661	-2.425852367	18.23562534	E(z);CycA
apposition of dorsal and ventral imaginal disc-derived wing surfaces (GO:0007475)	Feb-20	0.000492383	0.004431444	0.002867048	0.027891204	-2.381764705	18.14012609	pot;Dl
polarity specification of anterior/posterior axis (GO:0009949)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-3.891676201	17.9765103	spn-A
regulation of cell proliferation (GO:0042127)	6/155	1.83198E-07	1.00988E-05	2.09208E-05	0.001135741	-1.155279334	17.92150043	Btk29A;CycA;hpo;Dl;CycE;Stat92E
positive regulation of cellular process (GO:0048522)	Apr-97	1.90971E-05	0.000548945	0.000466037	0.010816954	-1.640815406	17.82905594	CycA;Dl;CycE;Stat92E
negative regulation of nervous system development (GO:0051961)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-4.084038703	17.69669939	Dl
lamellocyte differentiation (GO:0035171)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-3.798388036	17.5455917	Stat92E
negative regulation of cell development (GO:0010721)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-3.927849622	17.54126264	Dl
compound eye cone cell fate commitment (GO:0042676)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-4.025072499	17.44119074	Dl
digestive tract mesoderm development (GO:0007502)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-3.718367994	17.17596149	thr
positive regulation of cell proliferation (GO:0008284)	Apr-73	6.16848E-06	0.000226692	0.000164148	0.006032444	-1.4299817	17.1541438	CycA;Dl;CycE;Stat92E
axonal defasciculation (GO:0007414)	Feb-13	0.000203602	0.002290681	0.001324101	0.017694805	-1.9855948	16.87624781	tok;pbl
stem cell fate commitment (GO:0048865)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.98251348	16.79088638	osa
regulation of cell cycle process (GO:0010564)	Mar-43	4.82845E-05	0.000967884	0.000605697	0.01214148	-1.681731457	16.71372086	CycA;CycE;tum
regulation of protein serine/threonine kinase activity (GO:0071900)	Feb-24	0.000712304	0.005817147	0.003997262	0.033899858	-2.221985321	16.10274121	CycA;CycE
regulation of imaginal disc-derived wing size (GO:0044719)	Feb-27	0.000903065	0.006750028	0.004959633	0.038371901	-2.286407283	16.0270659	Btk29A;CycE
regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000058)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-3.666094173	15.88568846	hpo
mitotic sister chromatid segregation (GO:0000070)	Apr-76	7.24576E-06	0.000245799	0.000190388	0.006458562	-1.326599879	15.70043411	glu;CycA;dmt;thr
post-embryonic appendage morphogenesis (GO:0035120)	6/161	2.29331E-07	1.12372E-05	2.57538E-05	0.001135741	-1.020836943	15.60665728	cnk;cos;Dl;Stat92E;osa;alph
regulation of DNA metabolic process (GO:0051052)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-3.57608067	15.49564762	CycE
polarity specification of dorsal/ventral axis (GO:0009951)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-3.453272696	15.42186416	spn-A
regulation of stem cell differentiation (GO:2000736)	Feb-23	0.000653619	0.005438606	0.003698164	0.032001565	-2.081731721	15.26530859	Stat92E;tum
imaginal disc-derived wing margin morphogenesis (GO:0008587)	Mar-54	9.58538E-05	0.001565612	0.001136308	0.016703724	-1.643302325	15.20496133	pot;Dl;osa
mesodermal cell migration (GO:0008078)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.60203439	15.18672831	pbl
wing disc morphogenesis (GO:0007472)	6/134	7.71596E-08	5.67123E-06	9.40022E-06	0.000690917	-0.909835341	14.90072781	cnk;cos;Dl;Stat92E;osa;alph
neuroblast fate commitment (GO:0014017)	Feb-31	0.001191442	0.007614871	0.006391742	0.044043097	-2.199527012	14.80851499	CycE;osa
negative regulation of MAP kinase activity (GO:0043407)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.509013215	14.79453679	alph
cytoskeleton-dependent cytokinesis (GO:0061640)	Mar-69	0.00019909	0.002290681	0.002232209	0.023742994	-1.732570801	14.76453726	pbl;tum;thr
regulation of DNA recombination (GO:0000018)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-3.395403465	14.71274853	spn-A
negative regulation of multi-organism process (GO:0043901)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.47866209	14.6665718	Stat92E
wing disc dorsal/ventral pattern formation (GO:0048190)	Mar-52	8.55965E-05	0.001539475	0.00102386	0.015569735	-1.560147905	14.61213664	Su(H);Dl;osa
negative regulation of MAPK cascade (GO:0043409)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.465245248	14.61000435	alph
neuron fate specification (GO:0048665)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-3.250298703	14.51540886	CycE
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.43288483	14.47356787	spn-A
positive regulation of R7 cell differentiation (GO:0045678)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-3.319301835	14.38298973	alph
chromatin-mediated maintenance of transcription (GO:0048096)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-3.491995739	14.35765967	esc
histone H3-K9 methylation (GO:0051567)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-3.187768729	14.23615817	E(z)
"mitotic cell cycle, embryonic (GO:0045448)"	Feb-31	0.001191442	0.007614871	0.006391742	0.044043097	-2.114278513	14.23457175	E(z);CycA
ribosomal subunit export from nucleus (GO:0000054)	01-Dec	0.019626649	0.042637202	0.046678687	0.10665959	-3.612100267	14.19868578	mbo
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	Feb-26	0.000837034	0.006476003	0.004628075	0.037108748	-2.001463801	14.18166287	CycA;CycE
response to X-ray (GO:0010165)	01-Nov	0.018005466	0.040929951	0.043164027	0.103452912	-3.512329192	14.109307	Stat92E
regulation of histone methylation (GO:0031060)	Feb-27	0.000903065	0.006750028	0.004959633	0.038371901	-2.009873896	14.08864537	E(z);esc
negative regulation of response to biotic stimulus (GO:0002832)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.328734854	14.03445563	Stat92E
hippo signaling (GO:0035329)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-3.139266561	14.01955384	hpo
regulation of compound eye cone cell fate specification (GO:0042682)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-3.030940178	14.00058086	Su(H)
"dorsal/ventral pattern formation, imaginal disc (GO:0007450)"	Mar-57	0.000112693	0.001623811	0.001319154	0.017694805	-1.53306323	13.93683436	Su(H);Dl;osa
mitotic nuclear division (GO:0140014)	Mar-67	0.000182442	0.002290681	0.002058911	0.023642741	-1.611164162	13.87063635	glu;CycA;thr
second mitotic wave involved in compound eye morphogenesis (GO:0016330)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-3.368114898	13.84831226	Dl
mesoderm development (GO:0007498)	Apr-83	1.02942E-05	0.000324269	0.000263241	0.008222902	-1.201403745	13.79683173	Pde8;CG16719;Dl;thr
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-3.344422819	13.75090011	hpo
mitotic cytokinesis (GO:0000281)	Mar-65	0.000166726	0.002162532	0.001894284	0.022840102	-1.568643723	13.64588279	pbl;tum;thr
regulation of mitotic cell cycle (GO:0007346)	4/100	2.15375E-05	0.000548945	0.00052087	0.010938278	-1.25340848	13.46877105	CycA;hpo;Dl;CycE
imaginal disc-derived appendage morphogenesis (GO:0035114)	6/170	3.16119E-07	1.39409E-05	3.46578E-05	0.001389464	-0.899324079	13.46031484	cnk;cos;Dl;Stat92E;osa;alph
negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-3.006943218	13.4286151	cos
negative regulation of intracellular protein transport (GO:0090317)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-2.995502487	13.37752229	mbo
negative regulation of nucleocytoplasmic transport (GO:0046823)	01-Jul	0.0114947	0.036468797	0.028979863	0.100630862	-2.98932817	13.3499486	mbo
peptidyl-threonine phosphorylation (GO:0018107)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-3.046907259	13.20266671	hpo
regulation of microtubule-based process (GO:0032886)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-3.209607655	13.19659524	tum
regulation of mitotic cell cycle phase transition (GO:1901990)	Feb-25	0.000773445	0.006090877	0.004307259	0.035175946	-1.833459683	13.13610861	CycA;CycE
protein methylation (GO:0006479)	Feb-29	0.001042418	0.007284112	0.005654666	0.041561799	-1.912716436	13.13311695	E(z);esc
renal tubule morphogenesis (GO:0061333)	Feb-35	0.001518259	0.009430314	0.007989589	0.052795704	-2.021652118	13.12090809	pbl;thr
hemopoiesis (GO:0030097)	Feb-28	0.000971529	0.007140736	0.005301856	0.04031239	-1.86754882	12.95451327	Su(H);Stat92E
"regulation of mitotic cell cycle, embryonic (GO:0009794)"	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-3.058503314	12.89511809	CycA
regulation of canonical Wnt signaling pathway (GO:0060828)	Mar-68	0.000190648	0.002290681	0.002144466	0.023642741	-1.495414892	12.80834785	hpo;pbl;tum
ribosomal large subunit export from nucleus (GO:0000055)	01-Jun	0.00986048	0.036237263	0.025402225	0.100630862	-2.712676508	12.53045081	mbo
positive regulation of programmed cell death (GO:0043068)	Feb-37	0.00169593	0.010245275	0.00884916	0.057389406	-1.935720022	12.34897256	hpo;CycE
regulation of nuclear division (GO:0051783)	Feb-30	0.001115725	0.007455073	0.006017987	0.043507088	-1.80001978	12.23698579	CycA;CycE
sensory organ precursor cell division (GO:0045035)	01-Nov	0.018005466	0.040929951	0.043164027	0.103452912	-3.030000372	12.17175359	CycE
STAT cascade (GO:0097696)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-2.803088044	12.14616463	Stat92E
meiosis II cytokinesis (GO:0007111)	Jan-13	0.021245236	0.043986615	0.050180881	0.109553309	-3.118653244	12.01187533	pbl
positive regulation of chromatin assembly or disassembly (GO:0045799)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-2.843865921	11.99017399	Stat92E
histone lysine methylation (GO:0034968)	Feb-39	0.001883028	0.010784613	0.009748373	0.059708782	-1.904001636	11.94737093	E(z);esc
regulation of glial cell proliferation (GO:0060251)	01-Dec	0.019626649	0.042637202	0.046678687	0.10665959	-3.035450186	11.931951	hpo
positive regulation of heterochromatin assembly (GO:0031453)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-2.899581836	11.92189575	Stat92E
peptidyl-threonine modification (GO:0018210)	01-Aug	0.013126305	0.038050625	0.032544818	0.101789112	-2.749497533	11.91394961	hpo
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	Feb-29	0.001042418	0.007284112	0.005654666	0.041561799	-1.734390032	11.90869002	cnk;Pde8
neuron fate commitment (GO:0048663)	01-Oct	0.016381684	0.03969408	0.039636857	0.103409985	-2.892531693	11.89290845	CycE
histone methylation (GO:0016571)	Feb-31	0.001191442	0.007614871	0.006391742	0.044043097	-1.757637638	11.83345472	E(z);esc
eye-antennal disc morphogenesis (GO:0007455)	Feb-43	0.002285265	0.012441996	0.011663387	0.065942995	-1.944252191	11.82352929	Dl;Stat92E
negative regulation of protein serine/threonine kinase activity (GO:0071901)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-2.801202795	11.81029973	alph
head involution (GO:0008258)	Feb-39	0.001883028	0.010784613	0.009748373	0.059708782	-1.865617103	11.70651281	Btk29A;thr
R8 cell fate specification (GO:0045464)	01-Sep	0.014755298	0.039199316	0.036097135	0.103409985	-2.759550501	11.63468728	hpo
oocyte fate determination (GO:0030716)	01-Dec	0.019626649	0.042637202	0.046678687	0.10665959	-2.936433515	11.54272964	spn-A
