Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of cell cycle G1/S phase transition (GO:1902808)	3/13	0.00000115738615405677501815000056406557149557556840591132640838623046875	0.00004640066308536706690852924328538620102335698902606964111328125	0.00002406006084371047830210155193952914487454108893871307373046875	0.0011357414075137072483057121274896417162381112575531005859375	-2.9640468496673984	40.51658316609153	Su(H);CycA;CycE
peripheral nervous system development (GO:0007422)	8/79	0.000000000000527874729963451476546619113504433154862062471668338048402802087366580963134765625	0.0000000002327927559138820901508716794118983121897326071803036029450595378875732421875	0.0000000005506305435015476772439009417220608100240752946774591691792011260986328125	0.00000024282806968418254613728047598686377028798233368434011936187744140625	-1.4049546375356532	39.717951544341155	bon;glu;CycA;Dl;CycE;dmt;pbl;thr
positive regulation of histone methylation (GO:0031062)	2/10	0.000117827572100570092069639349663390248679206706583499908447265625	0.00162381122801098158429933260293864805134944617748260498046875	0.0008379914872926317627455095049526789807714521884918212890625	0.0142136248421557941090664911598651087842881679534912109375	-3.7634217258981124	34.04499775969462	E(z);esc
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	2/10	0.000117827572100570092069639349663390248679206706583499908447265625	0.00162381122801098158429933260293864805134944617748260498046875	0.0008379914872926317627455095049526789807714521884918212890625	0.0142136248421557941090664911598651087842881679534912109375	-3.4212733872776817	30.949825262374777	Su(H);CycE
imaginal disc-derived wing vein morphogenesis (GO:0008586)	5/49	0.00000001612944682418189912940053427035935751376882762997411191463470458984375	0.000001778271512366054374053325227988953116664561093784868717193603515625	0.000001289380575977222378029917772279677734559300006367266178131103515625	0.000142154208501488773901122453224843411589972674846649169921875	-1.7111381894258917	30.70230100030314	Su(H);cnk;tok;Dl;osa
imaginal disc-derived wing morphogenesis (GO:0007476)	10/240	0.0000000000037300217608823890415419937898087944690150852267152004060335457324981689453125	0.000000000700738837517672344966228144464738536445480576730915345251560211181640625	0.0000000098477050983070394186673769502948783127749265986494719982147216796875	0.0000018183965129031466338347354516624676534775062464177608489990234375	-1.1492247384324976	30.241397402005628	Su(H);cnk;tok;Btk29A;cos;Dl;CycE;Stat92E;osa;alph
positive regulation of histone modification (GO:0031058)	2/10	0.000117827572100570092069639349663390248679206706583499908447265625	0.00162381122801098158429933260293864805134944617748260498046875	0.0008379914872926317627455095049526789807714521884918212890625	0.0142136248421557941090664911598651087842881679534912109375	-3.2598842671497734	29.48985276038724	E(z);esc
nervous system development (GO:0007399)	10/246	0.00000000000476693086746715844661124303406718829591304231740878094569779932498931884765625	0.000000000700738837517672344966228144464738536445480576730915345251560211181640625	0.0000000123700443054635826893974923676271238104362737431074492633342742919921875	0.0000018183965129031466338347354516624676534775062464177608489990234375	-1.0948943630631092	28.5431498111803	bon;glu;E(z);CycA;Dl;CycE;dmt;Stat92E;pbl;thr
regulation of exit from mitosis (GO:0007096)	2/11	0.00014386275980885829934262376550435647004633210599422454833984375	0.00192252960835474274482737033764578882255591452121734619140625	0.0009881028216688074634899141557298207771964371204376220703125	0.01556261944128371765838636520129512064158916473388671875	-3.0034867101281737	26.57079801599523	CycA;CycE
R8 cell fate commitment (GO:0007460)	2/14	0.00023729095651788177320264117131642933600232936441898345947265625	0.0025523246786435574949558624524570404901169240474700927734375	0.00150982122843875180527584145551145411445759236812591552734375	0.0195832694629849875245231061171580222435295581817626953125	-3.1319588252679917	26.140028364647392	hpo;Dl
