Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of hh target transcription factor activity (GO:0007228)	1/6	0.0017988752437358367618214227690032203099690377712249755859375	0.01207816235079776055749700702790505602024495601654052734375	0.00443317871747601899290458504765410907566547393798828125	0.03277492990275281126155704214397701434791088104248046875	-5.287560136005386	33.42051914642692	cos
signal transduction downstream of smoothened (GO:0007227)	1/6	0.0017988752437358367618214227690032203099690377712249755859375	0.01207816235079776055749700702790505602024495601654052734375	0.00443317871747601899290458504765410907566547393798828125	0.03277492990275281126155704214397701434791088104248046875	-5.001245435673521	31.61084026274173	cos
stem cell fate commitment (GO:0048865)	1/9	0.0026973011249024170070398565002278701285831630229949951171875	0.015649050183593783691637923993766889907419681549072265625	0.006328292736233251565558521889442999963648617267608642578125	0.0363433018704842070167870815566857345402240753173828125	-4.249565058537726	25.1383173565651	osa
negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433)	1/7	0.0020984254462683969190417432315598489367403090000152587890625	0.01315013279661528776409706864569670869968831539154052734375	0.005065204378504116304593463127048380556516349315643310546875	0.034009229398527636434312881874575396068394184112548828125	-3.703883564600121	22.840249876208926	cos
regulation of compound eye cone cell fate specification (GO:0042682)	1/6	0.0017988752437358367618214227690032203099690377712249755859375	0.01207816235079776055749700702790505602024495601654052734375	0.00443317871747601899290458504765410907566547393798828125	0.03277492990275281126155704214397701434791088104248046875	-3.5787004508930025	22.619511430985344	Su(H)
regulation of microtubule-based process (GO:0032886)	1/10	0.002996626630900937025836494598252102150581777095794677734375	0.015649050183593783691637923993766889907419681549072265625	0.006959355677326761920042930142926707048900425434112548828125	0.0363433018704842070167870815566857345402240753173828125	-3.596391310656994	20.89599763318277	tum
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	1/10	0.002996626630900937025836494598252102150581777095794677734375	0.015649050183593783691637923993766889907419681549072265625	0.006959355677326761920042930142926707048900425434112548828125	0.0363433018704842070167870815566857345402240753173828125	-3.4544865332010346	20.071492834422326	Su(H)
regulation of microtubule cytoskeleton organization (GO:0070507)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.0166386579853828354969014213793343515135347843170166015625	0.00885062101750952977263775522942523821257054805755615234375	0.037816289802086171245587564726520213298499584197998046875	-3.188077058264015	17.688340436970662	tum
regulation of ERBB signaling pathway (GO:1901184)	1/12	0.0035950530518263040628823556943416406284086406230926513671875	0.0166386579853828354969014213793343515135347843170166015625	0.008220519695873070020741835151056875474750995635986328125	0.037816289802086171245587564726520213298499584197998046875	-3.1139167468057933	17.525735431583605	osa
regulation of cytokinesis (GO:0032465)	1/11	0.003295877268486783161216546744753941311500966548919677734375	0.0163059191177767175140456146209544385783374309539794921875	0.007590097956489023911519353760013473220169544219970703125	0.037551010942629907407575018396528321318328380584716796875	-3.0343110420137878	17.34133916202893	tum
positive regulation of cell cycle G1/S phase transition (GO:1902808)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.0166386579853828354969014213793343515135347843170166015625	0.00885062101750952977263775522942523821257054805755615234375	0.037816289802086171245587564726520213298499584197998046875	-2.9500686285156874	16.36780330586704	Su(H)
imaginal disc-derived wing vein morphogenesis (GO:0008586)	2/49	0.000087653036181150383791653435405777372579905204474925994873046875	0.0022340174787848043717886081793722041766159236431121826171875	0.0004053245120387935647963961738327043349272571504116058349609375	0.01020506523890494544881679672698737704195082187652587890625	-1.7143403493327463	16.015580648600448	Su(H);osa
negative regulation of cell fate specification (GO:0009996)	1/17	0.005089809686274901316671570583594075287692248821258544921875	0.016997960438511088010482552590474369935691356658935546875	0.01136782457039799305864580247771300491876900196075439453125	0.03807634663786370332605457633690093643963336944580078125	-3.0284663437708508	15.991861467235545	Su(H)
imaginal disc-derived wing margin morphogenesis (GO:0008587)	2/54	0.0001065882673747284401129242770167593334917910397052764892578125	0.0022340174787848043717886081793722041766159236431121826171875	0.000488945534338698574623738313249532438931055366992950439453125	0.01020506523890494544881679672698737704195082187652587890625	-1.6786961026473737	15.354256206730954	pot;osa
protein transport along microtubule (GO:0098840)	1/14	0.00419318011697479564592327960781403817236423492431640625	0.016997960438511088010482552590474369935691356658935546875	0.00948040204366046128370282275454883347265422344207763671875	0.03807634663786370332605457633690093643963336944580078125	-2.723759644304259	14.910666131179195	cos
wing disc dorsal/ventral pattern formation (GO:0048190)	2/52	0.00009879369889123743204983885135561649804003536701202392578125	0.0022340174787848043717886081793722041766159236431121826171875	0.0004545698071314588817500024209294906540890224277973175048828125	0.01020506523890494544881679672698737704195082187652587890625	-1.5878546655882106	14.643952706627154	Su(H);osa
protein complex localization (GO:0031503)	1/15	0.00449213142930970747712660084971503238193690776824951171875	0.016997960438511088010482552590474369935691356658935546875	0.0101098628963175209138913857032093801535665988922119140625	0.03807634663786370332605457633690093643963336944580078125	-2.6978244166423733	14.582895597652085	cos
