Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
microtubule cytoskeleton (GO:0015630)	2/112	0.0004594265003327587600263914868747860964504070580005645751953125	0.006891397504991381671446415424497899948619306087493896484375	0.0028244141331535683840658901289089044439606368541717529296875	0.042366211997303525327307482939431793056428432464599609375	-2.082590987510432	16.00581881255021	cos;tum
BAF-type complex (GO:0090544)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.017957299137678552070074289304102421738207340240478515625	0.010820111609412839948074491758234216831624507904052734375	0.048591362244430801042849310533711104653775691986083984375	-2.649967124126519	14.702756483512893	osa
cell cortex part (GO:0044448)	1/19	0.00568718888701226499282626036801957525312900543212890625	0.017957299137678552070074289304102421738207340240478515625	0.01543032193335897549191226829634615569375455379486083984375	0.048591362244430801042849310533711104653775691986083984375	-2.816113697670169	14.558010144401253	tum
cytoplasmic microtubule (GO:0005881)	1/20	0.00598576637922618344511693777576510910876095294952392578125	0.017957299137678552070074289304102421738207340240478515625	0.0161971207481436015040987541624417644925415515899658203125	0.048591362244430801042849310533711104653775691986083984375	-2.823087085117743	14.449606779477186	tum
brahma complex (GO:0035060)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.017957299137678552070074289304102421738207340240478515625	0.010820111609412839948074491758234216831624507904052734375	0.048591362244430801042849310533711104653775691986083984375	-2.5220970954074766	13.99329791073321	osa
kinesin complex (GO:0005871)	1/34	0.01015801256532855578740281998761929571628570556640625	0.0243993950564216945109397016722141415812075138092041015625	0.026885345220773848584627785385237075388431549072265625	0.0672133630519346214615694634630926884710788726806640625	-2.290057061972807	10.510199640913788	cos
polymeric cytoskeletal fiber (GO:0099513)	1/90	0.026701366703559110959975697596746613271534442901611328125	0.03840978768896323447545881890619057230651378631591796875	0.06876973966574577434851534007975715212523937225341796875	0.10866375466792370374502496588320354931056499481201171875	-1.5556035311181184	5.6360146379424325	cos
perinuclear region of cytoplasm (GO:0048471)	1/70	0.02081968510544378314630620252501103095710277557373046875	0.03840978768896323447545881890619057230651378631591796875	0.053969508038919498937868723942301585339009761810302734375	0.10866375466792370374502496588320354931056499481201171875	-1.4540032780074927	5.62969181110202	tum
microtubule (GO:0005874)	1/85	0.02523371383399429512817135901059373281896114349365234375	0.03840978768896323447545881890619057230651378631591796875	0.065086079976544031211460605845786631107330322265625	0.10866375466792370374502496588320354931056499481201171875	-1.3643788604088882	5.02033342847297	cos
nucleus (GO:0005634)	3/1776	0.011386384359663458132327917837756103835999965667724609375	0.0243993950564216945109397016722141415812075138092041015625	0.12169872451871455165672841758350841701030731201171875	0.154642649417311928150553512750775553286075592041015625	-1.071958684378485	4.797376353887612	Su(H);osa;tum
spindle (GO:0005819)	1/95	0.028167177638573036302371832562130293808877468109130859375	0.03840978768896323447545881890619057230651378631591796875	0.0724425031119491358300166439221356995403766632080078125	0.10866375466792370374502496588320354931056499481201171875	-1.2490161877764274	4.458485551506728	tum
nucleoplasm (GO:0005654)	1/170	0.049934564199903004599878642011390184052288532257080078125	0.061484018711425288128413768617974710650742053985595703125	0.1262409808020090451474715109725366346538066864013671875	0.154642649417311928150553512750775553286075592041015625	-1.1022047002461086	3.3033536102368326	osa
chromosome (GO:0005694)	1/196	0.057385084130663600865407403261997387744486331939697265625	0.061484018711425288128413768617974710650742053985595703125	0.1443331394561578051582984016931732185184955596923828125	0.154642649417311928150553512750775553286075592041015625	-1.1068620330477308	3.1633794450982355	Su(H)
polytene chromosome (GO:0005700)	1/196	0.057385084130663600865407403261997387744486331939697265625	0.061484018711425288128413768617974710650742053985595703125	0.1443331394561578051582984016931732185184955596923828125	0.154642649417311928150553512750775553286075592041015625	-1.0569088245743077	3.020614630529228	Su(H)
nuclear lumen (GO:0031981)	1/358	0.102719295726435178028879136036266572773456573486328125	0.102719295726435178028879136036266572773456573486328125	0.25081443820204862849010396530502475798130035400390625	0.25081443820204862849010396530502475798130035400390625	-1.1465829962731091	2.6093423252806516	osa
