Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
frizzled binding (GO:0005109)	1/14	0.00419318011697479564592327960781403817236423492431640625	0.04264873246920262983561400460530421696603298187255859375	0.01005691009345428300891800432736999937333166599273681640625	0.10296225409769931002923470941823325119912624359130859375	-2.971859731200622	16.268839408532802	cos
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	1/28	0.00837169768368591256380017995297748711891472339630126953125	0.04264873246920262983561400460530421696603298187255859375	0.019374740075827838470257091785242664627730846405029296875	0.10296225409769931002923470941823325119912624359130859375	-2.07282110045808	9.914093109283865	Su(H)
RNA polymerase II transcription factor binding (GO:0001085)	1/29	0.0086696032423082998452645853149078902788460254669189453125	0.04264873246920262983561400460530421696603298187255859375	0.0200377727058520353764503596494250814430415630340576171875	0.10296225409769931002923470941823325119912624359130859375	-1.9921878987761066	9.458773175387396	Su(H)
enhancer sequence-specific DNA binding (GO:0001158)	1/39	0.01164455914171470297946431315949666895903646945953369140625	0.04264873246920262983561400460530421696603298187255859375	0.0266496223493453941733033474292824394069612026214599609375	0.10296225409769931002923470941823325119912624359130859375	-1.860390592430369	8.284163471588	Su(H)
microtubule motor activity (GO:0003777)	1/33	0.009860479780294202634127742612690781243145465850830078125	0.04264873246920262983561400460530421696603298187255859375	0.02268654156054265846886863755571539513766765594482421875	0.10296225409769931002923470941823325119912624359130859375	-1.7333378744339074	8.006669760318088	cos
motor activity (GO:0003774)	1/40	0.0119416450913767367703055555239188834093511104583740234375	0.04264873246920262983561400460530421696603298187255859375	0.027308962147937425324339955068353447131812572479248046875	0.10296225409769931002923470941823325119912624359130859375	-1.6926561217941762	7.494613119740431	cos
tubulin binding (GO:0015631)	1/120	0.035468668009476421454362338181454106234014034271240234375	0.051233970534399986274110005979309789836406707763671875	0.078980300423407145959941999535658396780490875244140625	0.11367935157101878573815412210024078376591205596923828125	-1.8716377358485556	6.24959597662121	cos
transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)	1/60	0.0178677556416902312552696940883834031410515308380126953125	0.04596845696495999167296986342989839613437652587890625	0.04042555259345294305095563913710066117346286773681640625	0.10296225409769931002923470941823325119912624359130859375	-1.3249476053545202	5.332592879775512	Su(H)
DNA binding (GO:0003677)	2/448	0.007074387401735532550361984505116197397001087665557861328125	0.04264873246920262983561400460530421696603298187255859375	0.0309558292460713722904497302579329698346555233001708984375	0.10296225409769931002923470941823325119912624359130859375	-1.0557057834321235	5.2270890463903	Su(H);osa
GTPase regulator activity (GO:0030695)	1/83	0.024646136531432015492892872998709208332002162933349609375	0.04596845696495999167296986342989839613437652587890625	0.0553451354818614571495771770059945993125438690185546875	0.10296225409769931002923470941823325119912624359130859375	-1.393446496592198	5.160120664641718	tum
kinase binding (GO:0019900)	1/64	0.01904941606591865899122950622768257744610309600830078125	0.04596845696495999167296986342989839613437652587890625	0.043032869032176346291151958212140016257762908935546875	0.10296225409769931002923470941823325119912624359130859375	-1.2463694773284382	4.936519058723514	cos
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)	1/73	0.0217038207776643864155285967854069895111024379730224609375	0.04596845696495999167296986342989839613437652587890625	0.048879901817181374557019779558686423115432262420654296875	0.10296225409769931002923470941823325119912624359130859375	-1.2757922432692572	4.886624878789369	Su(H)
