Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TfIIB	4/2744	0.004208321769029295215946984143329245853237807750701904296875	0.10182796209867787939895578119831043295562267303466796875	0.0104905097302181622709316144437252660281956195831298828125	0.2364530101244508575319969168049283325672149658203125	-1.701771851992957	9.30986853411268	Su(H);cos;osa;tum
bcd	2/408	0.00589786641342725757863885149845373234711587429046630859375	0.10182796209867787939895578119831043295562267303466796875	0.01050902267219781631435449043010521563701331615447998046875	0.2364530101244508575319969168049283325672149658203125	-1.6330486211524957	8.38270740208863	Su(H);tum
run	2/672	0.0154551187808425229130993017179207527078688144683837890625	0.10182796209867787939895578119831043295562267303466796875	0.02719775821272811533457769428423489443957805633544921875	0.238384356394684415736406890573562122881412506103515625	-1.622740719937717	6.766528624047726	Su(H);osa
phol	4/3842	0.01463680944406902696697247989732204587198793888092041015625	0.10182796209867787939895578119831043295562267303466796875	0.036742654868136555290636380277646821923553943634033203125	0.238384356394684415736406890573562122881412506103515625	-1.5429960599673402	6.517948225293587	Su(H);cos;osa;tum
trx	5/6855	0.02025963197573869833956194952406804077327251434326171875	0.10182796209867787939895578119831043295562267303466796875	0.055853885984386265894929834985305205918848514556884765625	0.238384356394684415736406890573562122881412506103515625	-1.5343092899947737	5.982463626568038	Su(H);pot;cos;osa;tum
sens	5/6675	0.01792130089513703505854635977811994962394237518310546875	0.10182796209867787939895578119831043295562267303466796875	0.0488987842205773348691622004480450414121150970458984375	0.238384356394684415736406890573562122881412506103515625	-1.4775298468587925	5.942278237485462	Su(H);pot;cos;osa;tum
lin-52	3/2244	0.0217189682894249024014410309746381244622170925140380859375	0.10182796209867787939895578119831043295562267303466796875	0.046311234370999494747156433049894985742866992950439453125	0.238384356394684415736406890573562122881412506103515625	-1.486198984562439	5.691501983468375	Su(H);osa;tum
BEAF-32	5/6874	0.020519277714257717903922895175128360278904438018798828125	0.10182796209867787939895578119831043295562267303466796875	0.05663189736321143363806385195857728831470012664794921875	0.238384356394684415736406890573562122881412506103515625	-1.4175185167222526	5.509030438007893	Su(H);pot;cos;osa;tum
E2f2	3/2340	0.0243433922354686464728512618194145034067332744598388671875	0.10182796209867787939895578119831043295562267303466796875	0.0518003410314101520039997694766498170793056488037109375	0.238384356394684415736406890573562122881412506103515625	-1.3411803999030212	4.98314884512879	Su(H);osa;tum
Ubx	3/2363	0.0249985696035628750244494966636921162717044353485107421875	0.10182796209867787939895578119831043295562267303466796875	0.053167961354882643798536179247093969024717807769775390625	0.238384356394684415736406890573562122881412506103515625	-1.33291148710733	4.917026064798198	Su(H);cos;osa
