gene1	gene2
cbt	CG2678
rdx	CG2678
blow	CG2678
sty	crc
chrw	W
Khc	bowl
sdt	bowl
Patj	bowl
Fas3	bowl
Nrx-IV	bowl
prd	bowl
CG10641	fd59A
glec	fd59A
Moe	fd59A
tral	e
jagn	e
cg	e
Tl	e
sina	ben
sle	ben
Ddx1	ben
Dl	ben
da	rdo
hpo	rdo
spn-A	rdo
Borr	rdo
glu	rdo
CycE	rdo
esc	rdo
alien	rdo
CycA	rdo
E(z)	rdo
Caf1	rdo
dmt	rdo
thr	rdo
asf1	rdo
CG8149	lin
sec13	lin
Traf6	lin
Lcp65Ag1	tra
Axn	tra
puc	tra2
by	tra2
sgg	tra2
Rab7	tra2
RhoGAPp190	cathD
scrib	cathD
tow	cathD
cin	cathD
14-3-3zeta	cathD
uzip	cathD
msk	d
Ark	d
18w	d
ttk	lva
Pvr	lva
RhoL	lva
raw	lva
Set2	lva
ap	lva
emp	lva
cactin	pbl
Cyt-c-d	pbl
Pde8	pbl
cos	pbl
cnk	pbl
pot	pbl
Su(H)	pbl
CG9445	pbl
tum	pbl
alph	pbl
mbo	pbl
wee	pbl
osa	pbl
Hr46	pbl
eff	pbl
wls	CG33205
par-6	CG33205
rdo	CG33205
hpo	da
tok	da
spn-A	da
Borr	da
CG16719	da
ine	da
bon	da
cin	da
Mer	da
jumu	da
glu	da
CycE	da
esc	da
alien	da
Dl	da
Stat92E	da
CycA	da
Eip63F-1	da
E(z)	da
Caf1	da
dmt	da
thr	da
asf1	da
emp	da
pbl	cactin
Cyt-c-d	cactin
sec23	cactin
Pde8	cactin
cos	cactin
ine	hpo
bon	hpo
cin	hpo
Mer	hpo
jumu	hpo
glu	hpo
CycE	hpo
esc	hpo
alien	hpo
Dl	hpo
Stat92E	hpo
CycA	hpo
Eip63F-1	hpo
E(z)	hpo
Caf1	hpo
dmt	hpo
thr	hpo
asf1	hpo
vap	Sema-2a
Tl	Sema-2a
snf	Sema-2a
sns	Eip74EF
chic	Eip74EF
Moe	eg
mbo	Cyt-c-d
osa	Cyt-c-d
ksr	Cyt-c-d
da	Cyt-c-d
hpo	tok
spn-A	tok
Borr	tok
glu	tok
CycE	tok
esc	tok
alien	tok
CycA	tok
E(z)	tok
Caf1	tok
dmt	tok
thr	tok
asf1	tok
lva	tok
tral	tamo
Tl	Mmp1
Traf6	Mmp1
cnk	Hmgs
Cp1	caps
twf	caps
ast	caps
fs(1)M3	caps
Atx2	caps
neur	caps
MYPT-75D	Su(var)2-10
CycB	Su(var)2-10
sina	Su(var)2-10
l(2)efl	Su(var)2-10
Pcaf	Su(var)2-10
Iswi	Su(var)2-10
Ddx1	Su(var)2-10
fs(2)ltoPP43	Su(var)2-10
Rpd3	Su(var)2-10
dpld	Su(var)2-10
dom	Su(var)2-10
