SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
562,1,1,1,0,8,1,FALSE,neur,1,8,0,0,1,FALSE,0,neur,56,0
579,1,1,1,0,3,1,FALSE,rdo,1,3,0,0,1,FALSE,0,rdo,6,0
586,1,1,1,0,3,1,FALSE,tra2,1,3,0,0,1,FALSE,0,tra2,6,0
557,1,1,1,0,2,1,FALSE,CG2678,1,2,0,0,1,FALSE,0,CG2678,2,0
556,1.5,0,0.66666667,0,1,2,FALSE,cbt,2,1,0,0,0.75,FALSE,0,cbt,0,0
559,1.5,0,0.66666667,0,1,2,FALSE,blow,2,1,0,0,0.75,FALSE,0,blow,0,0
561,1.875,0,0.53333333,0,1,2,FALSE,sina,8,1,0,0,0.5625,FALSE,0,sina,0,0
564,1.875,0,0.53333333,0,1,2,FALSE,l(2)efl,8,1,0,0,0.5625,FALSE,0,l(2)efl,0,0
566,1.875,0,0.53333333,0,1,2,FALSE,Pcaf,8,1,0,0,0.5625,FALSE,0,Pcaf,0,0
568,1.875,0,0.53333333,0,1,2,FALSE,Rpd3,8,1,0,0,0.5625,FALSE,0,Rpd3,0,0
570,1.875,0,0.53333333,0,1,2,FALSE,dpld,8,1,0,0,0.5625,FALSE,0,dpld,0,0
572,1.875,0,0.53333333,0,1,2,FALSE,dom,8,1,0,0,0.5625,FALSE,0,dom,0,0
574,1.875,0,0.53333333,0,1,2,FALSE,l(3)mbt,8,1,0,0,0.5625,FALSE,0,l(3)mbt,0,0
576,1.875,0,0.53333333,0,1,2,FALSE,tld,8,1,0,0,0.5625,FALSE,0,tld,0,0
578,1.66666667,0,0.6,0,1,2,FALSE,glu,3,1,0,0,0.66666667,FALSE,0,glu,0,0
581,1.66666667,0,0.6,0,1,2,FALSE,CycE,3,1,0,0,0.66666667,FALSE,0,CycE,0,0
583,1.66666667,0,0.6,0,1,2,FALSE,esc,3,1,0,0,0.66666667,FALSE,0,esc,0,0
585,1.66666667,0,0.6,0,1,2,FALSE,puc,3,1,0,0,0.66666667,FALSE,0,puc,0,0
588,1.66666667,0,0.6,0,1,2,FALSE,by,3,1,0,0,0.66666667,FALSE,0,by,0,0
590,1.66666667,0,0.6,0,1,2,FALSE,sgg,3,1,0,0,0.66666667,FALSE,0,sgg,0,0
592,1,0,1,0,1,1,FALSE,14-3-3zeta,1,1,0,0,1,FALSE,0,14-3-3zeta,0,0
593,1,0,1,0,1,1,FALSE,cathD,1,1,0,0,1,FALSE,0,cathD,0,0
