gene1	gene2
E(bx)	Su(z)12
Idgf5	Su(z)12
trio	Su(z)12
pbl	emp
cactin	emp
Cyt-c-d	emp
sec23	emp
cos	emp
CG9520	emp
rad50	emp
pot	emp
cin	emp
Su(H)	emp
esg	emp
tum	emp
alph	emp
mbo	emp
osa	emp
ksr	emp
Es2	CG2678
lola	CG2678
xmas-2	CG2678
dei	CG2678
pn	CG2678
mbt	CG2678
dah	CG2678
cbt	CG2678
sced	CG2678
blow	CG2678
cort	CG2678
l(2)37Cc	CG2678
abd-A	crc
sty	crc
enok	crc
pnt	pros
trn	pros
CG12896	pros
tkv	pros
MYPT-75D	neur
Su(var)2-10	neur
CycB	neur
sina	neur
l(2)efl	neur
Pcaf	neur
xl6	neur
CtBP	neur
kuk	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
wrapper	Rab5
xmas-2	Rab5
CG10641	Rab5
mmy	Rab5
capu	Rab5
twi	Rab5
eve	Rab5
Hr78	Rab5
sced	Rab5
cathD	Rab7
RhoGAPp190	Rab7
tow	Rab7
Orct	Rab7
rad50	Mmp2
Uba1	Mmp2
ics	Mmp2
Snap	Mmp2
rg	Mmp2
mth	Mmp2
Sh	Mmp2
tou	Mmp2
bap	W
sprt	W
zfh2	W
LIMK1	W
Pink1	W
chrw	W
Khc	bowl
Fas3	bowl
crol	bowl
prd	bowl
spen	fd59A
MED4	fd59A
inv	fd59A
Ank2	fd59A
Moe	fd59A
Mitf	fd59A
tral	e
tud	e
jagn	e
cg	e
Tl	e
snf	e
sle	ben
qkr58E-3	ben
Dl	ben
shn	ben
da	rdo
tok	rdo
spn-A	rdo
Borr	rdo
CG16719	rdo
glu	rdo
CycE	rdo
esc	rdo
CycA	rdo
lic	rdo
E(z)	rdo
Caf1	rdo
dmt	rdo
thr	rdo
asf1	rdo
CG8149	lin
yellow-f	lin
Traf6	lin
Lcp65Ag1	tra
Axn	tra
dpn	tra
vlc	tra
kis	tra
stg	tra
yrt	tra2
puc	tra2
by	tra2
sgg	tra2
baz	tra2
Rab7	tra2
RhoGAPp190	cathD
MED24	cathD
tow	cathD
tub	cathD
Orct	cathD
14-3-3zeta	cathD
uzip	cathD
Dap160	d
Ark	d
18w	d
Mitf	d
Arc42	lva
ttk	lva
sav	lva
wal	lva
Set2	lva
ap	lva
emp	lva
cactin	pbl
sec23	pbl
Pde8	pbl
cos	pbl
cnk	pbl
pot	pbl
Su(H)	pbl
tum	pbl
alph	pbl
mbo	pbl
wee	pbl
osa	pbl
wls	CG33205
l(2)gd1	CG33205
Appl	CG33205
par-6	CG33205
Myo61F	CG33205
Prm	CG33205
rdo	CG33205
hpo	da
tok	da
spn-A	da
Borr	da
CG16719	da
bon	da
cin	da
Mer	da
glu	da
CycE	da
esc	da
alien	da
Dl	da
Stat92E	da
CycA	da
Eip63F-1	da
E(z)	da
Caf1	da
dmt	da
thr	da
asf1	da
emp	da
pbl	cactin
sec23	cactin
Pde8	cactin
cos	cactin
cnk	cactin
pot	cactin
Su(H)	cactin
tum	cactin
alph	cactin
mbo	cactin
wee	cactin
osa	cactin
da	cactin
tok	hpo
spn-A	hpo
Borr	hpo
CG16719	hpo
bon	hpo
cin	hpo
Mer	hpo
glu	hpo
CycE	hpo
esc	hpo
alien	hpo
Dl	hpo
Stat92E	hpo
CycA	hpo
Eip63F-1	hpo
E(z)	hpo
Caf1	hpo
dmt	hpo
thr	hpo
asf1	hpo
Ephrin	Sema-2a
vap	Sema-2a
Tl	Sema-2a
snf	Sema-2a
sns	Eip74EF
wal	Eip74EF
frc	Eip74EF
p53	Eip74EF
rdx	Eip74EF
CdsA	eg
qua	eg
CG9520	eg
foxo	eg
dsf	eg
lilli	eg
Fmr1	eg
eIF-4E	eg
ecd	eg
Moe	eg
lva	eg
sav	Arc42
scrib	Arc42
Sobp	Arc42
peb	Arc42
hyd	Arc42
rdx	Arc42
crol	Arc42
Cip4	Arc42
ap	Arc42
Dlic2	toy
dco	toy
RpL30	toy
exu	toy
tutl	toy
Ef1gamma	Galpha73B
sw	Galpha73B
Rho1	Galpha73B
eff	Galpha73B
Rab7	Galpha73B
cathD	RhoGAPp190
tow	RhoGAPp190
Khc	RhoGAPp190
rhea	RhoGAPp190
capu	RhoGAPp190
Nf1	RhoGAPp190
bs	RhoGAPp190
Atpalpha	RhoGAPp190
bib	MED11
MED4	MED11
Abd-B	MED11
dsf	MED11
car	MED11
fs(2)ltoPP43	MED11
Lcp65Ag1	cher
sgg	cher
Abl	BicD
rux	BicD
bigmax	BicD
spin	BicD
CG1942	BicD
neur	BicD
Su(var)2-10	MYPT-75D
l(2)efl	MYPT-75D
Pcaf	MYPT-75D
mfas	MYPT-75D
xl6	MYPT-75D
CtBP	MYPT-75D
kuk	MYPT-75D
sls	MYPT-75D
Rpd3	MYPT-75D
dpld	MYPT-75D
dom	MYPT-75D
Apc	MYPT-75D
PhKgamma	mus304
B4	mus304
Dad	mus304
lic	mus304
slam	mus304
eg	mus304
Optix	CdsA
Rheb	CdsA
ecd	CdsA
emc	btl
stumps	btl
siz	btl
CG34379	btl
morgue	btl
emp	btl
Pde8	Cyt-c-d
rad50	Cyt-c-d
sas	Cyt-c-d
cin	Cyt-c-d
toe	Cyt-c-d
Snap	Cyt-c-d
ksr	Cyt-c-d
Moe	Cyt-c-d
rdo	Cyt-c-d
da	tok
hpo	tok
spn-A	tok
Borr	tok
CG16719	tok
glu	tok
CycE	tok
esc	tok
alien	tok
Dl	tok
CycA	tok
Eip63F-1	tok
lic	tok
E(z)	tok
Caf1	tok
dmt	tok
thr	tok
asf1	tok
lva	tok
ry	ttk
Pk92B	ttk
hyd	ttk
trc	ttk
pelo	ttk
crol	ttk
prd	ttk
tral	tamo
Chi	tamo
fw	tamo
Lac	CG6416
ix	CG6416
hkb	CG6416
CG9509	CG6416
E(bx)	CG6416
nmo	CG6416
bl	CG6416
Bap60	CG6416
Idgf5	CG6416
E2f2	CG6416
PebIII	CG6416
her	CG6416
Dp	flfl
CG12301	flfl
fs(1)K10	flfl
amx	flfl
drm	flfl
CG1244	flfl
Taf4	flfl
dl	flfl
numb	flfl
Rca1	flfl
hyx	flfl
Arc-p34	flfl
Dif	flfl
RhoL	Pvr
raw	Pvr
Set2	Pvr
Wnt5	Pvr
pav	Pvr
bun	kay
trio	kay
tll	Jra
Lac	Jra
yrt	Jra
hkl	Jra
dpn	Jra
Sulf1	Jra
Ark	Jra
bl	Jra
brat	Jra
bt	Jra
tutl	msk
Jra	msk
Dat	tll
sqd	tll
d4	tll
Abd-B	tll
bhr	tll
lwr	tll
Tm1	Tm1
Yp1	Tm1
CG17739	Tm1
boss	Tm1
inaC	Tm1
Spred	Tm1
chp	Tm1
hep	Tm1
ftz-f1	Tm1
Pka-C3	Tm1
gbb	Tm1
Jafrac2	Tm1
ninaE	Tm1
ics	srp
jar	srp
dec-1	srp
Arp66B	Btk29A
shg	Btk29A
Pop2	Btk29A
Alk	fred
fal	fred
Patj	fred
wus	fred
ecd	fred
dock	Src64B
CG8149	Src64B
form3	Src64B
Traf6	Src64B
