SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
108,2.51219512,0.63980836,0.39805825,0,12,6,FALSE,rdo,2.83333333,12,0,0,0.86252772,FALSE,0,rdo,3606,0.14102564
80,2.56097561,0.57469512,0.39047619,0.21818182,11,6,FALSE,sec23,4.45454545,11,0,0,0.85809313,FALSE,0,sec23,3178,0.1991342
83,3.58536585,0.16054007,0.27891156,0,9,8,FALSE,Borr,2.33333333,9,0,0,0.76496674,FALSE,0,Borr,1512,0.44444444
103,3.12195122,0.07103659,0.3203125,0.33333333,9,7,FALSE,cos,4.22222222,9,0,0,0.80709534,FALSE,0,cos,320,0.34259259
76,3.17073171,0.01371951,0.31538462,0.52380952,7,7,FALSE,pot,5.28571429,7,0,0,0.80266075,FALSE,0,pot,116,0.40659341
91,3.68292683,0.18571429,0.27152318,0,5,8,FALSE,bon,2.6,5,0,0,0.75609756,FALSE,0,bon,1120,0.4
89,3,0.10911731,0.33333333,0,4,7,FALSE,thr,7.25,4,0,0,0.81818182,FALSE,0,thr,834,0.390625
93,3.07317073,0.15609756,0.32539683,0.5,4,7,FALSE,mbo,7.75,4,0,0,0.81152993,FALSE,0,mbo,1136,0.53571429
94,3.65853659,0.30518293,0.27333333,0,4,8,FALSE,Pde8,3.25,4,0,0,0.75831486,FALSE,0,Pde8,2042,0.375
102,3.07317073,0.15609756,0.32539683,0.5,4,7,FALSE,alph,7.75,4,0,0,0.81152993,FALSE,0,alph,1136,0.53571429
111,1,1,1,0,4,1,FALSE,G-ialpha65A,1,4,0,0,1,FALSE,0,G-ialpha65A,12,0
175,1.57142857,0.80952381,0.63636364,0,4,3,FALSE,140up,1.5,4,0,0,0.88571429,FALSE,0,140up,34,0.25
193,1,1,1,0,4,1,FALSE,tra2,1,4,0,0,1,FALSE,0,tra2,12,0
75,3.46341463,0,0.28873239,1,3,7,FALSE,osa,9,3,0,0,0.77605322,FALSE,0,osa,0,0.75
98,3.46341463,0,0.28873239,1,3,7,FALSE,Su(H),9,3,0,0,0.77605322,FALSE,0,Su(H),0,0.75
106,1,1,1,0,3,1,FALSE,cathD,1,3,0,0,1,FALSE,0,cathD,6,0
118,3.24390244,0.0344367,0.30827068,0,3,7,FALSE,asf1,8,3,0,0,0.79600887,FALSE,0,asf1,360,0.5
121,4.53658537,0.09634146,0.22043011,0,3,9,FALSE,S6kII,2,3,0,0,0.67849224,FALSE,0,S6kII,598,0.33333333
130,3.04878049,0.08763066,0.328,0,3,7,FALSE,Caf1,8.66666667,3,0,0,0.81374723,FALSE,0,Caf1,712,0.47916667
139,3.24390244,0.0344367,0.30827068,0,3,7,FALSE,dmt,8,3,0,0,0.79600887,FALSE,0,dmt,360,0.5
162,3.87804878,0.00296167,0.25786164,0,3,8,FALSE,CG16719,3.33333333,3,0,0,0.7383592,FALSE,0,CG16719,26,0.77777778
171,5.36585366,0.09634146,0.18636364,0,3,10,FALSE,B4,1.33333333,3,0,0,0.60310421,FALSE,0,B4,598,0.33333333
197,3.46341463,0,0.28873239,1,3,7,FALSE,tum,9,3,0,0,0.77605322,FALSE,0,tum,0,0.75
199,3.04878049,0.08763066,0.328,0,3,7,FALSE,E(z),8.66666667,3,0,0,0.81374723,FALSE,0,E(z),712,0.47916667
72,1.33333333,0.16666667,0.75,0,2,2,FALSE,CG8149,2,2,0,0,0.83333333,FALSE,0,CG8149,2,1
73,1.33333333,0.16666667,0.75,0,2,2,FALSE,Arp66B,2,2,0,0,0.83333333,FALSE,0,Arp66B,2,1
78,1.33333333,0.16666667,0.75,0,2,2,FALSE,Traf6,2,2,0,0,0.83333333,FALSE,0,Traf6,2,1
82,3.29268293,0.02113821,0.3037037,0,2,7,FALSE,CycA,10.5,2,0,0,0.79157428,FALSE,0,CycA,272,0.67857143
85,3.48780488,0,0.28671329,1,2,7,FALSE,wee,10,2,0,0,0.77383592,FALSE,0,wee,0,0.83333333
87,1.33333333,0.16666667,0.75,0,2,2,FALSE,lin,2,2,0,0,0.83333333,FALSE,0,lin,2,1
96,4.48780488,0.13902439,0.22282609,0,2,9,FALSE,cactin,3.5,2,0,0,0.68292683,FALSE,0,cactin,888,0.5
127,0,0,0,0,2,0,TRUE,Yp1,0,1,0,0,9.22E+10,FALSE,1,Yp1,0,0
134,4.56097561,0.09512195,0.21925134,0,2,9,FALSE,Lcp65Ag1,3.5,2,0,0,0.67627494,FALSE,0,Lcp65Ag1,560,0.5
144,1,1,1,0,2,1,FALSE,CG2678,1,2,0,0,1,FALSE,0,CG2678,2,0
174,2.14285714,0.28571429,0.46666667,0,2,4,FALSE,Moe,2.5,2,0,0,0.77142857,FALSE,0,Moe,12,0.5
177,1.85714286,0.47619048,0.53846154,0,2,3,FALSE,Tm1,3,2,0,0,0.82857143,FALSE,0,Tm1,20,0.5
182,2.42857143,0.28571429,0.41176471,0,2,4,FALSE,dome,1.5,2,0,0,0.71428571,FALSE,0,dome,12,0.5
201,0,0,0,0,2,0,TRUE,CG17739,0,1,0,0,9.22E+10,FALSE,1,CG17739,0,0
223,5.48780488,0.04878049,0.18222222,0,2,10,FALSE,tra,1.5,2,0,0,0.59201774,FALSE,0,tra,282,0.5
237,1,1,1,0,2,1,FALSE,cas,1,2,0,0,1,FALSE,0,cas,2,0
255,1,1,1,0,2,1,FALSE,betaTub56D,1,2,0,0,1,FALSE,0,betaTub56D,2,0
100,3.53658537,0,0.28275862,0,1,7,FALSE,Btk29A,11,1,0,0,0.76940133,FALSE,0,Btk29A,0,0
105,1.66666667,0,0.6,0,1,2,FALSE,14-3-3zeta,3,1,0,0,0.66666667,FALSE,0,14-3-3zeta,0,0
110,1.75,0,0.57142857,0,1,2,FALSE,Eip63E,4,1,0,0,0.625,FALSE,0,Eip63E,0,0
113,1.75,0,0.57142857,0,1,2,FALSE,wrapper,4,1,0,0,0.625,FALSE,0,wrapper,0,0
115,1,0,1,0,1,1,FALSE,hpo,1,1,0,0,1,FALSE,0,hpo,0,0
116,1,0,1,0,1,1,FALSE,Tina-1,1,1,0,0,1,FALSE,0,Tina-1,0,0
120,5.51219512,0,0.18141593,0,1,10,FALSE,msi,3,1,0,0,0.58980044,FALSE,0,msi,0,0
125,1.66666667,0,0.6,0,1,2,FALSE,uzip,3,1,0,0,0.66666667,FALSE,0,uzip,0,0
136,1,0,1,0,1,1,FALSE,pbl,1,1,0,0,1,FALSE,0,pbl,0,0
137,1,0,1,0,1,1,FALSE,yrt,1,1,0,0,1,FALSE,0,yrt,0,0
141,4.56097561,0,0.21925134,0,1,9,FALSE,Stat92E,9,1,0,0,0.67627494,FALSE,0,Stat92E,0,0
143,1.5,0,0.66666667,0,1,2,FALSE,cbt,2,1,0,0,0.75,FALSE,0,cbt,0,0
146,4.56097561,0,0.21925134,0,1,9,FALSE,Dl,9,1,0,0,0.67627494,FALSE,0,Dl,0,0
148,3.48780488,0,0.28671329,0,1,7,FALSE,glu,12,1,0,0,0.77383592,FALSE,0,glu,0,0
150,1,0,1,0,1,1,FALSE,morgue,1,1,0,0,1,FALSE,0,morgue,0,0
151,1,0,1,0,1,1,FALSE,tup,1,1,0,0,1,FALSE,0,tup,0,0
154,4.09756098,0,0.24404762,0,1,8,FALSE,Rab7,9,1,0,0,0.71840355,FALSE,0,Rab7,0,0
158,3.48780488,0,0.28671329,0,1,7,FALSE,CycE,12,1,0,0,0.77383592,FALSE,0,CycE,0,0
160,4.56097561,0,0.21925134,0,1,9,FALSE,Eip63F-1,9,1,0,0,0.67627494,FALSE,0,Eip63F-1,0,0
164,5.51219512,0,0.18141593,0,1,10,FALSE,how,3,1,0,0,0.58980044,FALSE,0,how,0,0
166,3.53658537,0,0.28275862,0,1,7,FALSE,cnk,11,1,0,0,0.76940133,FALSE,0,cnk,0,0
170,6.34146341,0,0.15769231,0,1,11,FALSE,l(2)gd1,3,1,0,0,0.51441242,FALSE,0,l(2)gd1,0,0
180,3.48780488,0,0.28671329,0,1,7,FALSE,ena,12,1,0,0,0.77383592,FALSE,0,ena,0,0
186,3,0,0.33333333,0,1,5,FALSE,eg,2,1,0,0,0.6,FALSE,0,eg,0,0
188,1.5,0,0.66666667,0,1,2,FALSE,blow,2,1,0,0,0.75,FALSE,0,blow,0,0
190,6.34146341,0,0.15769231,0,1,11,FALSE,Sobp,3,1,0,0,0.51441242,FALSE,0,Sobp,0,0
192,1.75,0,0.57142857,0,1,2,FALSE,sgg,4,1,0,0,0.625,FALSE,0,sgg,0,0
195,1.75,0,0.57142857,0,1,2,FALSE,tok,4,1,0,0,0.625,FALSE,0,tok,0,0
203,1,0,1,0,1,1,FALSE,stil,1,1,0,0,1,FALSE,0,stil,0,0
204,1,0,1,0,1,1,FALSE,phyl,1,1,0,0,1,FALSE,0,phyl,0,0
208,1,0,1,0,1,1,FALSE,Akt1,1,1,0,0,1,FALSE,0,Akt1,0,0
209,1,0,1,0,1,1,FALSE,Abi,1,1,0,0,1,FALSE,0,Abi,0,0
211,1.75,0,0.57142857,0,1,2,FALSE,by,4,1,0,0,0.625,FALSE,0,by,0,0
213,1,0,1,0,1,1,FALSE,sdt,1,1,0,0,1,FALSE,0,sdt,0,0
214,1,0,1,0,1,1,FALSE,Rack1,1,1,0,0,1,FALSE,0,Rack1,0,0
216,1.75,0,0.57142857,0,1,2,FALSE,puc,4,1,0,0,0.625,FALSE,0,puc,0,0
218,1.66666667,0,0.6,0,1,2,FALSE,RhoGAPp190,3,1,0,0,0.66666667,FALSE,0,RhoGAPp190,0,0
220,2.42857143,0,0.41176471,0,1,4,FALSE,dsf,4,1,0,0,0.71428571,FALSE,0,dsf,0,0
225,3.28571429,0,0.30434783,0,1,5,FALSE,sqd,2,1,0,0,0.54285714,FALSE,0,sqd,0,0
227,1.75,0,0.57142857,0,1,2,FALSE,Krn,4,1,0,0,0.625,FALSE,0,Krn,0,0
231,4.65853659,0,0.21465969,0,1,9,FALSE,spn-A,5,1,0,0,0.66740576,FALSE,0,spn-A,0,0
233,2.42857143,0,0.41176471,0,1,4,FALSE,MED4,4,1,0,0,0.71428571,FALSE,0,MED4,0,0
236,1.5,0,0.66666667,0,1,2,FALSE,robo,2,1,0,0,0.75,FALSE,0,robo,0,0
240,3.48780488,0,0.28671329,0,1,7,FALSE,esc,12,1,0,0,0.77383592,FALSE,0,esc,0,0
242,3.48780488,0,0.28671329,0,1,7,FALSE,cbx,12,1,0,0,0.77383592,FALSE,0,cbx,0,0
244,1.75,0,0.57142857,0,1,2,FALSE,gro,4,1,0,0,0.625,FALSE,0,gro,0,0
246,1,0,1,0,1,1,FALSE,Nf1,1,1,0,0,1,FALSE,0,Nf1,0,0
247,1,0,1,0,1,1,FALSE,chic,1,1,0,0,1,FALSE,0,chic,0,0
252,1.5,0,0.66666667,0,1,2,FALSE,run,2,1,0,0,0.75,FALSE,0,run,0,0
254,1.5,0,0.66666667,0,1,2,FALSE,CG8247,2,1,0,0,0.75,FALSE,0,CG8247,0,0
257,1.5,0,0.66666667,0,1,2,FALSE,mus304,2,1,0,0,0.75,FALSE,0,mus304,0,0
260,6.46341463,0,0.15471698,0,1,11,FALSE,Axn,2,1,0,0,0.50332594,FALSE,0,Axn,0,0
