gene1	gene2
E(bx)	Su(z)12
Idgf5	Su(z)12
trio	Su(z)12
cactin	emp
Cyt-c-d	emp
cos	emp
cin	emp
Su(H)	emp
esg	emp
cbt	CG2678
blow	CG2678
cort	CG2678
sina	neur
l(2)efl	neur
Pcaf	neur
xl6	neur
CtBP	neur
kuk	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
CG10641	Rab5
mmy	Rab5
capu	Rab5
dsd	sll
cnk	Hmgs
Hem	Hmgs
toe	Hmgs
Snap	Hmgs
chico	caps
Cp1	caps
twf	caps
ast	caps
fs(1)M3	caps
Atx2	caps
neur	caps
CycB	Su(var)2-10
sina	Su(var)2-10
l(2)efl	Su(var)2-10
Pcaf	Su(var)2-10
xl6	Su(var)2-10
CtBP	Su(var)2-10
kuk	Su(var)2-10
Rpd3	Su(var)2-10
dpld	Su(var)2-10
dom	Su(var)2-10
l(3)mbt	Su(var)2-10
tld	Su(var)2-10
Su(var)2-10	Su(var)2-10
Vhl	spir
rux	spir
Atg5	spir
lilli	spir
peb	spir
CG1942	spir
RhoGAP68F	spir
Sh	spir
Pvf1	spir
rdo	spir
da	spn-A
hpo	spn-A
tok	spn-A
Borr	spn-A
CG16719	spn-A
Dl	spn-A
Stat92E	spn-A
CycA	spn-A
Eip63F-1	spn-A
E(z)	spn-A
Caf1	spn-A
dmt	spn-A
thr	spn-A
asf1	spn-A
hdc	Ptpmeg
kuz	Ptpmeg
eg	Ptpmeg
Fmr1	qua
dj	qua
tup	tsh
tutl	tsh
ena	tsh
sqd	Dat
d4	Dat
ssh	Dat
Myo31DF	Dat
bhr	Dat
lwr	Dat
Myo61F	Dat
Ark	Lac
cnk	sec23
pot	sec23
Su(H)	sec23
tum	sec23
alph	sec23
mbo	sec23
wee	sec23
osa	sec23
pbl	sec23
cactin	Pde8
Hmgs	Pde8
sec23	Pde8
cos	Pde8
ash1	Pde8
Su(H)	Pde8
Snap	Pde8
tum	Pde8
alph	Pde8
mbo	Pde8
osa	Pde8
Btk29A	Pde8
CG8149	Arp66B
Traf6	Arp66B
emp	Arp66B
pbl	cos
cactin	cos
sec23	cos
Pde8	cos
pot	cos
Su(H)	cos
tum	cos
alph	cos
mbo	cos
wee	cos
osa	cos
rdo	cos
da	Borr
hpo	Borr
tok	Borr
spn-A	Borr
Dl	Borr
Eip63F-1	Borr
E(z)	Borr
Caf1	Borr
dmt	Borr
thr	Borr
asf1	Borr
qua	Borr
Dhc64C	140up
bib	140up
MED4	140up
dsf	140up
grp	140up
Moe	140up
140up	140up
trn	mib1
robo	cas
run	cas
Akt1	Abi
CG8247	betaTub56D
Tm1	betaTub56D
Yp1	Yp1
tra2	Yp1
Jra	yrt
Lcp65Ag1	yrt
Rbp9	yrt
brat	yrt
bt	yrt
W	yrt
chrw	bap
dec-1	bap
Mmp1	bap
sqd	tud
d4	tud
bhr	tud
lwr	tud
CG9104	tud
v	ct
dl	ct
pcm	ct
tsh	ct
cbx	tup
morgue	tup
gro	G-ialpha65A
Krn	G-ialpha65A
Eip63E	G-ialpha65A
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
Sobp	B4
Fas3	CG2681
cta	CG2681
hkb	hkl
beta4GalNAcTA	hkl
bl	hkl
Bap60	hkl
ytr	hkl
pelo	ry
cta	ry
BicD	ry
spir	rux
bib	rux
fal	rux
spin	rux
ics	rux
Hs2st	rux
Mitf	rux
scyl	rux
boss	boss
sgl	boss
eya	boss
pnut	Mkp3
l(2)gd1	Mkp3
Tm1	Mkp3
inaC	inaC
Lcp65Ag1	inaC
Axn	dpn
Sry-delta	dpn
vlc	dpn
kis	dpn
meso18E	dpn
brat	dpn
prod	dpn
stg	dpn
sle	Ca-alpha1D
chif	Ca-alpha1D
Abd-B	Ca-alpha1D
fs(1)K10	Dp
amx	Dp
drm	Dp
CG1244	Dp
Taf4	Dp
dl	Dp
numb	Dp
Rca1	Dp
hyx	Dp
CycB	Dp
Pcaf	l(2)efl
Iswi	l(2)efl
Ddx1	l(2)efl
car	l(2)efl
xl6	l(2)efl
CtBP	l(2)efl
kuk	l(2)efl
fs(2)ltoPP43	l(2)efl
tin	l(2)efl
tral	l(2)efl
santa-maria	cnc
ofs	cnc
ea	cnc
CG34450	cnc
Crk	cnc
CG6372	cnc
CG17470	cnc
spir	cnc
Sb	Atg5
Pak	Atg5
CG1942	Atg5
mth	Atg5
esc	CG16719
alien	CG16719
dmt	CG16719
thr	CG16719
asf1	CG16719
Uba1	CadN
ics	CadN
trio	sec13
LanB2	klar
oaf	klar
sdt	Rack1
CG17221	Rack1
esg	Rack1
mth	Rack1
Eip74EF	Rack1
caup	G-oalpha47A
bcd	G-oalpha47A
eg	G-oalpha47A
MED11	dsf
140up	dsf
Apc2	dsf
l(1)G0289	dsf
Sb	Alk
PhKgamma	Alk
Eip71CD	Alk
Pak	Alk
p53	Alk
CSN4	ey
Wnt5	ey
NetB	ey
bcd	ey
SelG	ey
opa	noc
bnb	noc
eIF-4a	noc
hkl	noc
hkb	ix
Abd-B	ix
Dscam	Glycogenin
emp	Glycogenin
da	cin
hpo	cin
esc	cin
alien	cin
ken	cin
CycA	cin
lic	cin
E(z)	cin
Tm1	cin
chp	chp
toy	chp
ttk	Dlic2
LanB2	Pk92B
oaf	Pk92B
Alk	Pk92B
Tak1	Pak
betaTub56D	Pak
up	Lim1
CG8247	Lim1
ird5	Lim1
Tak1	Lim1
chinmo	Lim1
tral	Lim1
cnc	CG34450
emp	CG34450
pbl	Su(H)
cactin	Su(H)
sec23	Su(H)
Pde8	Su(H)
cos	Su(H)
pot	Su(H)
tum	Su(H)
alph	Su(H)
mbo	Su(H)
wee	Su(H)
osa	Su(H)
Dp	Su(H)
ppan	CG12301
fs(1)K10	CG12301
amx	CG12301
drm	CG12301
CG1244	CG12301
hyx	CG12301
Arc-p34	CG12301
eg	CG12301
spir	lilli
foxo	lilli
Optix	lilli
dj	lilli
Sh	lilli
Hmgs	lilli
Hem	toe
sas	toe
Bap60	hkb
Traf6	Mtl
BicD	Mtl
qua	spin
rux	spin
Optix	spin
fal	spin
dj	spin
CG1942	spin
sls	mfas
ksr	mfas
tin	mfas
Eip74EF	mfas
sns	frc
CG34417	mmy
ash2	mmy
LCBP1	mmy
CG18369	mmy
CG9520	mri
LCBP1	mri
tral	mri
ofs	Crk
cnc	Crk
acj6	Crk
ftz-f1	Crk
sgl	Crk
Pka-C3	Crk
ena	Crk
Dat	ssh
Dp	ssh
CG12301	fs(1)K10
dl	fs(1)K10
numb	fs(1)K10
Rca1	fs(1)K10
hyx	fs(1)K10
Arc-p34	fs(1)K10
Idgf2	Psn
pelo	CkIIalpha
MED11	CkIIalpha
l(2)efl	car
Iswi	car
fs(2)ltoPP43	car
tin	car
Rab5	car
RhoGAPp190	capu
wrapper	capu
xmas-2	capu
Dys	capu
mbt	capu
Hr78	capu
sced	capu
Lar	capu
dsx	cact
how	cact
Idgf1	cact
CG8216	cact
fred	cact
ry	Patj
Khc	Patj
dsd	Patj
CtBP	xl6
kuk	xl6
Rpd3	xl6
