Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
eye morphogenesis (GO:0048592)	35/114	0.0000000000000000000000000000185131815563824702618231858866926087598822128357397742088424117092839707175212261847097039435539045371115207672119140625	0.0000000000000000000000000013545477838753173668524076352899808174765573237407256724860401423103198098769894830439852739800699055194854736328125	0.0000000000000034356129460982601306209051930302565471754181435082298179395365878008306026458740234375	0.00000000000028728268254040690179410284288149285305928593015067917804117314517498016357421875	-2.099964310463818	138.9316853827649	ast;hyx;Khc;rdx;Mitf;pelo;N;Optix;wg;frc;caup;fred;Rho1;klar;eff;sw;dpp;siz;gl;sav;sax;eya;foxo;shg;ex;ey;tll;shn;sty;sns;pyd;Mer;cic;pn;wls
embryonic development via the syncytial blastoderm (GO:0001700)	60/166	0.0000000000000000000000000000000000000000000000000000007113251065285234012982051943268366830349801548610289144275076634954647368525380840059161117683458533787523224931487196578027437171025848701433336174204669077880680561065673828125	0.0000000000000000000000000000000000000000000000000006245434435320435756077789433868969794941861241173264220332925609347126676875397620287346078246830701047101918868011532947250927911252149637988395625143311917781829833984375	0.00000000000000000000000000013696607648376381535357353930920588890370751131172468676346422191111691321098453588689380922005511820316314697265625	0.00000000000000000000000024051243030548927303397418911163283670447700278547414544328428713027868968143963002148666419088840484619140625	-1.1058888827949125	137.88247000183117	jumu;Mtl;ecd;msn;rib;peb;l(2)gl;Nrx-IV;hep;Src64B;jar;drk;dlg1;Apc2;Dok;exu;Atpalpha;chn;Src42A;raw;Pkn;shg;pnr;scrib;shn;emc;CtBP;lwr;tsh;Pi3K92E;zfh1;N;shot;wg;Tak1;EcR;ash1;Ggamma1;scyl;mmy;Cka;pcm;Rho1;Mbs;kay;wal;grp;dpp;gbb;rhea;SelG;srp;Hmgs;CycB;Jra;sns;Ddx1;pyd;Pak;dib
nervous system development (GO:0007399)	69/246	0.000000000000000000000000000000000000000000000000000001723382118845917740849967296406274089908887982116743219750022099464891657197687408823031609313769438328399076337191038104558655834366268262691779256101654027588665485382080078125	0.000000000000000000000000000000000000000000000000001008753000231143879182935961682072554628405983550842497526203440690818997833030873816855942295507961943616888390433314736445530811724535791285006780526600778102874755859375	0.00000000000000000000000000249543372970990819509775621478794573977767298042492343034413524124575495775901767814275444834493100643157958984375	0.00000000000000000000000219099081468529957753189264509762679901398172450009581257765575897089593837563370470888912677764892578125	-1.0948943630631092	135.54278305623322	Su(z)12;Chi;Fmr1;jing;rib;alpha-Spec;l(2)gl;Nrt;gkt;trio;Appl;Tl;wupA;baz;brk;dlg1;drl;Apc2;pav;apt;Es2;stg;chn;fru;raw;ap;numb;shg;elav;pnt;shn;emc;RpL30;hkb;fog;zfh1;N;zfh2;caps;d4;kuz;par-6;abd-A;EcR;eve;mam;mmy;tou;Rho1;cact;Ephrin;Sin3A;siz;sktl;LIMK1;ttk;pdm2;ct;Hem;spen;glec;mbl;spin;esg;bun;bib;Lar;dib;da
regulation of transcription from RNA polymerase II promoter (GO:0006357)	102/630	0.00000000000000000000000000000000000000000000000000000004887757345668787027129906422776350867767011092965862053076638301960588107880763794340777082057452675112520198075561978099484521323387902088340728479209928991622291505336761474609375	0.00000000000000000000000000000000000000000000000000008582901898994389929083324890128148448707678570370135958377264876851410821612472323507391370164435750102270948211105839003170426475090859508298990476760081946849822998046875	0.00000000000000000000001392111730391114836800761773147739984962531411200531623490673680497431430325150358839891850948333740234375	0.00000000000000000000488909639713359530449328664565028781125093724169177570606191485236280414028442464768886566162109375	-1.0427310057801085	132.80016841561627	lmd;jing;lola;rib;ksr;peb;p53;bap;Eip74EF;her;brk;brm;dlg1;apt;ftz-f1;fru;eya;odd;ap;ix;pnr;pnt;scrib;sty;xmas-2;bcd;twi;dos;toe;N;d4;ash2;bs;fd59A;EcR;bigmax;caup;cnc;tou;toy;Mef2;Dif;dpn;dpp;enok;lilli;ct;sno;esg;da;acj6;Chi;hyx;Trl;MED11;Antp;Tl;tin;drk;drm;opa;crol;prd;Bap60;chn;Dp;foxo;MED24;ey;shn;emc;cic;Iswi;hkb;CtBP;fog;Sry-delta;dsx;tsh;disco;zfh1;bowl;zfh2;E(bx);abd-A;kis;crc;eve;kay;Sin3A;gl;gbb;ttk;sax;dally;sbb;tll;Jra;E2f2;Lis-1;Abd-B;Taf4
imaginal disc-derived wing morphogenesis (GO:0007476)	65/240	0.000000000000000000000000000000000000000000000000030891861344841098247790210897975125859995183051637138801466246163343397396469320152130767544701301466504790079076130594447628825716112288546355557627975940704345703125	0.0000000000000000000000000000000000000000000000135615271303852411907186957539910042526869006730349456659680645373331997953518124547135921182875665995168285993444749217527733886612395508564077317714691162109375	0.0000000000000000000000005056369712815190983117924136716206754561179874097965443824099305973086837528995829416089691221714019775390625	0.000000000000000000000295966173856782524579015975411938458788063380656243979362381157915962148763355799019336700439453125	-1.1454712486360332	130.58526527180945	jumu;ast;msk;Chi;hyx;jing;lola;ksr;Trl;nmo;frc;brk;drk;brm;Dok;crol;trc;Mkp3;Hs6st;fru;Src42A;ap;shg;pnt;shn;emc;qua;cic;wls;fog;Pka-C3;tsh;N;zfh2;wg;fw;ash2;bs;kis;EcR;caup;mam;pcm;sn;tow;Rho1;Dys;Mbs;d;cg;dpp;Dad;gbb;Cip4;sax;svr;flw;inv;ct;dally;sbb;spen;MYPT-75D;sno;bib
mesoderm development (GO:0007498)	42/83	0.00000000000000000000000000000000000000000000030788928567204598092605674230653029079257553757479214272534571988675285865202482783080040627461266325996723038736367812628902385085893911309540271759033203125	0.000000000000000000000000000000000000000000108130717128022548563461280676664855197793169334068242931043938511439275289602285682074091023997801748739939543299259927522371071972884237766265869140625	0.000000000000000000000001258845497575364401119617945502795078377030388900957647781801425172776287553233487415127456188201904296875	0.000000000000000000000552633173435584935357313814879242415384499552532342975542912176523113743087378679774701595306396484375	-1.2120429592610649	127.01524706704015	Alk;CG12896;twi;Mlc1;Prm;LanA;zfh1;amx;N;wg;bap;cta;bt;abd-A;Ggamma1;CG9445;tin;up;CG3987;CG1942;Scgdelta;Mef2;meso18E;CG34417;dpp;stg;Myo61F;stumps;Cip4;eya;Myo31DF;flw;sli;shg;RhoL;CG17470;Ald;bib;Abd-B;sls;CG4945;fog
compound eye development (GO:0048749)	57/198	0.000000000000000000000000000000000000000000001015850677244460118831419285914748918761381002148607364519852047294505737929485585960029976536916904787327776968418151237738555892065051011741161346435546875	0.00000000000000000000000000000000000000000029730563154021198627320783126748951712727663312932262654279873525593026406250340794504703328478031118303333778761510242105714496574364602565765380859375	0.000000000000000000000045848942888963282288974501937669549126540684042224220513358687832672355710883493884466588497161865234375	0.00000000000000000001341845728550325325244655607920069998291722811115851969783474562092351334285922348499298095703125	-1.1397418337190672	118.0779410297244	jumu;ast;msk;Chi;hyx;ssh;Mitf;pelo;peb;Optix;nmo;frc;Src42A;eya;Vps28;foxo;Su(var)2-10;shg;ex;ey;scrib;fl(2)d;shn;sty;Mer;wls;NetB;Pink1;tsh;toe;N;wg;Atx2;Tak1;caup;mam;fred;Rho1;toy;klar;kay;eff;dpp;Lim1;siz;gl;LIMK1;sax;hyd;dally;spen;sns;pyd;pn;mbt;Chc;CkIIalpha
open tracheal system development (GO:0007424)	47/155	0.000000000000000000000000000000000000005783877587853005979103554612549427262145933321638519975864084831526539772933657603194967184217494958649308234299724063021130859851837158203125	0.00000000000000000000000000000000000078126838802075993214651580506899380034339542079368841216059266377681788990694144074924045871750888370144139116746373474597930908203125	0.00000000000000000006861448556912814130555692380864107340902613046156307348606706586480186160770244896411895751953125	0.000000000000000011822813808825612514327506670205190784244927957344177549270369809164549224078655242919921875	-1.1952952955236802	105.2406639599157	noc;Mhc;jing;rib;ksr;LanA;peb;N;shot;wg;bs;par-6;wus;Src64B;kkv;pio;mmy;sgl;baz;Vhl;btl;Rho1;bnl;wal;Hs2st;apt;Mmp1;dpp;Mmp2;stg;Hs6st;Src42A;Hr78;ttk;stumps;aft;Lac;knrl;ct;sli;shg;pnt;esg;sty;pyd;Abd-B;Chc
positive regulation of transcription, DNA-templated (GO:0045893)	72/379	0.00000000000000000000000000000000000000000004091384102389279735027666813812140941150389315650046065227668019785070137433465075598687575732234788690252374511457933436986422748304903507232666015625	0.000000000000000000000000000000000000000010263529262565107472342145766255203232784125165655141352072615135241101460102890295161320568737694140529974166919924272178832325153052806854248046875	0.00000000000000000007406090654731306263931680731208620325255714549154227436568442843878301573568023741245269775390625	0.000000000000000011822813808825612514327506670205190784244927957344177549270369809164549224078655242919921875	-1.0025136375845582	100.15598538049485	lmd;acj6;Chi;hyx;jing;lola;Mitf;p53;Trl;bap;hep;Eip74EF;her;Antp;Tl;tin;brm;drm;opa;prd;Bap60;apt;ftz-f1;chn;eya;odd;ap;foxo;ey;pnr;pnt;shn;Iswi;CtBP;xmas-2;bcd;Sry-delta;twi;dsx;tsh;disco;bowl;N;zfh2;d4;ash2;bs;abd-A;EcR;crc;eve;ash1;caup;cnc;tou;toy;Mef2;Dif;kay;Lim1;gl;enok;ttk;lilli;srp;tll;sno;esg;Jra;Abd-B;Taf4;da
morphogenesis of embryonic epithelium (GO:0016331)	42/114	0.000000000000000000000000000000000000005583059991187663461705311763068315536496974295312857189822480959094813385835285576275442412934430186192968914582479555974714457988739013671875	0.00000000000000000000000000000000000078126838802075993214651580506899380034339542079368841216059266377681788990694144074924045871750888370144139116746373474597930908203125	0.0000000000000000000193603280091614074385975061769313430030627117190523151109803057234870493630296550691127777099609375	0.00000000000000000377741510934304789610601886853600484673140790227940065404421687844660482369363307952880859375	-1.1213037657366778	98.76564850524467	jumu;Mtl;lwr;msn;rib;peb;N;l(2)gl;shot;wg;Nrx-IV;hep;Tak1;Src64B;Ggamma1;kkv;tin;mmy;Cka;jar;pcm;dlg1;Rho1;Mbs;Dok;kay;dpp;gbb;Src42A;raw;Lac;srp;Pkn;pnr;scrib;Jra;shn;emc;pyd;Pak;dib;fog
