Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
digestive tract mesoderm development (GO:0007502)	1/6	0.0017988752437358367618214227690032203099690377712249755859375	0.017269202339864030137928097019539563916623592376708984375	0.00443317871747601899290458504765410907566547393798828125	0.042558515687769783719662797238925122655928134918212890625	-4.361128234736695	27.564919531894343	thr
mitotic sister chromatid cohesion (GO:0007064)	1/11	0.003295877268486783161216546744753941311500966548919677734375	0.022600301269623652988816076003786292858421802520751953125	0.007590097956489023911519353760013473220169544219970703125	0.05832972250906780231627379862402449361979961395263671875	-3.06768059846546	17.532048943624318	dmt
primary branching, open tracheal system (GO:0007428)	1/16	0.00479100794706440423487148194681140012107789516448974609375	0.0266594151558410992486347623753317748196423053741455078125	0.01073900369806309908204955405608416185714304447174072265625	0.05832972250906780231627379862402449361979961395263671875	-3.045692348848695	16.26708688302076	dmt
cellular response to radiation (GO:0071478)	1/24	0.00717932930562952854869340768573238165117800235748291015625	0.0266594151558410992486347623753317748196423053741455078125	0.0157606229051714986921783889783910126425325870513916015625	0.05832972250906780231627379862402449361979961395263671875	-2.6427855519084056	13.046241197395677	dmt
cilium-dependent cell motility (GO:0060285)	1/21	0.006284269151982339353390560887646643095649778842926025390625	0.0266594151558410992486347623753317748196423053741455078125	0.01387991120765398600500617476427578367292881011962890625	0.05832972250906780231627379862402449361979961395263671875	-2.4265179193010047	12.301731795038835	CG16719
peripheral nervous system development (GO:0007422)	2/79	0.00022872395308568544531301058864158903816132806241512298583984375	0.0040398927987750112011955394564211019314825534820556640625	0.00102215684169027908219373745879465786856599152088165283203125	0.01800186763458717920105556231646914966404438018798828125	-1.4036938478901344	11.767158124601384	dmt;thr
regulation of mRNA processing (GO:0050684)	1/26	0.007775662753786986847170936698603327386081218719482421875	0.0266594151558410992486347623753317748196423053741455078125	0.017012835731811441764005365939738112501800060272216796875	0.05832972250906780231627379862402449361979961395263671875	-2.420257483124911	11.754601463492177	asf1
regulation of RNA splicing (GO:0043484)	1/22	0.006582697220629774199907036091872214456088840961456298828125	0.0266594151558410992486347623753317748196423053741455078125	0.0145071342634720858166819112966550164856016635894775390625	0.05832972250906780231627379862402449361979961395263671875	-2.2728126912530704	11.417044323990668	asf1
exocrine system development (GO:0035272)	1/26	0.007775662753786986847170936698603327386081218719482421875	0.0266594151558410992486347623753317748196423053741455078125	0.017012835731811441764005365939738112501800060272216796875	0.05832972250906780231627379862402449361979961395263671875	-2.342070571866989	11.374866667543248	dmt
mitotic sister chromatid segregation (GO:0000070)	2/76	0.00021166001769615442706755359392190030121128074824810028076171875	0.0040398927987750112011955394564211019314825534820556640625	0.000948113131081179433441719073272224704851396381855010986328125	0.01800186763458717920105556231646914966404438018798828125	-1.3416151574216584	11.350774295954096	dmt;thr
respiratory system development (GO:0060541)	2/112	0.0004594265003327587600263914868747860964504070580005645751953125	0.0055131180039931053371571323395983199588954448699951171875	0.0020149596860359916643268274327738254214636981487274169921875	0.024179516232431898237198453216478810645639896392822265625	-1.4358250182980066	11.035078528250553	dmt;thr
mesoderm development (GO:0007498)	2/83	0.00025249329992343820007472121602631887071765959262847900390625	0.0040398927987750112011955394564211019314825534820556640625	0.001125116727161698700065972644779321854002773761749267578125	0.01800186763458717920105556231646914966404438018798828125	-1.2144072291513623	10.060302312830382	CG16719;thr
renal tubule morphogenesis (GO:0061333)	1/35	0.01045547084033117586632233297905258950777351856231689453125	0.02985429132816387609583586026928969658911228179931640625	0.022632031343223009411946833324691397137939929962158203125	0.063459875737196858036526236901408992707729339599609375	-2.1771866601452876	9.929342606641281	thr
embryonic hindgut morphogenesis (GO:0048619)	1/40	0.0119416450913767367703055555239188834093511104583740234375	0.02985429132816387609583586026928969658911228179931640625	0.0257426844526046950945019631262766779400408267974853515625	0.063459875737196858036526236901408992707729339599609375	-2.0619981366441102	9.129957401738823	thr
sister chromatid segregation (GO:0000819)	1/34	0.01015801256532855578740281998761929571628570556640625	0.02985429132816387609583586026928969658911228179931640625	0.0220089483588994556939599789302519639022648334503173828125	0.063459875737196858036526236901408992707729339599609375	-1.950278551400741	8.950788725306152	thr
head involution (GO:0008258)	1/39	0.01164455914171470297946431315949666895903646945953369140625	0.02985429132816387609583586026928969658911228179931640625	0.0251211883342366305849058250032612704671919345855712890625	0.063459875737196858036526236901408992707729339599609375	-1.9635479869544088	8.743514708375244	thr
