Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
disco	3/1533	0.007535401121638669354185768867182559915818274021148681640625	0.271274440378992121036816342893871478736400604248046875	0.00719571314799739847334336673156940378248691558837890625	0.259045673327906345040361202336498536169528961181640625	-1.8078625967899733	8.83709128409546	asf1;dmt;thr
tll	1/132	0.038957111194646835972132947745194542221724987030029296875	0.307304438666747670172441075919778086245059967041015625	0.042858913634668156789064852318915654905140399932861328125	0.340202243653021707547878804689389653503894805908203125	-1.6998526729823287	5.516521597115757	asf1
TfIIB	3/2744	0.037367062341985335383043320689466781914234161376953125	0.307304438666747670172441075919778086245059967041015625	0.037812648153861504185524466947754262946546077728271484375	0.340202243653021707547878804689389653503894805908203125	-1.6552117466032727	5.440624152304773	asf1;dmt;thr
z	2/1195	0.04554941065618960116534452708947355858981609344482421875	0.307304438666747670172441075919778086245059967041015625	0.05035338171626328740426714603017899207770824432373046875	0.340202243653021707547878804689389653503894805908203125	-1.53502493902022	4.741626941986858	asf1;thr
hb	2/1223	0.047527663823332073900207461747413617558777332305908203125	0.307304438666747670172441075919778086245059967041015625	0.0525669265859104173355120792621164582669734954833984375	0.340202243653021707547878804689389653503894805908203125	-1.491985124068565	4.545248146369877	asf1;dmt
hkb	2/1274	0.051217406444457942715775544684220221824944019317626953125	0.307304438666747670172441075919778086245059967041015625	0.0567003739421702845913131341148982755839824676513671875	0.340202243653021707547878804689389653503894805908203125	-1.4503678373661357	4.310023054299842	asf1;dmt
sens	4/6675	0.100516254269331029025380530583788640797138214111328125	0.42809745436339785573665039919433183968067169189453125	0.08940864528288160195668154983650310896337032318115234375	0.45981589002624823070419779469375498592853546142578125	-1.3841925223572895	3.1800934972255077	asf1;CG16719;dmt;thr
mip120	3/5120	0.1790093050355066883749799444558448158204555511474609375	0.42809745436339785573665039919433183968067169189453125	0.2023150111419983188110194305409095250070095062255859375	0.49121102029957597334686170142958872020244598388671875	-1.3774510651186136	2.369653160394361	asf1;dmt;thr
Kr	2/2419	0.1576621469281621890079492231961921788752079010009765625	0.42809745436339785573665039919433183968067169189453125	0.178064074628193347304971894118352793157100677490234375	0.49121102029957597334686170142958872020244598388671875	-1.2222934214692043	2.257943671524136	asf1;thr
insv	2/2352	0.150449379758229306869310448746546171605587005615234375	0.42809745436339785573665039919433183968067169189453125	0.1697341482443444349303973694986780174076557159423828125	0.49121102029957597334686170142958872020244598388671875	-1.1776919492638194	2.2307000013143736	asf1;dmt
