Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	2/6	0.00003943855162422059651254613310555896532605402171611785888671875	0.00138034930684772095925427759510739633697085082530975341796875	0.000326703889917056948533069515860915998928248882293701171875	0.011434636147096992331295695066728512756526470184326171875	-3.8399672227387507	38.94021194276234	E(z);esc
histone methyltransferase activity (H3-K27 specific) (GO:0046976)	2/6	0.00003943855162422059651254613310555896532605402171611785888671875	0.00138034930684772095925427759510739633697085082530975341796875	0.000326703889917056948533069515860915998928248882293701171875	0.011434636147096992331295695066728512756526470184326171875	-3.5447539752553756	35.94652325780664	E(z);esc
protein methyltransferase activity (GO:0008276)	2/21	0.000543650887919148811076863747615561806014738976955413818359375	0.004756945269292552069817503479498554952442646026611328125	0.0028594515159538029525077007519939797930419445037841796875	0.03616990457809500514319012154373922385275363922119140625	-2.7668521608933374	20.798990103911393	E(z);esc
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	2/18	0.0003973171109090208497245655383522944248397834599018096923828125	0.004756945269292552069817503479498554952442646026611328125	0.0021611267211978052275866968301443193922750651836395263671875	0.03616990457809500514319012154373922385275363922119140625	-2.106960903026376	16.499138510148974	CycA;CycE
histone methyltransferase activity (GO:0042054)	2/26	0.000837034353237978210986180993558036789181642234325408935546875	0.0065102671918509415205367218959509045816957950592041015625	0.004227166427523662388388014932161240722052752971649169921875	0.03616990457809500514319012154373922385275363922119140625	-2.1883995032463623	15.506222972065943	E(z);esc
histone-lysine N-methyltransferase activity (GO:0018024)	2/29	0.00104241805425253825957698783355453997501172125339508056640625	0.006633569436152516630988973389548846171237528324127197265625	0.00516712922544214359188430307767703197896480560302734375	0.03616990457809500514319012154373922385275363922119140625	-2.1927009784526006	15.055550236424233	E(z);esc
RNA polymerase II repressing transcription factor binding (GO:0001103)	1/8	0.01312630506116834426533213076027095667086541652679443359375	0.05460561295223455291480973983198055066168308258056640625	0.031278479569371860080639891066311975009739398956298828125	0.1333555474186189915286604446009732782840728759765625	-3.2917931188234144	14.26379069848459	asf1
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	1/9	0.01475529825588725064966499900265262112952768802642822265625	0.05460561295223455291480973983198055066168308258056640625	0.03469577369494224183821273754801950417459011077880859375	0.1333555474186189915286604446009732782840728759765625	-3.2893389469203504	13.86835645625681	Pde8
RNA polymerase II transcription factor binding (GO:0001085)	2/29	0.00104241805425253825957698783355453997501172125339508056640625	0.006633569436152516630988973389548846171237528324127197265625	0.00516712922544214359188430307767703197896480560302734375	0.03616990457809500514319012154373922385275363922119140625	-1.9562190170453246	13.431814904993885	Su(H);asf1
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	1/10	0.01638168388567036448666414116814848966896533966064453125	0.05460561295223455291480973983198055066168308258056640625	0.038101584976748280320091311068608774803578853607177734375	0.1333555474186189915286604446009732782840728759765625	-3.227723617281162	13.271080680972748	Btk29A
Rac guanyl-nucleotide exchange factor activity (GO:0030676)	1/7	0.01149470025441532740340111473642537021078169345855712890625	0.053641934520604860059389551452113664709031581878662109375	0.027849665828075222118176412777756922878324985504150390625	0.1333555474186189915286604446009732782840728759765625	-2.9305050608320364	13.087252283636781	pbl
