Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TfIIB	20/2744	0.00000000049620964749280385654519258032302438110594522413521190173923969268798828125	0.00000003523088497198907639964808743114621503167427363223396241664886474609375	0.00000005155213534306980137360100556291608864256659217062406241893768310546875	0.00000366020160935795604972690410472413446996142738498747348785400390625	-1.701771851992957	36.45879862073058	Su(H);bon;cnk;cactin;hpo;cos;Dl;dmt;spn-A;tum;alph;asf1;Btk29A;CycA;CycE;Stat92E;mbo;pbl;osa;thr
Med	24/5130	0.0000000194538873702506847202970698650081882163931368268094956874847412109375	0.0000006906130016438993538926602831773404744808431132696568965911865234375	0.00000245484007199718560110653087225074386878986842930316925048828125	0.000062278483893766435250914648147357866037054918706417083740234375	-1.5869557394581897	28.176746573696406	Su(H);bon;cnk;cactin;Pde8;hpo;cos;Dl;dmt;spn-A;tum;alph;asf1;glu;tok;E(z);Btk29A;CycA;CycE;Stat92E;mbo;pbl;osa;thr
h	19/3079	0.00000003160298540970459591067923317032895003109160825260914862155914306640625	0.0000007479373213630088162081894880006682768680548178963363170623779296875	0.00000263148523494787744440794215183831994409047183580696582794189453125	0.000062278483893766435250914648147357866037054918706417083740234375	-1.5533212895790514	26.825880799374055	Su(H);bon;cnk;cactin;Pde8;cos;Dl;dmt;alph;asf1;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa
hb	12/1223	0.000000276415216790222387853556869352633640346539323218166828155517578125	0.0000049063700980264476490984304479781030750018544495105743408203125	0.000006916572096881682928386399222819846954735112376511096954345703125	0.00012276915471964988256677042688380652180057950317859649658203125	-1.5341315964998805	23.167476123493323	Su(H);asf1;bon;tok;E(z);Btk29A;CycE;dmt;Stat92E;pbl;spn-A;alph
sens	25/6675	0.000000755988787424126260222081129247495567824444151483476161956787109375	0.00001073504078142259251398872577087928448236198164522647857666015625	0.000099392373209762044546089487795370587264187633991241455078125	0.0014113716995786209675023403775639962987042963504791259765625	-1.4775298468587925	20.82613675302911	Su(H);bon;cactin;CG16719;cos;dmt;tum;alph;asf1;tok;E(z);pot;cnk;hpo;spn-A;glu;Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
Myb	23/5772	0.000001390873491463730604483805576576660456566969514824450016021728515625	0.00001645866964898747998439533513082011495498591102659702301025390625	0.0001628493049451889586320962877152851433493196964263916015625	0.00165175723587263089710275298926944742561317980289459228515625	-1.4957232987162254	20.170694104297908	Su(H);bon;cnk;cactin;hpo;cos;dmt;spn-A;tum;alph;asf1;glu;tok;E(z);Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
mip120	21/5120	0.0000045808806676153507081612759055389005879987962543964385986328125	0.00003512873628676673777582184499124196008779108524322509765625	0.0004066987639858512409464508241541125244111754000186920166015625	0.0024063010202496197022237200968675097101368010044097900390625	-1.5390604978662021	18.920623829380684	Su(H);bon;cnk;cactin;hpo;cos;dmt;spn-A;tum;alph;asf1;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa;thr
D	22/5560	0.00000377457632456116771278047984650161339459373266436159610748291015625	0.00003512873628676673777582184499124196008779108524322509765625	0.0003844235553842168082346042456975965251331217586994171142578125	0.0024063010202496197022237200968675097101368010044097900390625	-1.4744687758332804	18.412019545541238	Su(H);bon;cnk;cactin;Pde8;hpo;cos;Dl;dmt;spn-A;tum;alph;asf1;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa
dl	25/7257	0.0000043930175904907122112568428062839842596076778136193752288818359375	0.00003512873628676673777582184499124196008779108524322509765625	0.0005916176543269875687247605355878476984798908233642578125	0.003000346675515437079584391000253162928856909275054931640625	-1.4164196099473467	17.472235867364684	Su(H);bon;cactin;cos;dmt;tum;alph;asf1;tok;E(z);pot;cnk;Pde8;hpo;Dl;spn-A;Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
lin-52	14/2244	0.0000049477093361643295385912146022722168936525122262537479400634765625	0.00003512873628676673777582184499124196008779108524322509765625	0.00015085714380569319290233132324630105358664877712726593017578125	0.00165175723587263089710275298926944742561317980289459228515625	-1.3917771939295012	17.002765572126812	Su(H);cnk;hpo;spn-A;tum;glu;tok;CycA;esc;CycE;Stat92E;pbl;osa;thr
trx	24/6855	0.0000073278965395505375450698436201601992934229201637208461761474609375	0.0000472982413007352932581180138260634748803568072617053985595703125	0.00091448854938117594449986658133866512798704206943511962890625	0.003667163997201857740526609319431372568942606449127197265625	-1.2980799920741002	15.348266831915296	Su(H);bon;cnk;cactin;hpo;cos;Dl;dmt;spn-A;tum;alph;asf1;glu;tok;E(z);Btk29A;CycA;esc;pot;CycE;Stat92E;pbl;osa;thr
Cp190	25/7471	0.0000080168476380086306954005082037184592991252429783344268798828125	0.0000474330151915510587362113936737983976854593493044376373291015625	0.00108465414001745097567763753687586358864791691303253173828125	0.003667163997201857740526609319431372568942606449127197265625	-1.2163570342180463	14.272691202669213	Su(H);bon;cactin;cos;dmt;tum;alph;asf1;tok;E(z);pot;cnk;Pde8;hpo;spn-A;glu;Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
mip130	15/2856	0.00001626292686688281629420714524680846579940407536923885345458984375	0.00008647231977453227421727410817453574054525233805179595947265625	0.000538806978881604535687455115322563869995065033435821533203125	0.002942715038507224580011101267018602811731398105621337890625	-1.1704141361120919	12.905714807695729	Su(H);cnk;hpo;spn-A;tum;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa;thr
disco	11/1533	0.0000206332652085043448918211250742160700610838830471038818359375	0.000096284355181222393608130027953251328654005192220211029052734375	0.0003424741079999591287889859625437338763731531798839569091796875	0.0024063010202496197022237200968675097101368010044097900390625	-1.1601319159183259	12.516206112480734	asf1;bon;Btk29A;CycA;esc;cos;dmt;pbl;osa;alph;thr
abd-A	1/5	0.008223639575061843232095526445846189744770526885986328125	0.01459696024573477191044190703905769623816013336181640625	0.01365333402320415522035457200900054886005818843841552734375	0.02924592019897108430281917890170007012784481048583984375	-2.5819501314888686	12.395277463744497	CycE
twi	19/4561	0.00001705087995554157667709750667572876636768341995775699615478515625	0.00008647231977453227421727410817453574054525233805179595947265625	0.00104840914971426738856730143112372388713993132114410400390625	0.003667163997201857740526609319431372568942606449127197265625	-1.0982979809681381	12.058552627356764	Su(H);bon;cnk;cactin;Pde8;cos;Dl;dmt;tum;alph;asf1;tok;E(z);Btk29A;CycA;CycE;Stat92E;pbl;osa
