Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ESC/E(Z) complex (GO:0035098)	2/11	0.00020153512554446436516077112433009688174934126436710357666015625	0.0024184215065335724903494707405116059817373752593994140625	0.0014307855947651017085309188558994719642214477062225341796875	0.025754140705771831620918277394594042561948299407958984375	-3.1451973756868896	26.764204488367977	E(z);esc
nucleus (GO:0005634)	14/1776	0.00000322254450923442065706707275463127615466873976401984691619873046875	0.000068085794989221747205120072177209067376679740846157073974609375	0.00881344187594861223911113512485826504416763782501220703125	0.077463379296313916722027670402894727885723114013671875	-1.1787363403305213	14.905520957178076	Su(H);bon;dmt;tum;Eip63F-1;glu;E(z);CycA;esc;chinmo;CycE;Stat92E;pbl;osa
chromatin (GO:0000785)	6/218	0.0000037825441660678745623845771473003907203747075982391834259033203125	0.000068085794989221747205120072177209067376679740846157073974609375	0.0003339228408902666033440664872244951766333542764186859130859375	0.01202122227204959793722682803718271316029131412506103515625	-1.1331767065396452	14.147840040256913	bon;glu;E(z);esc;dmt;mbo
condensed chromosome (GO:0000793)	2/27	0.0012610594987474189367093746483305949368514120578765869140625	0.00809427701280130730554507323404322960413992404937744140625	0.00713253348820921430351038594608326093293726444244384765625	0.077463379296313916722027670402894727885723114013671875	-1.909730161655275	12.748982417481912	glu;spn-A
microtubule cytoskeleton (GO:0015630)	3/112	0.00134904616880021795653765703804083386785350739955902099609375	0.00809427701280130730554507323404322960413992404937744140625	0.0136937155242724366288609161301792482845485210418701171875	0.08216229314563462671205940068830386735498905181884765625	-1.9237964021112377	12.71313433980935	betaTub56D;cos;tum
spectrosome (GO:0045170)	1/8	0.0154966378457526109124753332935142680071294307708740234375	0.037191930829806270353277142248771269805729389190673828125	0.0393260822694319889247793753384030424058437347412109375	0.1315560466063292188731992382599855773150920867919921875	-2.811664490409848	11.7165776104245	CycA
replication fork (GO:0005657)	1/11	0.0212473418702095358245873768510136869736015796661376953125	0.047806519207971458207406811879991437308490276336669921875	0.05210280309295402256797302698032581247389316558837890625	0.1315560466063292188731992382599855773150920867919921875	-2.5302090340621066	9.745159503736833	spn-A
chromosome (GO:0005694)	4/196	0.000562553755905264955827771444774043629877269268035888671875	0.005062983803147384602449943002966392668895423412322998046875	0.0107588026800435991592319595611115801148116588592529296875	0.077463379296313916722027670402894727885723114013671875	-1.2422120099149805	9.295502112351228	Su(H);asf1;glu;esc
brahma complex (GO:0035060)	1/13	0.0250629473628995909362249250307286274619400501251220703125	0.050125894725799181872449850061457254923880100250244140625	0.0605301426938483488893183448453783057630062103271484375	0.1315560466063292188731992382599855773150920867919921875	-2.3495476932131223	8.661289734047338	osa
BAF-type complex (GO:0090544)	1/13	0.0250629473628995909362249250307286274619400501251220703125	0.050125894725799181872449850061457254923880100250244140625	0.0605301426938483488893183448453783057630062103271484375	0.1315560466063292188731992382599855773150920867919921875	-2.3412450794533197	8.630683271564681	osa
cytoplasmic microtubule (GO:0005881)	1/20	0.038303770356957256293384261880419217050075531005859375	0.06267889694774823883260950196927296929061412811279296875	0.0894650523953837983892611873670830391347408294677734375	0.161037094311690831549555014134966768324375152587890625	-2.6340584489091428	8.592843765304735	tum
cell cortex part (GO:0044448)	1/19	0.036423008501687066662544367545706336386501789093017578125	0.06267889694774823883260950196927296929061412811279296875	0.08538432289467685898376458908387576229870319366455078125	0.161037094311690831549555014134966768324375152587890625	-2.462052569564537	8.155683570506332	tum
histone methyltransferase complex (GO:0035097)	2/57	0.0055265744382546437563075159005165915004909038543701171875	0.024869584972145898638107297529131756164133548736572265625	0.0277304047362171880719561301020803512074053287506103515625	0.1315560466063292188731992382599855773150920867919921875	-1.5424066162246326	8.017718184627165	E(z);esc
cytoplasmic side of apical plasma membrane (GO:0098592)	1/7	0.01357243061244782500462946472907788120210170745849609375	0.034900535860580124414287439549298142082989215850830078125	0.03503068955770760606327485220390371978282928466796875	0.1315560466063292188731992382599855773150920867919921875	-1.7053087350955132	7.3323410441067205	Stat92E
polymeric cytoskeletal fiber (GO:0099513)	2/90	0.01331946845203697306347923046132564195431768894195556640625	0.034900535860580124414287439549298142082989215850830078125	0.06212368867521102233641983048073598183691501617431640625	0.1315560466063292188731992382599855773150920867919921875	-1.4976343292877432	6.467576564562692	betaTub56D;cos
nucleoplasm (GO:0005654)	3/170	0.004405074386088726236254675683312598266638815402984619140625	0.0226546682713134502062946040723545593209564685821533203125	0.039795017074529488720902037357518565841019153594970703125	0.1315560466063292188731992382599855773150920867919921875	-1.1570516698045337	6.277003148470419	mbo;pbl;osa
nuclear chromosome part (GO:0044454)	3/233	0.01047599409330329280065630115359454066492617130279541015625	0.034285071578083504972855877213078201748430728912353515625	0.0847241641678275481108784106254461221396923065185546875	0.161037094311690831549555014134966768324375152587890625	-1.3242089450629262	6.036630156370155	bon;E(z);esc
microtubule (GO:0005874)	2/85	0.01194552975088403710957063452724469243548810482025146484375	0.034900535860580124414287439549298142082989215850830078125	0.056262947005748971396332791528038796968758106231689453125	0.1315560466063292188731992382599855773150920867919921875	-1.331743422829342	5.896158366527554	betaTub56D;cos
endocytic vesicle (GO:0030139)	1/25	0.047654056581519006752234446366855991072952747344970703125	0.0686218414773873686129945781431160867214202880859375	0.1096088347945731455990170388758997432887554168701171875	0.171561654461071022570450850253109820187091827392578125	-1.851335066061925	5.635070568732656	Dl
polytene chromosome (GO:0005700)	3/196	0.00653570219925617319767230384286449407227337360382080078125	0.024873005581909586603206463450987939722836017608642578125	0.05633958657771108435863283148137270472943782806396484375	0.1315560466063292188731992382599855773150920867919921875	-1.1170561512630344	5.619323584980525	Su(H);asf1;esc
