Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	2/6	0.000055304122599711996364178767660035873632295988500118255615234375	0.002129208720088911731271874572257729596458375453948974609375	0.00042808981430902774689695178267356823198497295379638671875	0.0164814578508975691228943816213359241373836994171142578125	-3.8399672227387507	37.6419050091165	E(z);esc
histone methyltransferase activity (H3-K27 specific) (GO:0046976)	2/6	0.000055304122599711996364178767660035873632295988500118255615234375	0.002129208720088911731271874572257729596458375453948974609375	0.00042808981430902774689695178267356823198497295379638671875	0.0164814578508975691228943816213359241373836994171142578125	-3.5447539752553756	34.748029000644635	E(z);esc
Notch binding (GO:0005112)	2/16	0.0004370113272980612737807215584240339012467302381992340087890625	0.006729974440390143301804481978933836217038333415985107421875	0.0022824111473582586566422047980040588299743831157684326171875	0.04343544568517469783852646969535271637141704559326171875	-2.571178321949343	19.88948217757331	Pgant35A;Dl
protein methyltransferase activity (GO:0008276)	2/21	0.000760073704917321887018777371025635147816501557826995849609375	0.007315709409829222742427390357988770119845867156982421875	0.0037281489664144052374739057853503254591487348079681396484375	0.047844578402318198306897301108620013110339641571044921875	-2.7668521608933374	19.871795483393555	E(z);esc
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	1/7	0.01357243061244782500462946472907788120210170745849609375	0.064206064280960706280865224471199326217174530029296875	0.031756494442558146074073732734177610836923122406005859375	0.1519495252098776727489592985875788144767284393310546875	-4.371622388800452	18.79672906791396	Pgant35A
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	2/18	0.000555818087261592832203083158759682191885076463222503662109375	0.0071329987865237746980096034121743286959826946258544921875	0.0028204834860503049699664845917368438676930963993072509765625	0.04343544568517469783852646969535271637141704559326171875	-2.1027112415674534	15.759966890685073	CycA;CycE
histone methyltransferase activity (GO:0042054)	2/26	0.00116908563008354267863386777293044360703788697719573974609375	0.0090019593516432773461222183186691836453974246978759765625	0.00550224435663224618886513184179420932196080684661865234375	0.051736780039829455279942749257315881550312042236328125	-2.1831034080326783	14.739295462473388	E(z);esc
histone-lysine N-methyltransferase activity (GO:0018024)	2/29	0.0014550760255443253611551401860424448386766016483306884765625	0.0093367378305760882761799024365245713852345943450927734375	0.006719062342834993505069629549097953713499009609222412109375	0.051736780039829455279942749257315881550312042236328125	-2.188508032705488	14.296860140933571	E(z);esc
RNA polymerase II repressing transcription factor binding (GO:0001103)	1/8	0.0154966378457526109124753332935142680071294307708740234375	0.0647271598582007390287884618373936973512172698974609375	0.03565742513429868976171377425998798571527004241943359375	0.1519495252098776727489592985875788144767284393310546875	-3.2550441027048165	13.564199065990373	asf1
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	1/9	0.017417187622456468953924257903054240159690380096435546875	0.0647271598582007390287884618373936973512172698974609375	0.039543291790102151617158909857607795856893062591552734375	0.1519495252098776727489592985875788144767284393310546875	-3.2767970233235633	13.272003662925819	Pde8
RNA polymerase II transcription factor binding (GO:0001085)	2/29	0.0014550760255443253611551401860424448386766016483306884765625	0.0093367378305760882761799024365245713852345943450927734375	0.006719062342834993505069629549097953713499009609222412109375	0.051736780039829455279942749257315881550312042236328125	-1.9510806053694987	12.74581866815086	Su(H);asf1
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	1/10	0.0193340867108911275418225983457887195982038974761962890625	0.0647271598582007390287884618373936973512172698974609375	0.0434141500599650453917632830780348740518093109130859375	0.1519495252098776727489592985875788144767284393310546875	-3.21158802461838	12.672558907545593	Btk29A
Rac guanyl-nucleotide exchange factor activity (GO:0030676)	1/7	0.01357243061244782500462946472907788120210170745849609375	0.064206064280960706280865224471199326217174530029296875	0.031756494442558146074073732734177610836923122406005859375	0.1519495252098776727489592985875788144767284393310546875	-2.9122276724836906	12.521748146407962	pbl
four-way junction DNA binding (GO:0000400)	1/9	0.017417187622456468953924257903054240159690380096435546875	0.0647271598582007390287884618373936973512172698974609375	0.039543291790102151617158909857607795856893062591552734375	0.1519495252098776727489592985875788144767284393310546875	-2.936244322526464	11.892663819710856	spn-A
semaphorin receptor binding (GO:0030215)	1/10	0.0193340867108911275418225983457887195982038974761962890625	0.0647271598582007390287884618373936973512172698974609375	0.0434141500599650453917632830780348740518093109130859375	0.1519495252098776727489592985875788144767284393310546875	-2.7463795762342507	10.836899594693257	pbl
kinase binding (GO:0019900)	3/64	0.0002630553469196552696975077711982748951413668692111968994140625	0.005063815428203363548653737069571434403769671916961669921875	0.0023158668827599517003879014964695670641958713531494140625	0.04343544568517469783852646969535271637141704559326171875	-1.2660880173443925	10.436548506690096	CycA;cos;CycE
adenylyltransferase activity (GO:0070566)	1/14	0.026965311151582231630197128424697439186275005340576171875	0.07640186985754231219214460679722833447158336639404296875	0.058748605475204780657083603045975905843079090118408203125	0.1739862546765680029192679967309231869876384735107421875	-2.8138989901963694	10.167191118401261	cin
DNA secondary structure binding (GO:0000217)	1/11	0.0212473418702095358245873768510136869736015796661376953125	0.06816855516692225946950856041439692489802837371826171875	0.047270055400297439351930961493053473532199859619140625	0.1582519246009957691878611285574152134358882904052734375	-2.4565687184639984	9.46153209914372	spn-A
frizzled binding (GO:0005109)	1/14	0.026965311151582231630197128424697439186275005340576171875	0.07640186985754231219214460679722833447158336639404296875	0.058748605475204780657083603045975905843079090118408203125	0.1739862546765680029192679967309231869876384735107421875	-2.5684252542239956	9.280244430949297	cos
Rho GTPase binding (GO:0017048)	1/16	0.0307591943582313197269595406169173656962811946868896484375	0.07640186985754231219214460679722833447158336639404296875	0.066327215466293443224543580072349868714809417724609375	0.1761101927898136298988873704729485325515270233154296875	-2.590886955626501	9.020344778929365	pbl
protein kinase regulator activity (GO:0019887)	2/47	0.003789461793737261725845133497614369844086468219757080078125	0.0224452737013668586485426459375958074815571308135986328125	0.0162610240255891026761592144112000823952257633209228515625	0.0963152961515662264790904600886278785765171051025390625	-1.5957187335428664	8.89697970800546	CycA;CycE
DNA binding (GO:0003677)	6/448	0.0002129458880119361485240558895526419291854836046695709228515625	0.005063815428203363548653737069571434403769671916961669921875	0.007763640858610517357651925607342491275630891323089599609375	0.054345486010273620636201741262993891723453998565673828125	-1.0495848628150362	8.873686329091534	Su(H);glu;E(z);Stat92E;osa;spn-A
endodeoxyribonuclease activity (GO:0004520)	1/16	0.0307591943582313197269595406169173656962811946868896484375	0.07640186985754231219214460679722833447158336639404296875	0.066327215466293443224543580072349868714809417724609375	0.1761101927898136298988873704729485325515270233154296875	-2.4214349825420527	8.430386495580807	spn-A
protein kinase binding (GO:0019901)	3/90	0.000716228801574045922766209582022156610037200152873992919921875	0.007315709409829222742427390357988770119845867156982421875	0.00585785259304969462001988489419090910814702510833740234375	0.051736780039829455279942749257315881550312042236328125	-1.1539611687190097	8.356422366199533	CycA;cos;CycE
deoxyribonuclease activity (GO:0004536)	1/10	0.0193340867108911275418225983457887195982038974761962890625	0.0647271598582007390287884618373936973512172698974609375	0.0434141500599650453917632830780348740518093109130859375	0.1519495252098776727489592985875788144767284393310546875	-1.8924072698244165	7.4672225765218085	spn-A
acetylgalactosaminyltransferase activity (GO:0008376)	1/20	0.038303770356957256293384261880419217050075531005859375	0.0842682947853059527432151298853568732738494873046875	0.0813093755623947311850230335039668716490268707275390625	0.2086940639434798072660015577639569528400897979736328125	-2.214979685072938	7.225722111458032	Pgant35A
cytokine receptor binding (GO:0005126)	1/15	0.0288640579182608027208889467374319792725145816802978515625	0.07640186985754231219214460679722833447158336639404296875	0.06254524975652327178909928306893561966717243194580078125	0.1761101927898136298988873704729485325515270233154296875	-1.9947180832945126	7.071591027082031	Stat92E
