Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mitotic sister chromatid cohesion (GO:0007064)	1/11	0.0021983504126132269625160109427497445722110569477081298828125	0.019463464917698798661849224345132824964821338653564453125	0.004561574350064541254201611053531451034359633922576904296875	0.038415028448191106125175764418600010685622692108154296875	-3.0766879995101655	18.829478275919765	dmt
primary branching, open tracheal system (GO:0007428)	1/16	0.0031964014998821827125141670222774337162263691425323486328125	0.019463464917698798661849224345132824964821338653564453125	0.006458128716366321776798375964290244155563414096832275390625	0.038415028448191106125175764418600010685622692108154296875	-3.0551528080416026	17.55408202318909	dmt
cellular response to radiation (GO:0071478)	1/24	0.00479172565709291842228623181654256768524646759033203125	0.019463464917698798661849224345132824964821338653564453125	0.0094876025724708913655636166595286340452730655670166015625	0.038415028448191106125175764418600010685622692108154296875	-2.66761015200461	14.247344814167107	dmt
cilium-dependent cell motility (GO:0060285)	1/21	0.004193703674639705225590802228907705284655094146728515625	0.019463464917698798661849224345132824964821338653564453125	0.0083522726175807270043716101781683391891419887542724609375	0.038415028448191106125175764418600010685622692108154296875	-2.434442687906876	13.32655557204373	CG16719
regulation of mRNA processing (GO:0050684)	1/26	0.005190257311386346598947039154836602392606437206268310546875	0.019463464917698798661849224345132824964821338653564453125	0.0102440075861842949667135371782933361828327178955078125	0.038415028448191106125175764418600010685622692108154296875	-2.4433903553879306	12.854608256326859	asf1
exocrine system development (GO:0035272)	1/26	0.005190257311386346598947039154836602392606437206268310546875	0.019463464917698798661849224345132824964821338653564453125	0.0102440075861842949667135371782933361828327178955078125	0.038415028448191106125175764418600010685622692108154296875	-2.355660200495255	12.393062367465733	dmt
regulation of RNA splicing (GO:0043484)	1/22	0.00439307427295566356451050893383580842055380344390869140625	0.019463464917698798661849224345132824964821338653564453125	0.00873081227692187357425357419060674146749079227447509765625	0.038415028448191106125175764418600010685622692108154296875	-2.280830892828572	12.379725154612393	asf1
gland development (GO:0048732)	1/47	0.0093676170038235091752643057816385407932102680206298828125	0.02638863214413204871799933926013181917369365692138671875	0.01816302350242619823017520275243441574275493621826171875	0.0505165735548481487082739249672158621251583099365234375	-1.8064802238230064	8.437159629477865	dmt
negative regulation of Notch signaling pathway (GO:0045746)	1/53	0.01055872817757517144465762015670406981371343135833740234375	0.02638863214413204871799933926013181917369365692138671875	0.02041781539570487746804161588443093933165073394775390625	0.0505165735548481487082739249672158621251583099365234375	-1.8468248355448205	8.404534978352585	asf1
trachea development (GO:0060438)	1/20	0.00399430313456146900141785494042778736911714076995849609375	0.019463464917698798661849224345132824964821338653564453125	0.007973636601042076443857098411172046326100826263427734375	0.038415028448191106125175764418600010685622692108154296875	-1.2724263509152234	7.027465869578348	dmt
chromatin assembly (GO:0031497)	1/68	0.01353180683106446589858418150242869160138070583343505859375	0.02638863214413204871799933926013181917369365692138671875	0.026039686449221853548063876360174617730081081390380859375	0.0505165735548481487082739249672158621251583099365234375	-1.5555638909360188	6.693143891848605	asf1
nucleosome assembly (GO:0006334)	1/64	0.01273964189186392072239417672108174883760511875152587890625	0.02638863214413204871799933926013181917369365692138671875	0.0245426297245024162274606993605630123056471347808837890625	0.0505165735548481487082739249672158621251583099365234375	-1.5182907698735058	6.624358408216011	asf1
branching involved in open tracheal system development (GO:0060446)	1/61	0.0121452051627413300238789162222019513137638568878173828125	0.02638863214413204871799933926013181917369365692138671875	0.0234188310093274808243446472033610916696488857269287109375	0.0505165735548481487082739249672158621251583099365234375	-1.4196390544911879	6.2617735039666	dmt
protein-DNA complex assembly (GO:0065004)	1/69	0.0137297735568174782139205802877768292091786861419677734375	0.02638863214413204871799933926013181917369365692138671875	0.0264137111471669829010355812215493642725050449371337890625	0.0505165735548481487082739249672158621251583099365234375	-1.4218986106967837	6.0973693443845525	asf1
peripheral nervous system development (GO:0007422)	1/79	0.01570780242491474909538595738922595046460628509521484375	0.02638863214413204871799933926013181917369365692138671875	0.03014869287063724756503546586827724240720272064208984375	0.0505165735548481487082739249672158621251583099365234375	-1.3860427928528711	5.757064184682721	dmt
mitotic sister chromatid segregation (GO:0000070)	1/76	0.01511470646353816650597767790031866752542555332183837890625	0.02638863214413204871799933926013181917369365692138671875	0.029029203195730109154926168457677704282104969024658203125	0.0505165735548481487082739249672158621251583099365234375	-1.3240973321988425	5.550731307252955	dmt
negative regulation of programmed cell death (GO:0043069)	1/89	0.01768285450254951374216005888229119591414928436279296875	0.02638863214413204871799933926013181917369365692138671875	0.033874109986140758798978112054101075045764446258544921875	0.0505165735548481487082739249672158621251583099365234375	-1.3335736013450616	5.381182561205308	dmt
respiratory system development (GO:0060541)	1/112	0.02221419360583522240037979145199642516672611236572265625	0.0289750351380459424122104650223263888619840145111083984375	0.042406338362134275710157993444227031432092189788818359375	0.055312615254957751831366152828195481561124324798583984375	-1.3939889457803716	5.306949153168606	dmt
nucleosome organization (GO:0034728)	1/90	0.0178801961023747797707716955528667313046753406524658203125	0.02638863214413204871799933926013181917369365692138671875	0.034246126116395540772696648446071776561439037322998046875	0.0505165735548481487082739249672158621251583099365234375	-1.3178955170689335	5.303292666087535	asf1
regulation of mRNA splicing, via spliceosome (GO:0048024)	1/93	0.0184720425008924327148207567006465978920459747314453125	0.02638863214413204871799933926013181917369365692138671875	0.0353616014883937068713493090399424545466899871826171875	0.0505165735548481487082739249672158621251583099365234375	-1.319715748378931	5.267641326592177	asf1
salivary gland development (GO:0007431)	1/82	0.0163006304758381743991169088303649914450943470001220703125	0.02638863214413204871799933926013181917369365692138671875	0.031267321731742570012357873565633781254291534423828125	0.0505165735548481487082739249672158621251583099365234375	-1.2619105549430394	5.194719778249021	dmt
regulation of Notch signaling pathway (GO:0008593)	1/117	0.0231971892146820048152822124620797694660723209381103515625	0.0289964865183525051517410275891961646266281604766845703125	0.0442544985680483338175150720417150296270847320556640625	0.055318123210060417271893840052143787033855915069580078125	-1.320939915154536	4.971653475467339	asf1
mesoderm development (GO:0007498)	1/83	0.0164981803031824768301927264246842241846024990081787109375	0.02638863214413204871799933926013181917369365692138671875	0.03164000678338181604676293545708176679909229278564453125	0.0505165735548481487082739249672158621251583099365234375	-1.1966752049741305	4.91175958814019	CG16719
negative regulation of apoptotic process (GO:0043066)	1/106	0.0210336197534668929709500417857270804233849048614501953125	0.028682208754727579747001442456166842021048069000244140625	0.0401854030137879514317233997644507326185703277587890625	0.05479827683698357265740241928142495453357696533203125	-1.1007085790403845	4.250532771166017	dmt
regulation of apoptotic process (GO:0042981)	1/152	0.03005742123504050178350865962784155271947383880615234375	0.03468163988658519436558691495520179159939289093017578125	0.05712507975881785104999011082327342592179775238037109375	0.06591355356786675334657132907523191533982753753662109375	-1.195530777051811	4.189911779790326	dmt
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	1/192	0.037853368622570014723205389373106299899518489837646484375	0.04205929846952223549738647534468327648937702178955078125	0.07169221965321741218968298881009104661643505096435546875	0.079658021836908232682361585830221883952617645263671875	-1.1435351421427031	3.743974426492387	asf1
negative regulation of signal transduction (GO:0009968)	1/146	0.028883955863581022016628452320219366811215877532958984375	0.034660747036297227807732923565708915702998638153076171875	0.0549269523225740796679161803695023991167545318603515625	0.06591234278708889282594185488051152788102626800537109375	-1.0445932402358862	3.7025283560087066	asf1
nervous system development (GO:0007399)	1/246	0.04830323649404698327369800381347886286675930023193359375	0.051753467672193194382135317255233530886471271514892578125	0.0911187707371575450476797186638577841222286224365234375	0.0976272543612402288193408139704843051731586456298828125	-1.0554762108524876	3.19836387272507	dmt
negative regulation of transcription, DNA-templated (GO:0045892)	1/279	0.054647218700258397283686662149193580262362957000732421875	0.05653160555199145120841563993963063694536685943603515625	0.10285606840735973810385672777556465007364749908447265625	0.106402829386923858390190389400231651961803436279296875	-1.009783952535367	2.935297509115214	asf1
regulation of transcription from RNA polymerase II promoter (GO:0006357)	1/630	0.120179124725489361313890412930049933493137359619140625	0.120179124725489361313890412930049933493137359619140625	0.2215053263738667455040598497362225316464900970458984375	0.2215053263738667455040598497362225316464900970458984375	-0.9818722401597347	2.0803633541911877	asf1
