Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
hb	2/1223	0.0206353999966016991851613937569709378294646739959716796875	0.253896829710118787648553961844299919903278350830078125	0.028150537754166517212528475511135184206068515777587890625	0.344755772376084290709030710786464624106884002685546875	-1.6605710137938268	6.44425636463787	asf1;dmt
tll	1/132	0.0261417293645180327799071307026679278351366519927978515625	0.253896829710118787648553961844299919903278350830078125	0.03232085366025790051924815315942396409809589385986328125	0.344755772376084290709030710786464624106884002685546875	-1.6998526729823287	6.194641213400625	asf1
hkb	2/1274	0.0223141817950150041227619368555679102428257465362548828125	0.253896829710118787648553961844299919903278350830078125	0.0304531513173731914478903348708627163432538509368896484375	0.344755772376084290709030710786464624106884002685546875	-1.6224927846874395	6.169582108956679	asf1;dmt
disco	2/1533	0.031737103713764848456069245230537489987909793853759765625	0.253896829710118787648553961844299919903278350830078125	0.04340639928192065177814384924204205162823200225830078125	0.34725119425536521422515079393633641302585601806640625	-1.6690631651746204	5.758716594744364	asf1;dmt
insv	2/2352	0.07052352669159343834248687699073343537747859954833984375	0.347013905394993049657870187729713506996631622314453125	0.09712235492026514982466522951654042117297649383544921875	0.4359725646866488002473261076374910771846771240234375	-1.3084739536240435	3.469822892512326	asf1;dmt
TfIIB	2/2744	0.093326971894068633250896027675480581820011138916015625	0.347013905394993049657870187729713506996631622314453125	0.1289245698954155916471364662356791086494922637939453125	0.4359725646866488002473261076374910771846771240234375	-1.422411219654852	3.3734560573671843	asf1;dmt
mod(mdg4)	2/2535	0.0808592276051222358379533261540927924215793609619140625	0.347013905394993049657870187729713506996631622314453125	0.111520066610740264945178523703361861407756805419921875	0.4359725646866488002473261076374910771846771240234375	-1.2996124147810824	3.2685844426970574	asf1;dmt
sens	3/6675	0.11145959041719534499126353921383270062506198883056640625	0.347013905394993049657870187729713506996631622314453125	0.1634897117574933000927472903640591539442539215087890625	0.4359725646866488002473261076374910771846771240234375	-1.337523860106538	2.9346519682505186	asf1;CG16719;dmt
pho	2/3071	0.114152793822467513162877139620832167565822601318359375	0.347013905394993049657870187729713506996631622314453125	0.1580734807765347416097512223132071085274219512939453125	0.4359725646866488002473261076374910771846771240234375	-1.3002705035005435	2.821869712095833	asf1;dmt
h	2/3079	0.1146813145202341954753677555345348082482814788818359375	0.347013905394993049657870187729713506996631622314453125	0.15881432886754087707714688804117031395435333251953125	0.4359725646866488002473261076374910771846771240234375	-1.2316275313822065	2.6672103348892175	asf1;dmt
slp1	1/685	0.130130214523122400560595224305870942771434783935546875	0.347013905394993049657870187729713506996631622314453125	0.159245678839007587246356933974311687052249908447265625	0.4359725646866488002473261076374910771846771240234375	-1.1413957062938322	2.3275565865600796	asf1
Sfmbt	1/631	0.12036081204816706513582857951405458152294158935546875	0.347013905394993049657870187729713506996631622314453125	0.1473722412494457845166806464476394467055797576904296875	0.4359725646866488002473261076374910771846771240234375	-1.0059390456097657	2.1298357917276545	dmt
NELF-B	1/885	0.1656059589242395990726919308144715614616870880126953125	0.385765164213417388605620317321154288947582244873046875	0.2022607916584882870036921076462022028863430023193359375	0.49787271792858656116464999286108650267124176025390625	-1.083970310667835	1.9491347686625127	asf1
phol	2/3842	0.1687722593433701179232997446888475678861141204833984375	0.385765164213417388605620317321154288947582244873046875	0.2348489541123923995957767374420654959976673126220703125	0.53679760939975407207924718022695742547512054443359375	-1.063330759426412	1.8918834577451977	asf1;dmt
z	1/1195	0.2184350263462177810236397590415435843169689178466796875	0.450521695397922805614854269151692278683185577392578125	0.26599366185605222145937887034961022436618804931640625	0.56745314529291135396960044090519659221172332763671875	-1.0338295003374531	1.5727303622847792	asf1
twi	2/4561	0.2252608476989614028074271345758461393415927886962890625	0.450521695397922805614854269151692278683185577392578125	0.314493066067856485990006376596284098923206329345703125	0.62129137087521602023088007626938633620738983154296875	-1.0109234399205536	1.5067775711347444	asf1;dmt
mip120	2/5120	0.271873309225709791636660384028800763189792633056640625	0.46847837959683025221835350748733617365360260009765625	0.38017193156365991502099177523632533848285675048828125	0.62129137087521602023088007626938633620738983154296875	-1.1081020105392991	1.4432132189514628	asf1;dmt
Med	2/5130	0.272723856657528462843487204736447893083095550537109375	0.46847837959683025221835350748733617365360260009765625	0.38136874823555555469312139393878169357776641845703125	0.62129137087521602023088007626938633620738983154296875	-0.8422338790290642	1.0943106972220205	asf1;dmt
E(z)	1/1565	0.278159037885617965724094347024220041930675506591796875	0.46847837959683025221835350748733617365360260009765625	0.337503935578848057730283471755683422088623046875	0.62129137087521602023088007626938633620738983154296875	-0.8131817705500037	1.04051669609853	asf1
D	2/5560	0.30973561556770701219676311666262336075305938720703125	0.477448248813017006586534307643887586891651153564453125	0.43335184248824065722516252208151854574680328369140625	0.62129137087521602023088007626938633620738983154296875	-0.7881782607658746	0.9237734524067039	asf1;dmt
Myb	2/5772	0.328245671058949195497689288458786904811859130859375	0.477448248813017006586534307643887586891651153564453125	0.4592572956770677450322182266972959041595458984375	0.62129137087521602023088007626938633620738983154296875	-0.7444574760993801	0.8293203827973644	asf1;dmt
cad	2/5670	0.319321803788108204980034088293905369937419891357421875	0.477448248813017006586534307643887586891651153564453125	0.446777206138136817603623285322100855410099029541015625	0.62129137087521602023088007626938633620738983154296875	-0.5906389929853368	0.6742474244830485	asf1;CG16719
CTCF	2/5985	0.346972729418337622053769564445246942341327667236328125	0.482744667016817563531816404065466485917568206787109375	0.48538388349626249151924639591015875339508056640625	0.62129137087521602023088007626938633620738983154296875	-0.6250097242429766	0.661578475509672	asf1;dmt
Ubx	1/2363	0.395270132550892883127602317472337745130062103271484375	0.498452938030690739790173893197788856923580169677734375	0.475605511556971449760311543286661617457866668701171875	0.62129137087521602023088007626938633620738983154296875	-0.6710650313704043	0.6228730785898217	asf1
trx	2/6855	0.424146086347288620022055738445487804710865020751953125	0.498452938030690739790173893197788856923580169677734375	0.591787627151422412907777470536530017852783203125	0.6789547139462541736065759323537349700927734375	-0.5893920983120802	0.5055082469910414	asf1;dmt
BEAF-32	2/6874	0.425833996457598062956861895145266316831111907958984375	0.498452938030690739790173893197788856923580169677734375	0.5940853747029724019057539408095180988311767578125	0.6789547139462541736065759323537349700927734375	-0.5219137043878647	0.44556069825571437	asf1;dmt
Kr	1/2419	0.40291469302213034353599141468293964862823486328125	0.498452938030690739790173893197788856923580169677734375	0.4845014401247365043445824994705617427825927734375	0.62129137087521602023088007626938633620738983154296875	-0.48569474939736734	0.44151130169097264	asf1
dl	2/7257	0.459784808313940474011616288407822139561176300048828125	0.498452938030690739790173893197788856923580169677734375	0.63995089492329049196683854461298324167728424072265625	0.692342344633251283170238821185193955898284912109375	-0.4762140938853841	0.3700167827609199	asf1;dmt
da	1/2924	0.468623566968143612232466921341256238520145416259765625	0.498452938030690739790173893197788856923580169677734375	0.5602231723591997170075273970724083483219146728515625	0.6789547139462541736065759323537349700927734375	-0.3931485234974683	0.2979890707152848	asf1
Cp190	2/7471	0.478656675386701924157506482515600509941577911376953125	0.498452938030690739790173893197788856923580169677734375	0.66511640419236695009885806939564645290374755859375	0.692342344633251283170238821185193955898284912109375	-0.3874936378173333	0.2854943429443153	asf1;dmt
Chro	2/7519	0.48287628371723168019258309868746437132358551025390625	0.498452938030690739790173893197788856923580169677734375	0.67070664636346222220453228146652691066265106201171875	0.692342344633251283170238821185193955898284912109375	-0.2290989261056252	0.16678282677857822	asf1;dmt
Trl	1/5825	0.7476991346826473705533544489298947155475616455078125	0.7476991346826473705533544489298947155475616455078125	0.857035238761258977291390692698769271373748779296875	0.857035238761258977291390692698769271373748779296875	-0.1759827390623625	0.05116779236055463	asf1
