Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
sensory organ precursor cell fate determination (GO:0016360)	Feb-24	0.000143532	0.004713314	0.000564098	0.022205511	-2.151822818	19.04137549	neur;CtBP
cell fate determination involved in pattern specification (GO:0060582)	Feb-24	0.000143532	0.004713314	0.000564098	0.022205511	-2.149308711	19.01912828	neur;CtBP
sensory organ boundary specification (GO:0008052)	Feb-27	0.000182298	0.004713314	0.000703082	0.022205511	-2.057804861	17.71742396	neur;CtBP
positive regulation of Notch signaling pathway (GO:0045747)	Feb-39	0.000382856	0.006776559	0.001407109	0.027673148	-2.216154805	17.43637469	dom;neur
ATP-dependent chromatin remodeling (GO:0043044)	Feb-28	0.000196236	0.004713314	0.000752729	0.022205511	-1.991476139	16.99962118	dom;CtBP
hemopoiesis (GO:0030097)	Feb-28	0.000196236	0.004713314	0.000752729	0.022205511	-1.944638217	16.59980373	Su(var)2-10;dom
axon development (GO:0061564)	Feb-66	0.001095384	0.013848787	0.00382952	0.05133263	-2.047414315	13.95650691	Rab5;ben
negative regulation of cell proliferation (GO:0008285)	Feb-57	0.00081821	0.011140241	0.00289611	0.046601038	-1.789438381	12.72002911	dom;Rab5
wing disc development (GO:0035220)	3/103	5.77013E-05	0.004713314	0.000359731	0.022205511	-1.147592417	11.20076781	dom;Rab5;CtBP
negative regulation of macromolecule metabolic process (GO:0010605)	Feb-73	0.001337976	0.014801358	0.004640238	0.05133263	-1.674074545	11.07667717	dom;tld
sensory organ development (GO:0007423)	3/143	0.000152912	0.004713314	0.000918817	0.023232953	-1.170367392	10.28243813	neur;rdo;CtBP
chromatin remodeling (GO:0006338)	Feb-73	0.001337976	0.014801358	0.004640238	0.05133263	-1.430614851	9.465802403	dom;CtBP
neuron projection morphogenesis (GO:0048812)	3/180	0.00030123	0.005924189	0.001766114	0.031260215	-1.144280398	9.277409604	dom;Rab5;ben
positive regulation of signal transduction (GO:0009967)	2/107	0.002845061	0.027976433	0.009590956	0.071732205	-1.527964086	8.957186409	dom;neur
protein polyubiquitination (GO:0000209)	Feb-90	0.002024088	0.021074332	0.006909689	0.071732205	-1.382269089	8.573711831	neur;ben
imaginal disc-derived wing morphogenesis (GO:0007476)	3/240	0.000697888	0.01092884	0.003964774	0.05133263	-1.132334034	8.229183369	MYPT-75D;neur;tld
cell morphogenesis involved in neuron differentiation (GO:0048667)	3/160	0.000213031	0.004713314	0.001264773	0.027673148	-0.966950709	8.174671017	dom;Rab5;ben
regulation of Notch signaling pathway (GO:0008593)	2/117	0.003389743	0.031578136	0.011353672	0.071732205	-1.329676175	7.561869814	dom;neur
negative regulation of gene expression (GO:0010629)	3/245	0.000740938	0.01092884	0.004199438	0.05133263	-1.038885837	7.487866518	dom;tld;CtBP
dendrite morphogenesis (GO:0048813)	2/141	0.00487935	0.033071564	0.016121376	0.071732205	-1.160582402	6.177482123	dom;Rab5
protein ubiquitination (GO:0016567)	2/168	0.00685443	0.033071564	0.022345691	0.072864546	-1.163815956	5.799132198	neur;ben
imaginal disc development (GO:0007444)	2/140	0.00481222	0.033071564	0.015907999	0.071732205	-1.079585974	5.761315015	Rab5;CtBP
defense response to bacterium (GO:0042742)	2/216	0.011113019	0.034078745	0.035474939	0.077975555	-1.189540307	5.35250072	Su(var)2-10;ben
post-embryonic appendage morphogenesis (GO:0035120)	2/161	0.006312559	0.033071564	0.020647768	0.072864546	-0.998531809	5.057777476	MYPT-75D;neur
compound eye development (GO:0048749)	2/198	0.00940692	0.034078745	0.030257468	0.075462782	-1.083789184	5.057295978	Su(var)2-10;neur
eye development (GO:0001654)	2/140	0.00481222	0.033071564	0.015907999	0.071732205	-0.929525538	4.960502979	Su(var)2-10;neur
wing disc morphogenesis (GO:0007472)	2/134	0.004418613	0.033071564	0.014654233	0.071732205	-0.897415168	4.865721758	MYPT-75D;neur
oogenesis (GO:0048477)	2/216	0.011113019	0.034078745	0.035474939	0.077975555	-1.027351738	4.622710881	dom;Rab5
axonogenesis (GO:0007409)	2/212	0.010722803	0.034078745	0.034286222	0.077975555	-1.008685252	4.574773621	Rab5;ben
imaginal disc-derived appendage morphogenesis (GO:0035114)	2/170	0.007013031	0.033071564	0.022841366	0.072864546	-0.877358594	4.351685661	MYPT-75D;neur
female gamete generation (GO:0007292)	2/208	0.01033889	0.034078745	0.033114081	0.077975555	-0.938632588	4.29128061	dom;Rab5
