file,file-chromo,file inter chromo,chromo - file
out3237,2,1,0
out1920,3,1,0
out2692,3,1,0
out3,4,1,0
out654,4,1,0
out1977,4,1,0
out2905,4,1,0
out1318,5,1,0
out2195,5,1,0
out3075,5,1,0
out2293,6,1,0
out2906,7,1,0
out1921,9,1,0
out1319,11,1,0
out4,15,1,0
out20,24,1,0
out127,25,1,0
out7,3,0,1
out11,3,0,1
out15,3,0,1
out19,3,0,1
out23,3,0,1
out25,3,0,1
out30,3,0,1
out32,3,0,1
out34,3,0,1
out39,3,0,1
out41,3,0,1
out45,3,0,1
out47,3,0,1
out49,3,0,1
out51,3,0,1
out52,3,0,1
out56,3,0,1
out57,3,0,1
out60,3,0,1
out62,3,0,1
out64,3,0,1
out65,3,0,1
out68,3,0,1
out70,3,0,1
out72,3,0,1
out74,3,0,1
out76,3,0,1
out78,3,0,1
out82,3,0,1
out83,3,0,1
out85,3,0,1
out87,3,0,1
out88,3,0,1
out91,3,0,1
out93,3,0,1
out95,3,0,1
out97,3,0,1
out99,3,0,1
out101,3,0,1
out103,3,0,1
out105,3,0,1
out107,3,0,1
out111,3,0,1
out113,3,0,1
out115,3,0,1
out117,3,0,1
out121,3,0,1
out124,3,0,1
out128,3,0,1
out129,3,0,1
out131,3,0,1
out133,3,0,1
out137,3,0,1
out140,3,0,1
out142,3,0,1
out145,3,0,1
out148,3,0,1
out150,3,0,1
out153,3,0,1
out155,3,0,1
out157,3,0,1
out159,3,0,1
out161,3,0,1
out167,3,0,1
out169,3,0,1
out171,3,0,1
out175,3,0,1
out177,3,0,1
out179,3,0,1
out182,3,0,1
out184,3,0,1
out186,3,0,1
out189,3,0,1
out194,3,0,1
out196,3,0,1
out197,3,0,1
out201,3,0,1
out205,3,0,1
out210,3,0,1
out212,3,0,1
out214,3,0,1
out216,3,0,1
out219,3,0,1
out221,3,0,1
out223,3,0,1
out227,3,0,1
out234,3,0,1
out236,3,0,1
out238,3,0,1
out240,3,0,1
out242,3,0,1
out244,3,0,1
out245,3,0,1
out247,3,0,1
out251,3,0,1
out254,3,0,1
out256,3,0,1
out260,3,0,1
out262,3,0,1
out268,3,0,1
out270,3,0,1
out272,3,0,1
out274,3,0,1
out279,3,0,1
out281,3,0,1
out283,3,0,1
out285,3,0,1
out290,3,0,1
out294,3,0,1
out298,3,0,1
out300,3,0,1
out302,3,0,1
out303,3,0,1
out306,3,0,1
out308,3,0,1
out312,3,0,1
out314,3,0,1
out316,3,0,1
out317,3,0,1
out319,3,0,1
out320,3,0,1
out322,3,0,1
out324,3,0,1
out326,3,0,1
out328,3,0,1
out330,3,0,1
out332,3,0,1
