file,file-chromo,file inter chromo,chromo - file
out127,22,4,16
out3022,2,3,17
out3117,2,3,17
out3023,3,3,17
out897,5,3,17
out3118,6,3,17
out1522,7,3,17
out278,8,3,17
out6,9,3,17
out898,12,3,17
out664,1,2,18
out1148,1,2,18
out1375,1,2,18
out1506,1,2,18
out1865,1,2,18
out2180,1,2,18
out2602,1,2,18
out3068,1,2,18
out2603,2,2,18
out3,3,2,18
out5,3,2,18
out362,3,2,18
out1149,3,2,18
out1205,3,2,18
out1323,3,2,18
out2048,3,2,18
out2181,3,2,18
out2438,3,2,18
out2624,3,2,18
out2796,3,2,18
out2874,3,2,18
out3225,3,2,18
out126,4,2,18
out1318,4,2,18
out2403,4,2,18
out2241,5,2,18
out2293,5,2,18
out1866,6,2,18
out2404,8,2,18
out1319,10,2,18
out2,14,2,18
out4,14,2,18
out20,23,2,18
out23,2,1,19
out25,2,1,19
out41,2,1,19
out91,2,1,19
out107,2,1,19
out113,2,1,19
out171,2,1,19
out184,2,1,19
out238,2,1,19
out300,2,1,19
out302,2,1,19
out312,2,1,19
out361,2,1,19
out363,2,1,19
out414,2,1,19
out454,2,1,19
out530,2,1,19
out556,2,1,19
out588,2,1,19
out614,2,1,19
out629,2,1,19
out637,2,1,19
out662,2,1,19
out669,2,1,19
out714,2,1,19
out765,2,1,19
out830,2,1,19
out843,2,1,19
out845,2,1,19
out856,2,1,19
out860,2,1,19
out919,2,1,19
out956,2,1,19
out965,2,1,19
out966,2,1,19
out991,2,1,19
out1027,2,1,19
out1041,2,1,19
out1054,2,1,19
out1074,2,1,19
out1075,2,1,19
out1124,2,1,19
out1137,2,1,19
out1183,2,1,19
out1184,2,1,19
out1187,2,1,19
out1192,2,1,19
out1204,2,1,19
out1244,2,1,19
out1254,2,1,19
out1264,2,1,19
out1349,2,1,19
out1359,2,1,19
out1380,2,1,19
out1388,2,1,19
out1397,2,1,19
out1420,2,1,19
out1438,2,1,19
out1450,2,1,19
out1510,2,1,19
out1521,2,1,19
out1532,2,1,19
out1535,2,1,19
out1539,2,1,19
out1548,2,1,19
out1551,2,1,19
out1568,2,1,19
out1599,2,1,19
out1667,2,1,19
out1677,2,1,19
out1681,2,1,19
out1690,2,1,19
out1719,2,1,19
out1768,2,1,19
out1813,2,1,19
out1847,2,1,19
out1855,2,1,19
out1858,2,1,19
out1899,2,1,19
out1943,2,1,19
out1948,2,1,19
out1953,2,1,19
out1960,2,1,19
out1964,2,1,19
out1989,2,1,19
out1995,2,1,19
out2002,2,1,19
out2012,2,1,19
out2042,2,1,19
out2054,2,1,19
out2076,2,1,19
out2114,2,1,19
out2121,2,1,19
out2130,2,1,19
out2136,2,1,19
out2155,2,1,19
out2164,2,1,19
out2172,2,1,19
out2210,2,1,19
out2216,2,1,19
out2219,2,1,19
out2283,2,1,19
out2285,2,1,19
out2309,2,1,19
out2312,2,1,19
out2321,2,1,19
out2323,2,1,19
out2324,2,1,19
out2325,2,1,19
out2330,2,1,19
out2333,2,1,19
out2351,2,1,19
out2352,2,1,19
out2387,2,1,19
out2393,2,1,19
out2423,2,1,19
out2444,2,1,19
out2458,2,1,19
out2478,2,1,19
out2485,2,1,19
out2491,2,1,19
out2509,2,1,19
out2518,2,1,19
out2528,2,1,19
out2541,2,1,19
out2589,2,1,19
out2616,2,1,19
out2628,2,1,19
out2651,2,1,19
out2667,2,1,19
out2684,2,1,19
out2689,2,1,19
out2709,2,1,19
out2744,2,1,19
out2751,2,1,19
out2765,2,1,19
out2770,2,1,19
out2772,2,1,19
out2790,2,1,19
out2798,2,1,19
out2801,2,1,19
out2805,2,1,19
out2811,2,1,19
out2842,2,1,19
out2878,2,1,19
out2891,2,1,19
out2937,2,1,19
out2942,2,1,19
out2952,2,1,19
out2958,2,1,19
out2986,2,1,19
out2991,2,1,19
out2998,2,1,19
out3002,2,1,19
out3020,2,1,19
out3067,2,1,19
out3090,2,1,19
out3110,2,1,19
out3141,2,1,19
out3148,2,1,19
out3177,2,1,19
out3179,2,1,19
out3191,2,1,19
out3207,2,1,19
out3210,2,1,19
out3217,2,1,19
out3237,2,1,19
out3240,2,1,19
out3249,2,1,19
out3259,2,1,19
out3261,2,1,19
out3288,2,1,19
out3300,2,1,19
out3301,2,1,19
out3310,2,1,19
out3328,2,1,19
out3331,2,1,19
out3366,2,1,19
out3379,2,1,19
out3398,2,1,19
out3414,2,1,19
out3420,2,1,19
out3421,2,1,19
out3438,2,1,19
out3445,2,1,19
out3455,2,1,19
out3465,2,1,19
out3484,2,1,19
out66,3,1,19
out138,3,1,19
out173,3,1,19
out193,3,1,19
out277,3,1,19
out310,3,1,19
out473,3,1,19
out569,3,1,19
out594,3,1,19
out622,3,1,19
out688,3,1,19
out710,3,1,19
out737,3,1,19
out885,3,1,19
out945,3,1,19
out1066,3,1,19
out1227,3,1,19
out1325,3,1,19
out1513,3,1,19
out1528,3,1,19
out1536,3,1,19
out1552,3,1,19
out1638,3,1,19
out1655,3,1,19
out1668,3,1,19
out1769,3,1,19
out1814,3,1,19
out1859,3,1,19
out1868,3,1,19
out1920,3,1,19
out2134,3,1,19
out2220,3,1,19
out2298,3,1,19
out2374,3,1,19
out2424,3,1,19
out2464,3,1,19
out2656,3,1,19
out2692,3,1,19
out2728,3,1,19
out2789,3,1,19
out3146,3,1,19
out3180,3,1,19
out3192,3,1,19
out3389,3,1,19
out3399,3,1,19
out176,4,1,19
out206,4,1,19
out293,4,1,19
out415,4,1,19
out531,4,1,19
out537,4,1,19
out642,4,1,19
out654,4,1,19
out722,4,1,19
out778,4,1,19
out783,4,1,19
out834,4,1,19
out846,4,1,19
out857,4,1,19
out859,4,1,19
out957,4,1,19
out1016,4,1,19
out1042,4,1,19
out1098,4,1,19
out1185,4,1,19
out1193,4,1,19
out1194,4,1,19
out1255,4,1,19
out1265,4,1,19
out1268,4,1,19
out1381,4,1,19
out1389,4,1,19
out1406,4,1,19
out1479,4,1,19
out1600,4,1,19
out1682,4,1,19
out1737,4,1,19
out1848,4,1,19
out1912,4,1,19
out1977,4,1,19
out2060,4,1,19
out2122,4,1,19
out2137,4,1,19
out2170,4,1,19
out2331,4,1,19
out2338,4,1,19
out2459,4,1,19
out2488,4,1,19
out2629,4,1,19
out2657,4,1,19
out2779,4,1,19
out2822,4,1,19
out2905,4,1,19
out2941,4,1,19
out2992,4,1,19
out3003,4,1,19
out3041,4,1,19
out3229,4,1,19
out3329,4,1,19
out3339,4,1,19
out3370,4,1,19
out3394,4,1,19
out26,5,1,19
out35,5,1,19
