gene1	gene2
cbt	CG2678
blow	CG2678
sina	neur
l(2)efl	neur
Pcaf	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
glu	rdo
CycE	rdo
esc	rdo
puc	tra2
by	tra2
sgg	tra2
14-3-3zeta	cathD
uzip	cathD
Moe	eg
CycA	rdo
tkv	pros
Ptpmeg	Su(z)12
Syx1A	kay
ken	spir
fred	Su(z)12
tow	Mmp2
zfh2	Rab7
tin	CG6416
Idgf2	CG6416
emp	CG6416
siz	Mmp2
Rab5	Su(z)12
Ddx1	Su(z)12
cas	Mmp2
CG32486	Mmp2
Atg6	Mmp2
wupA	Mmp2
by	Mmp2
disco	Mmp2
CG9769	Mmp2
stil	Mmp2
Antp	Mmp2
CG17739	W
yellow-f	Sema-2a
Optix	Eip74EF
sno	eg
dei	eg
CG14995	spir
tup	tsh
wg	tsh
twf	nej
zfh2	Arc42
flw	Arc42
cnc	toy
Tab2	Su(z)12
Mlc1	Su(z)12
Mhc	Su(z)12
Msp-300	Su(z)12
Mmp2	emp
mmy	emp
