SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
153,3,0.57442876,0.33333333,0.12727273,12,5,FALSE,cos,3.09090909,12,0,1,0.75,FALSE,0,cos,2946,0.27272727
168,3.1875,0.35195853,0.31372549,0,11,7,FALSE,Borr,2.09090909,11,0,0,0.7265625,FALSE,0,Borr,1742,0.36363636
78,3.3125,0.24107143,0.30188679,0,9,7,FALSE,rdo,2.33333333,9,0,0,0.7109375,FALSE,0,rdo,1332,0.44444444
126,4.3125,0.07510081,0.23188406,0.17857143,9,7,FALSE,sec23,3.375,9,0,1,0.5859375,FALSE,0,sec23,880,0.390625
128,3.6875,0.01922523,0.27118644,0.47619048,9,6,FALSE,pot,5.14285714,9,0,2,0.6640625,FALSE,0,pot,256,0.3956044
92,2.84375,0.1953725,0.35164835,0,4,6,FALSE,thr,6.75,4,0,0,0.76953125,FALSE,0,thr,1148,0.41071429
107,1,1,1,0,4,1,FALSE,tra2,1,4,0,0,1,FALSE,0,tra2,12,0
134,3.75,0.01804916,0.26666667,0.5,4,6,FALSE,alph,7.5,4,0,0,0.65625,FALSE,0,alph,248,0.53571429
136,3.75,0.01804916,0.26666667,0.5,4,6,FALSE,mbo,7.5,4,0,0,0.65625,FALSE,0,mbo,248,0.53571429
142,3.78125,0.06300403,0.26446281,0.33333333,4,6,FALSE,Pde8,5,4,0,0,0.65234375,FALSE,0,Pde8,146,0.39583333
248,2.75,0.51670507,0.36363636,0,4,5,FALSE,bon,3,4,0,0,0.78125,FALSE,0,bon,2926,0.5
86,2.90625,0.14477727,0.34408602,0,3,6,FALSE,E(z),8,3,0,0,0.76171875,FALSE,0,E(z),944,0.5
