gene1	gene2
CG8149	Arp66B
osa	pot
Traf6	Arp66B
osa	sec23
CycA	Borr
wee	sec23
CG8149	lin
thr	Borr
thr	bon
mbo	Pde8
cactin	Pde8
Su(H)	sec23
Btk29A	sec23
alph	cos
14-3-3zeta	cathD
CycA	rdo
Eip63E	G-ialpha65A
wrapper	G-ialpha65A
hpo	Tina-1
asf1	Borr
msi	S6kII
Pde8	S6kII
alph	sec23
uzip	cathD
Yp1	Yp1
mbo	cos
Caf1	Borr
mbo	pot
Caf1	bon
Lcp65Ag1	bon
pbl	yrt
dmt	Borr
Stat92E	Borr
cbt	CG2678
Dl	Borr
glu	rdo
morgue	tup
wee	cos
Rab7	cos
Su(H)	pot
alph	pot
CycE	rdo
Eip63F-1	Borr
dmt	CG16719
how	S6kII
cnk	sec23
cos	sec23
asf1	CG16719
l(2)gd1	B4
pot	cos
Moe	140up
Tm1	140up
dmt	rdo
ena	rdo
Tm1	dome
thr	CG16719
Traf6	lin
Moe	eg
blow	CG2678
Sobp	B4
sgg	tra2
tok	tra2
tum	sec23
E(z)	Borr
CG17739	CG17739
stil	phyl
thr	rdo
sec23	rdo
Akt1	Abi
by	tra2
sdt	Rack1
puc	tra2
RhoGAPp190	cathD
dsf	140up
mbo	sec23
Lcp65Ag1	tra
sqd	dome
Krn	G-ialpha65A
osa	cos
E(z)	bon
spn-A	bon
MED4	140up
tum	cos
robo	cas
tum	pot
esc	rdo
cbx	rdo
gro	G-ialpha65A
Nf1	chic
alph	Pde8
Caf1	rdo
asf1	rdo
run	cas
CG8247	betaTub56D
mus304	betaTub56D
cactin	B4
Axn	tra
Su(H)	cos
E(z)	rdo
pot	sec23
