gene1	gene2
E(bx)	Su(z)12
cbt	CG2678
blow	CG2678
sina	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
twi	Rab5
eve	Rab5
Hr78	Rab5
cathD	Rab7
RhoGAPp190	Rab7
tow	Rab7
cnk	sec23
pot	sec23
Su(H)	sec23
tum	sec23
alph	sec23
mbo	sec23
wee	sec23
osa	sec23
alph	Pde8
mbo	Pde8
osa	Pde8
Btk29A	Pde8
CG8149	Arp66B
Traf6	Arp66B
emp	Arp66B
pbl	cos
cactin	cos
Pde8	cos
pot	cos
Su(H)	cos
tum	cos
alph	cos
mbo	cos
wee	cos
osa	cos
hpo	cos
tok	Borr
spn-A	Borr
alien	Borr
Dl	Borr
Stat92E	Borr
CycA	Borr
Eip63F-1	Borr
E(z)	Borr
Caf1	Borr
dmt	Borr
thr	Borr
asf1	Borr
qua	Borr
bib	140up
MED4	140up
dsf	140up
Moe	140up
robo	cas
run	cas
Akt1	Abi
CG8247	betaTub56D
bcd	nej
pdm2	nej
Pvf1	nej
Tm1	nej
Yp1	Yp1
Lcp65Ag1	Yp1
cbx	yrt
morgue	tup
gro	G-ialpha65A
Krn	G-ialpha65A
Eip63E	G-ialpha65A
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
Sobp	B4
l(2)gd1	B4
dmt	CG16719
thr	CG16719
asf1	CG16719
sdt	Rack1
CG17221	Rack1
esg	Rack1
mth	Rack1
sav	Rack1
B4	Sobp
Snap	ash1
grp	ash1
Msp-300	ash1
fd59A	ash1
wrapper	inv
cactin	Tina-1
sec23	pot
cos	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Hr46	pot
Nf1	chic
how	S6kII
msi	S6kII
Eip74EF	S6kII
chic	wal
CG1942	wal
shn	wal
Idgf4	wal
CG33205	wal
ena	wls
Appl	wls
par-6	wls
Prm	wls
sle	wls
Iswi	Ddx1
Glycogenin	Ddx1
Dscam	Ddx1
